Number,Year,County,FIPS,Deathrate,Population,Poverty,State,City,lat,lng,beta
6,1999,"Adair County, KY",21001,5,17054,3656.0,KY,Adair County,37.110171428571434,-85.30758571428571,5.856155660621159
49,1999,"Allen County, KY",21003,5,17658,2458.0,KY,Allen County,36.7291,-86.261725,5.0811163325950055
61,1999,"Anderson County, KY",21005,5,18864,1527.0,KY,Anderson County,38.03666666666666,-84.93536666666667,6.006104419497943
122,1999,"Ballard County, KY",21007,3,8225,1051.0,KY,Ballard County,37.03322857142857,-88.9606,3.4493270031213132
137,1999,"Barren County, KY",21009,5,37687,5599.0,KY,Barren County,36.9676,-85.95361249999999,5.238692456203044
148,1999,"Bath County, KY",21011,9,10911,2209.0,KY,Bath County,38.14914,-83.7646,8.709408181025568
171,1999,"Bell County, KY",21013,19,30026,7393.0,KY,Bell County,36.71244285714287,-83.69865714285716,15.498846329765465
236,1999,"Boone County, KY",21015,7,83349,5194.0,KY,Boone County,38.99287368421052,-84.7070052631579,7.630049767236057
248,1999,"Bourbon County, KY",21017,7,19340,2438.0,KY,Bourbon County,38.231433333333335,-84.15145,7.446209853935363
253,1999,"Boyd County, KY",21019,13,49816,7368.0,KY,Boyd County,38.41024,-82.6854,11.881014832048528
255,1999,"Boyle County, KY",21021,7,27662,3064.0,KY,Boyle County,37.619375000000005,-84.867,6.902137169350995
256,1999,"Bracken County, KY",21023,1,8291,1004.0,KY,Bracken County,38.68686,-84.08252,5.299043667638133
266,1999,"Breathitt County, KY",21025,17,16087,4511.0,KY,Breathitt County,37.547975,-83.37197499999999,13.335734166105762
267,1999,"Breckinridge County, KY",21027,5,18422,3041.0,KY,Breckinridge County,37.77301818181818,-86.38594545454545,4.851175233481509
308,1999,"Bullitt County, KY",21029,5,60074,5274.0,KY,Bullitt County,38.0113,-85.68204,4.920145403389325
325,1999,"Butler County, KY",21031,5,12937,2075.0,KY,Butler County,37.20102857142858,-86.7189,5.190358540682673
