,Year,Under 18 total,Under 18 below poverty,18 to 64 total,18 to 64 below poverty,65 and older total,65 and older below poverty,Race,total,below poverty,Under 18 below poverty percentage,18 to 64 below poverty percentage,65 and older below poverty percentage,below poverty percentage
1,2017,73356.0,12808.0,198113.0,22209.0,51080.0,4681.0,ALL RACES,322549.0,39698.0,17.460057800316267,11.210268886948358,9.164056382145654,12.307587374321422
2,2016,73586.0,13253.0,197051.0,22795.0,49274.0,4568.0,ALL RACES,319911.0,40616.0,18.010219335199633,11.568071209991322,9.270609246255631,12.69603108364514
3,2015,73647.0,14509.0,197260.0,24414.0,47547.0,4201.0,ALL RACES,318454.0,43124.0,19.70073458525127,12.376558856331744,8.835468063179592,13.541673208689481
4,2014,73556.0,15540.0,196254.0,26527.0,45994.0,4590.0,ALL RACES,315804.0,46657.0,21.12676056338028,13.51666717621042,9.97956255163717,14.774037060961861
5,2013,73439.0,15801.0,194694.0,25899.0,44963.0,4569.0,ALL RACES,313096.0,46269.0,21.515815847165676,13.302413017350304,10.161688499432866,14.777895597516416
6,2013,73625.0,14659.0,194833.0,26429.0,44508.0,4231.0,ALL RACES,312966.0,45319.0,19.910356536502547,13.564950496065862,9.506156196638807,14.480486698235593
7,2012,73719.0,16073.0,193642.0,26497.0,43287.0,3926.0,ALL RACES,310648.0,46496.0,21.803062982406164,13.683498414600137,9.069697599741263,14.967422935283665
8,2011,73737.0,16134.0,193213.0,26492.0,41507.0,3620.0,ALL RACES,308457.0,46246.0,21.880467065381016,13.711292718398866,8.721420483291976,14.992689418622367
9,2010,73873.0,16286.0,192481.0,26499.0,39777.0,3558.0,ALL RACES,306131.0,46343.0,22.04594371421223,13.767073113709923,8.944867637076703,15.138290470419527
10,2009,74579.0,15451.0,190627.0,24684.0,38613.0,3433.0,ALL RACES,303819.0,43568.0,20.717628286783142,12.948847749794101,8.890788076554529,14.34011697754255
11,2008,74068.0,14068.0,189185.0,22105.0,37788.0,3656.0,ALL RACES,301041.0,39829.0,18.993357455311337,11.684330153024817,9.675029109770298,13.230423762876153
12,2007,73996.0,13324.0,187913.0,20396.0,36790.0,3556.0,ALL RACES,298699.0,37276.0,18.006378723174226,10.853959012947481,9.665670019026908,12.479452559265347
13,2006,73727.0,12827.0,186688.0,20239.0,36035.0,3394.0,ALL RACES,296450.0,36460.0,17.397968179906954,10.84108244772026,9.418620785347578,12.298869961207624
14,2005,73285.0,12896.0,184345.0,20450.0,35505.0,3603.0,ALL RACES,293135.0,36949.0,17.59705260285188,11.09333044020722,10.147866497676382,12.60477254507309
15,2004,73241.0,13041.0,182166.0,20545.0,35209.0,3453.0,ALL RACES,290616.0,37039.0,17.805600688139155,11.278174851509064,9.807151580561788,12.744996834310568
16,2003,72999.0,12866.0,180041.0,19443.0,34659.0,3552.0,ALL RACES,287699.0,35861.0,17.624898971218784,10.79920684732922,10.248420323725439,12.464763520206883
17,2002,72696.0,12133.0,178388.0,18861.0,34234.0,3576.0,ALL RACES,285318.0,34570.0,16.690051722240565,10.57302060676727,10.445755681486242,12.11630531547256
18,2001,72021.0,11733.0,175685.0,17760.0,33769.0,3414.0,ALL RACES,281475.0,32907.0,16.29108176781772,10.109001906821868,10.109864076519886,11.690913935518251
19,2000,71741.0,11587.0,173638.0,16671.0,33566.0,3323.0,ALL RACES,278945.0,31581.0,16.151154848691824,9.601008995726742,9.899898707024967,11.321586692717203
20,1999,71685.0,12280.0,171146.0,17289.0,33377.0,3222.0,ALL RACES,276208.0,32791.0,17.130501499616376,10.101901300643895,9.653354106120982,11.871850199849389
22,2017,53022.0,8041.0,151259.0,15027.0,42991.0,3368.0,"WHITE, POSSIBLY HISPANIC",247272.0,26436.0,15.165403040247444,9.934615460898193,7.834197855365077,10.691060856061341
23,2016,53319.0,8324.0,151044.0,15467.0,41623.0,3322.0,"WHITE, POSSIBLY HISPANIC",245986.0,27113.0,15.61169564320411,10.240062498344853,7.981164260144631,11.022171993528088
24,2015,53550.0,9204.0,151731.0,16325.0,40254.0,3037.0,"WHITE, POSSIBLY HISPANIC",245535.0,28566.0,17.18767507002801,10.759172482880889,7.544591841804542,11.634186572179118
25,2014,53637.0,9602.0,151562.0,18086.0,39054.0,3400.0,"WHITE, POSSIBLY HISPANIC",244253.0,31088.0,17.901821503812666,11.933070294664889,8.705894402622011,12.727786352675299
26,2013,53638.0,10296.0,151234.0,17629.0,38475.0,3362.0,"WHITE, POSSIBLY HISPANIC",243347.0,31287.0,19.19534658264663,11.6567703029742,8.738141650422353,12.856949130254328
27,2013,53846.0,8808.0,151334.0,17931.0,37905.0,3197.0,"WHITE, POSSIBLY HISPANIC",243085.0,29936.0,16.35776102217435,11.848626217505648,8.434243503495582,12.315033835901023
28,2012,54066.0,9979.0,151042.0,17946.0,37039.0,2891.0,"WHITE, POSSIBLY HISPANIC",242147.0,30816.0,18.457070987311806,11.881463434011732,7.80528631982505,12.726153947808564
29,2011,54186.0,10103.0,151416.0,18007.0,35732.0,2739.0,"WHITE, POSSIBLY HISPANIC",241334.0,30849.0,18.64503746355147,11.892402388122788,7.6653979626105455,12.78269949530526
30,2010,54490.0,10092.0,151218.0,18353.0,34274.0,2638.0,"WHITE, POSSIBLY HISPANIC",239982.0,31083.0,18.520829510001835,12.136782658149162,7.6967964054385245,12.952221416606246
31,2009,56266.0,9938.0,152367.0,17391.0,33414.0,2501.0,"WHITE, POSSIBLY HISPANIC",242047.0,29830.0,17.662531546582304,11.413888834196381,7.484886574489735,12.324052766611443
32,2008,56153.0,8863.0,151681.0,15356.0,32714.0,2771.0,"WHITE, POSSIBLY HISPANIC",240548.0,26990.0,15.783662493544423,10.123878402700404,8.470379653970777,11.220213845053793
33,2007,56419.0,8395.0,150875.0,14135.0,31839.0,2590.0,"WHITE, POSSIBLY HISPANIC",239133.0,25120.0,14.87973909498573,9.368682684341342,8.134677596658186,10.504614586861704
34,2006,56205.0,7908.0,150143.0,14035.0,31270.0,2473.0,"WHITE, POSSIBLY HISPANIC",237618.0,24416.0,14.069922604750468,9.347755140099771,7.908538535337383,10.27531584307586
35,2005,56075.0,8085.0,148450.0,14086.0,30905.0,2700.0,"WHITE, POSSIBLY HISPANIC",235430.0,24871.0,14.418189924208649,9.488716739642978,8.736450412554603,10.564074247122287
36,2004,56053.0,8308.0,146974.0,14486.0,30714.0,2534.0,"WHITE, POSSIBLY HISPANIC",233741.0,25328.0,14.821686618022229,9.85616503599276,8.250309305202839,10.835925233484927
37,2003,55779.0,7985.0,145783.0,13622.0,30303.0,2666.0,"WHITE, POSSIBLY HISPANIC",231865.0,24273.0,14.315423367217054,9.344025023493822,8.797808797808798,10.468591637375196
38,2002,55703.0,7549.0,144694.0,13178.0,29980.0,2739.0,"WHITE, POSSIBLY HISPANIC",230377.0,23466.0,13.552232375276018,9.107495818762354,9.136090727151434,10.185912656211341
39,2001,56089.0,7527.0,143796.0,12555.0,29790.0,2656.0,"WHITE, POSSIBLY HISPANIC",229675.0,22738.0,13.419743621744015,8.731119085370942,8.915743538100033,9.900076194622837
40,2000,55980.0,7307.0,142164.0,11754.0,29703.0,2584.0,"WHITE, POSSIBLY HISPANIC",227847.0,21645.0,13.052876027152555,8.26791592808306,8.6994579672087,9.49979591568026
41,1999,55833.0,7639.0,139974.0,12085.0,29553.0,2446.0,"WHITE, POSSIBLY HISPANIC",225360.0,22170.0,13.681872727598373,8.633746267163902,8.27665550028762,9.837593184238552
43,2017,37047.0,4026.0,119078.0,10230.0,39131.0,2737.0,"WHITE, NOT HISPANIC",195256.0,16993.0,10.86727670256701,8.591007574866893,6.994454524545757,8.702933584627361
44,2016,37485.0,4050.0,119785.0,10526.0,37951.0,2687.0,"WHITE, NOT HISPANIC",195221.0,17263.0,10.804321728691477,8.787410777643277,7.080182340386287,8.842798674322946
45,2015,37859.0,4563.0,120908.0,10812.0,36682.0,2411.0,"WHITE, NOT HISPANIC",195449.0,17786.0,12.052616286748197,8.942336321831474,6.5727059593261,9.100072141581691
46,2014,38057.0,4679.0,121424.0,12173.0,35727.0,2801.0,"WHITE, NOT HISPANIC",195208.0,19653.0,12.294715821005333,10.0252009487416,7.840008956811376,10.067722634318265
47,2013,38167.0,5116.0,121629.0,11691.0,35322.0,2745.0,"WHITE, NOT HISPANIC",195118.0,19552.0,13.404249744543717,9.612016870976495,7.771360625106166,10.020602917209073
48,2013,38395.0,4094.0,121991.0,12133.0,34781.0,2569.0,"WHITE, NOT HISPANIC",195167.0,18796.0,10.662846724833964,9.94581567492684,7.386216612518329,9.630726506017922
49,2012,38759.0,4782.0,122221.0,11833.0,34131.0,2324.0,"WHITE, NOT HISPANIC",195111.0,18939.0,12.337779612477103,9.681642270968165,6.809059213032141,9.706782293156204
50,2011,38955.0,4850.0,123101.0,12112.0,32904.0,2210.0,"WHITE, NOT HISPANIC",194960.0,19172.0,12.450263124117573,9.839075230907953,6.716508631169463,9.83381206401313
51,2010,39437.0,4866.0,123731.0,12230.0,31616.0,2155.0,"WHITE, NOT HISPANIC",194784.0,19251.0,12.338666734285063,9.884345879367338,6.816169028340082,9.88325529817644
52,2009,40917.0,4850.0,125511.0,11658.0,30736.0,2022.0,"WHITE, NOT HISPANIC",197164.0,18530.0,11.853263924530147,9.288428902645983,6.578604893284748,9.398267432188431
53,2008,41309.0,4364.0,125482.0,10380.0,30149.0,2280.0,"WHITE, NOT HISPANIC",196940.0,17024.0,10.564283812244305,8.272102771712278,7.562439881919798,8.644257134152532
54,2007,41979.0,4255.0,125161.0,9598.0,29442.0,2179.0,"WHITE, NOT HISPANIC",196582.0,16032.0,10.136020391147955,7.6685229424501244,7.400991780449698,8.155375364987638
55,2006,42212.0,4208.0,124847.0,9761.0,28990.0,2044.0,"WHITE, NOT HISPANIC",196049.0,16013.0,9.96872927129726,7.81836968449382,7.050707140393239,8.167855995184878
