GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "02000","Alaska",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1575306,1798953,1984124,2166758,2507651,3042645,4156808,4893293,5081877,5235885,5546800,6285047,7152287,8733371,9513455,10120618,10965793,11065577,10618140,11067575,12110504,12843337,13405073,14270677,15007304,15513140,15955835,16403012,17276624,18046020,18603123,20020289,21181698,22201930,23190634,24270355,25888513,27606973,29712529,32701876,32749086,35162893,37580637,38822647,38502520,40935223,42290967,41461355,42300914
 "02000","Alaska",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",296000,304328,316494,326494,333232,344696,370973,393115,397363,402191,403544,405315,418493,449606,488418,513704,532496,544269,539310,541984,547160,553290,570193,588736,599432,603308,604412,608569,612968,619932,624779,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,714015,722259,730825,736760,736759,737979,741522,739795
 "02000","Alaska",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",5322,5911,6269,6636,7525,8827,11205,12447,12789,13018,13745,15507,17091,19424,19478,19701,20593,20331,19688,20420,22133,23213,23510,24240,25036,25713,26399,26953,28185,29110,29776,31881,33425,34564,35765,36813,38817,40881,43676,47569,46858,49247,52032,53122,52259,55561,57306,55914,57179
 "02010","Aleutian Islands Census Area, AK*",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),122508,127349,130856,137747,145358,140422,163118,181656,187030,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "02010","Aleutian Islands Census Area, AK*",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),7829,7813,7981,8848,9088,9389,9734,9791,10312,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "02010","Aleutian Islands Census Area, AK*",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),15648,16300,16396,15568,15994,14956,16758,18553,18137,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "02013","Aleutians East Borough, AK*",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33663,39896,44939,54503,59800,48240,49625,52685,53638,55880,55532,58945,59387,86058,77925,83479,85938,93830,100199,98002,105313,105040,112404,120811,121364,130623,135417,168515,193637,199114
 "02013","Aleutians East Borough, AK*",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2185,2439,2477,2507,2605,2557,2510,2619,2709,2768,2750,2739,2693,2590,2734,2732,2727,2787,2794,3012,2991,3084,3170,3262,3304,3324,3325,3346,3324,3370
 "02013","Aleutians East Borough, AK*",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),15406,16358,18143,21740,22956,18866,19771,20116,19800,20188,20193,21521,22052,33227,28502,30556,31514,33667,35862,32537,35210,34060,35459,37036,36732,39297,40727,50363,58254,59084
 "02016","Aleutians West Census Area, AK*",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),181452,189354,208179,222172,240740,236688,191352,164481,148457,117724,115752,127846,116780,119925,140084,167045,171641,185932,193794,202912,219178,214076,229447,257869,287707,289551,305573,304290,315469,305498
