GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "01000","Alabama",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",9737715,10628318,11699341,12999098,14638867,16241055,18100116,20324056,22394893,25339922,28151411,31037123,34465512,36396094,38970502,42870184,46098732,48790314,51651951,55558831,60395710,64239770,67929940,73039777,76398045,80848446,85473600,89349999,93981379,100081022,103536039,108506247,112312142,115166086,120209889,128669896,136215282,144914255,152210645,157479528,155254669,161965527,167675590,172427855,174118716,180220290,187301605,190991192,198916425
 "01000","Alabama",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",3440000,3449846,3497452,3540080,3580769,3627805,3680533,3737204,3782736,3834120,3869444,3900368,3918533,3925263,3934100,3951824,3972520,3991569,4015262,4023842,4030219,4050055,4099156,4154014,4214202,4260229,4296800,4331102,4367935,4404701,4430141,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785579,4798649,4813946,4827660,4840037,4850858,4860545,4874747
 "01000","Alabama",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2831,3081,3345,3672,4088,4477,4918,5438,5920,6609,7275,7957,8796,9272,9906,10848,11604,12223,12864,13807,14986,15861,16572,17583,18129,18977,19892,20630,21516,22721,23371,24372,25139,25706,26693,28399,29808,31306,32573,33377,32631,33844,34942,35818,36067,37235,38612,39294,40805
 "01001","Autauga, AL",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",69973,77712,88114,100161,114952,124258,131693,150535,162073,188411,228017,250028,261969,280194,301941,337578,366200,390717,424990,465811,503406,531849,574764,614011,654079,713433,756832,810358,869142,929391,985934,1043263,1107934,1147312,1231720,1331739,1428996,1527411,1648607,1751550,1764978,1829458,1894696,1924646,1939719,2012244,2116276,2183987,2247046
 "01001","Autauga, AL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",25166,24606,25508,27166,28463,29266,29718,29896,30462,30882,32055,32215,31985,32036,32054,32134,32245,32893,33268,33636,33996,34353,35010,35985,36953,38186,39112,40207,41238,42106,42963,44021,44889,45909,46800,48366,49676,51328,52405,53277,54135,54750,55199,54927,54695,54864,54838,55278,55504
 "01001","Autauga, AL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2780,3158,3454,3687,4039,4246,4431,5035,5320,6101,7113,7761,8190,8746,9420,10505,11357,11878,12775,13849,14808,15482,16417,17063,17700,18683,19350,20155,21076,22073,22948,23699,24682,24991,26319,27535,28766,29758,31459,32876,32603,33415,34325,35040,35464,36677,38591,39509,40484
 "01003","Baldwin, AL",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",157191,172745,196684,223797,268069,305794,345248,406080,435048,496475,542296,615733,717874,759626,844438,940987,1048339,1115365,1182205,1281576,1436895,1566530,1736418,1930098,2128721,2346375,2557326,2801985,3050203,3313100,3490161,3781887,3928935,4054363,4249802,4740854,5237162,5847880,6215336,6286039,6224967,6643563,7051666,7253460,7441318,7875234,8400864,8923673,9372465
 "01003","Baldwin, AL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",56951,59474,60142,62435,64196,66072,67861,70244,72399,74550,76594,78931,80287,82331,83978,86752,89401,91311,93214,94649,96198,98955,102420,106595,111416,116565,120896,125412,130164,134444,137555,141342,144875,147957,151509,156266,162183,168121,172404,175827,179406,183110,186534,190048,194736,199064,202863,207509,212628
 "01003","Baldwin, AL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2760,2905,3270,3584,4176,4628,5088,5781,6009,6660,7080,7801,8941,9226,10055,10847,11726,12215,12683,13540,14937,15831,16954,18107,19106,20129,21153,22342,23434,24643,25373,26757,27119,27402,28050,30338,32292,34784,36051,35751,34698,36282,37804,38166,38212,39561,41412,43004,44079
 "01005","Barbour, AL",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",51130,57657,62015,70116,79787,90154,98535,113391,123399,140179,151875,160009,179314,186959,200730,229890,244790,264429,280410,308258,329001,344055,375856,402582,420108,442073,443210,455859,473665,509078,548892,550816,582221,581095,597715,645650,668851,688953,708830,714058,721519,760771,768718,764828,809476,800883,827557,818333,845349
 "01005","Barbour, AL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",23818,22655,23092,22854,23457,23432,24869,25609,24690,24524,24429,24763,24748,24777,24798,24952,25002,24941,25102,25230,25336,25505,26506,26941,27371,27751,27854,28298,28415,28841,28866,29015,28863,28653,28594,28287,28027,27861,27757,27808,27657,27332,27351,27175,26947,26749,26264,25774,25270
 "01005","Barbour, AL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2147,2545,2686,3068,3401,3847,3962,4428,4998,5716,6217,6462,7246,7546,8095,9213,9791,10602,11171,12218,12986,13490,14180,14943,15349,15930,15912,16109,16670,17651,19015,18984,20172,20280,20904,22825,23865,24728,25537,25678,26088,27834,28106,28145,30040,29941,31509,31750,33453
 "01007","Bibb, AL",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",29810,32551,36605,40832,46596,50798,56318,64869,72180,83429,94098,102779,110723,117163,126180,140918,150583,159669,166529,182190,194958,211589,220150,234844,247468,265123,284113,300128,317487,320679,338734,352203,378056,395953,420701,456130,471142,502442,540644,567239,545746,573892,590755,612395,617036,636539,655342,656112,680543
