GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "05000","Arkansas",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",5128531,5626520,6263108,7071222,8376080,9353548,10292084,11378923,12661751,14668793,16087967,17388327,19702622,20702260,21934843,24458419,25982324,27303655,28434832,30505873,32721188,34457542,36459059,39714351,41648441,44288614,47164713,50047865,52507955,55917111,58129532,61136633,64374920,65878184,69721985,74158872,78138502,83020846,88484857,91798185,90242461,93103196,99328677,106536954,106429638,112619155,116248596,118769649,123313411
 "05000","Arkansas",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",1913000,1930077,1972028,2018116,2058491,2100385,2158291,2168688,2207228,2241019,2269115,2288738,2293204,2294254,2305766,2319767,2327046,2331988,2342357,2342655,2346354,2356586,2383144,2415984,2456303,2494019,2535399,2572109,2601090,2626289,2651860,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2921737,2938640,2949208,2956780,2964800,2975626,2988231,3004279
 "05000","Arkansas",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2681,2915,3176,3504,4069,4453,4769,5247,5736,6546,7090,7597,8592,9024,9513,10543,11165,11708,12139,13022,13946,14622,15299,16438,16956,17758,18602,19458,20187,21291,21920,22824,23917,24346,25588,26970,28096,29422,31062,31935,31152,31866,33801,36124,35995,37985,39067,39746,41046
 "05001","Arkansas, AR",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",72980,83943,84681,95604,135675,160713,142510,147381,150935,208000,195473,196273,234699,237040,241090,268944,271604,277148,269854,299887,304956,315884,324603,359364,374874,392855,428317,454254,458995,475851,485387,479202,494997,482467,546668,583156,541393,573642,595872,640130,655967,647901,687680,725607,781825,762505,746461,788254,779342
 "05001","Arkansas, AR",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",23393,23311,23328,23170,23590,23695,23874,24218,23869,24425,24126,24191,24203,24114,23835,23398,23012,22573,22174,21847,21705,21666,21536,21479,21310,21199,21128,21134,20975,20896,20966,20776,20593,20351,19981,19967,19954,19785,19434,19275,19134,19016,18869,18957,18746,18484,18350,18215,17967
 "05001","Arkansas, AR",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3120,3601,3630,4126,5751,6783,5969,6086,6323,8516,8102,8113,9697,9830,10115,11494,11803,12278,12170,13727,14050,14580,15073,16731,17591,18532,20272,21494,21883,22772,23151,23065,24037,23707,27359,29206,27132,28994,30661,33210,34283,34071,36445,38276,41706,41252,40679,43275,43376
 "05003","Ashley, AR",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",62705,71989,78985,83547,100496,108751,117136,133653,150355,177871,192226,195674,227838,226509,236559,274044,280320,271464,290511,306715,315155,330773,360507,386915,395981,430618,446758,463954,488829,512984,517714,526858,516531,512495,547429,548160,568942,590515,605287,601078,607461,643329,683722,678150,680216,662076,672138,674034,680347
 "05003","Ashley, AR",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",24963,25015,25440,25642,25481,25478,25832,26164,26625,26946,26748,26607,26829,26273,25971,26045,26088,25401,25176,24930,24582,24283,24447,24565,24647,24556,24475,24417,24365,24359,24261,24179,23824,23745,23469,23156,22770,22501,22229,22148,21920,21833,21673,21518,21281,20958,20837,20498,20283
 "05003","Ashley, AR",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2512,2878,3105,3258,3944,4268,4535,5108,5647,6601,7187,7354,8492,8621,9109,10522,10745,10687,11539,12303,12821,13622,14746,15751,16066,17536,18254,19001,20063,21059,21339,21790,21681,21583,23326,23672,24986,26244,27230,27139,27713,29466,31547,31515,31964,31591,32257,32883,33543
 "05005","Baxter, AR",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",39657,45640,53900,62406,77791,92138,107903,127813,144592,165424,183403,217650,250134,271232,298745,325597,351618,384987,393915,414465,452094,474094,509848,550131,590385,624522,673895,708603,752412,807614,820739,857847,880211,911459,930110,972871,1037451,1130432,1207346,1220928,1190564,1197774,1236675,1306477,1288755,1369733,1401061,1406773,1459527
 "05005","Baxter, AR",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",14798,15525,16578,18160,19884,21335,22746,24472,26097,26471,27093,27482,27716,28024,28729,29435,29586,30097,30643,30906,30927,31317,31884,32775,33886,35108,36313,36943,37348,37619,38055,38446,38331,38506,38772,39334,39992,40867,41491,41519,41561,41511,41341,41076,40976,40871,41118,41145,41355
 "05005","Baxter, AR",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2680,2940,3251,3436,3912,4319,4744,5223,5541,6249,6769,7920,9025,9679,10399,11062,11885,12792,12855,13411,14618,15139,15991,16785,17423,17789,18558,19181,20146,21468,21567,22313,22963,23671,23989,24734,25941,27661,29099,29406,28646,28854,29914,31806,31451,33514,34074,34191,35293
