GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "04000","Arizona",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",6327071,7216133,8255566,9464649,10934211,12336094,13317758,14813181,16646785,19559610,22986621,26477610,30247056,32197364,35452604,40055602,44570307,48739358,52518393,56718429,60862489,63820979,67174577,71692129,77041009,84343667,91989409,99707638,108023079,117363581,124099462,134952008,140805569,145930328,154810692,169309942,188149041,209009703,220652427,223221865,211397715,215012419,225853155,236455566,242571877,257066980,270806695,280988093,296648898
 "04000","Arizona",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",1737000,1794912,1896108,2008847,2125281,2224342,2286348,2347976,2427310,2517852,2638582,2737774,2810108,2889860,2968924,3067134,3183539,3308261,3437103,3535183,3622184,3684097,3788576,3915740,4065440,4245089,4432499,4586940,4736990,4883342,5023823,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6407002,6465488,6544211,6616124,6706435,6802262,6908642,7016270
 "04000","Arizona",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3643,4020,4354,4711,5145,5546,5825,6309,6858,7768,8712,9671,10764,11141,11941,13060,14000,14733,15280,16044,16803,17323,17731,18309,18950,19869,20753,21737,22804,24033,24702,26151,26701,27043,28094,29954,32222,34667,35776,35543,33327,33559,34932,36132,36664,38331,39811,40672,42280
 "04001","Apache, AZ",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",80748,89332,101462,117209,132215,144964,162501,184377,200219,259381,270012,279307,290767,310704,338184,382614,390711,423595,447908,469832,530332,560950,613410,679111,729579,757887,768675,831507,853530,912691,993370,1005801,1124857,1166371,1249452,1321239,1420576,1479770,1579630,1729352,1871824,1939280,1985382,1984948,2020967,2113963,2183667,2240006,2351874
 "04001","Apache, AZ",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",34200,32883,35537,37048,39525,40271,42907,44294,48487,50682,52122,51936,51204,52152,53082,52996,53465,55749,58197,59542,60827,61939,62634,63026,64489,66085,68274,69508,70478,69851,69801,69507,67863,67319,68072,68161,68521,69390,69602,69883,71008,71838,72179,72215,72292,71762,70979,71373,71606
 "04001","Apache, AZ",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2361,2717,2855,3164,3345,3600,3787,4163,4129,5118,5180,5378,5679,5958,6371,7220,7308,7598,7696,7891,8719,9056,9794,10775,11313,11468,11259,11963,12111,13066,14231,14470,16575,17326,18355,19384,20732,21325,22695,24746,26361,26995,27506,27487,27956,29458,30765,31385,32845
 "04003","Cochise, AZ",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",235225,258346,310805,350963,393750,422424,444691,486415,527949,598871,644379,729673,811048,859250,937995,1033492,1085132,1152180,1227098,1294453,1358577,1439562,1527274,1654714,1719311,1814646,1886593,1986665,2068792,2202974,2281510,2444761,2637453,2771101,3024788,3247831,3530600,3739833,4025825,4259200,4440968,4550397,4681207,4531332,4463184,4556979,4662523,4728614,4902154
 "04003","Cochise, AZ",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",60500,62770,67149,70938,74558,76165,76922,78946,80688,83160,86268,86172,88036,88373,88872,90937,91192,94093,96690,96316,97551,97918,99058,101453,104403,109323,112480,112880,114907,116091,116530,118132,118798,119847,120638,123234,125786,127241,128206,129023,130081,131782,132952,131826,129332,127054,126084,125355,124756
 "04003","Cochise, AZ",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3888,4116,4629,4947,5281,5546,5781,6161,6543,7201,7470,8468,9213,9723,10554,11365,11899,12245,12691,13440,13927,14702,15418,16310,16468,16599,16773,17600,18004,18976,19579,20695,22201,23122,25073,26355,28068,29392,31401,33011,34140,34530,35210,34374,34510,35866,36979,37722,39294
 "04005","Coconino, AZ",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",146531,161686,191445,232114,274482,296520,335707,361820,397913,470375,520701,600418,665849,713246,783166,872848,956449,1054836,1124707,1207907,1281478,1388541,1485117,1629994,1723819,1872310,2001700,2149711,2303810,2457638,2583559,2774397,2932557,3066787,3222536,3476352,3744862,4119871,4416384,4716122,4517343,4622891,4971530,5005591,5235880,5605538,5935647,6203928,6513074
 "04005","Coconino, AZ",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",48200,49180,53330,58203,61654,64831,69825,66403,68939,70815,73357,75579,77794,79156,81118,83640,84431,87575,90380,93355,95194,97106,99647,102498,105570,108680,110954,112686,114444,114874,115307,116773,118283,121308,122882,125117,127025,128695,130442,131853,133477,134612,134181,136002,136448,137209,138682,140079,140776
 "04005","Coconino, AZ",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3040,3288,3590,3988,4452,4574,4808,5449,5772,6642,7098,7944,8559,9011,9655,10436,11328,12045,12444,12939,13462,14299,14904,15903,16329,17228,18041,19077,20130,21394,22406,23759,24793,25281,26225,27785,29481,32013,33857,35768,33844,34342,37051,36805,38373,40854,42800,44289,46266
 "04007","Gila, AZ",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",73237,87049,92834,112241,138290,143238,158894,169129,190414,216965,248932,278548,335626,337487,346637,371251,393490,413535,436904,483941,517296,556678,591396,637902,688574,746318,765954,840434,885889,937403,968327,1004818,1045105,1074143,1139356,1196912,1277929,1391036,1497327,1603276,1618374,1622652,1681639,1684398,1732321,1816883,1893958,1934334,2046804
 "04007","Gila, AZ",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",28900,29559,30973,31217,32282,32993,32536,33884,34300,35643,36471,37275,38018,38924,38655,37592,37319,38175,38627,39104,39592,40423,41327,42614,44020,45407,47074,48437,49639,50496,50990,51332,51274,51478,51337,51423,51655,52541,53252,53437,53561,53572,53422,52973,52982,53008,52935,53297,53501
 "04007","Gila, AZ",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2534,2945,2997,3596,4284,4341,4884,4991,5551,6087,6825,7473,8828,8670,8967,9876,10544,10833,11311,12376,13066,13771,14310,14969,15642,16436,16271,17351,17847,18564,18991,19575,20383,20866,22194,23276,24740,26475,28118,30003,30216,30289,31478,31797,32696,34276,35779,36293,38257
 "04009","Graham, AZ",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",39973,48406,51766,59798,78165,84474,78623,94632,99896,115356,130407,147892,167357,164314,174541,195259,193400,205046,222106,243881,263973,283781,305961,334369,353718,379857,394896,433656,464160,474390,481802,502795,511320,532298,569718,602788,653330,720755,806122,938370,895045,910333,944343,988205,1041085,1106102,1114423,1111137,1138635
 "04009","Graham, AZ",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",16200,16722,17452,17577,18682,19959,19721,20897,21045,20675,21251,22920,23133,23830,23943,24536,24574,24415,25204,25612,26213,26611,27339,27972,28966,29657,30587,31503,32203,32795,33279,33511,33356,33224,32985,32703,32964,33701,35175,36639,37525,37158,37124,37009,37419,38064,37786,37767,37466
 "04009","Graham, AZ",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2467,2895,2966,3402,4184,4232,3987,4528,4747,5579,6137,6453,7235,6895,7290,7958,7870,8398,8812,9522,10070,10664,11191,11954,12211,12808,12911,13766,14414,14465,14478,15004,15329,16021,17272,18432,19820,21387,22917,25611,23852,24499,25438,26702,27822,29059,29493,29421,30391
 "04011","Greenlee, AZ",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",34768,41791,41763,48419,60135,63019,66104,69282,68952,79009,91768,95871,113236,84940,95902,98620,86871,87417,89178,94681,101485,110779,120691,131729,135724,143610,162040,173750,181627,184161,178741,203339,177477,166347,171816,177778,193143,216384,242029,287611,254272,252013,267108,273432,312265,339391,327323,325668,346661
 "04011","Greenlee, AZ",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",10200,10477,11171,11236,11610,12353,12159,11919,11859,12065,12220,11422,11478,11747,10694,10204,9052,8407,8273,8105,7839,8029,8265,8571,8747,8803,8920,9034,9081,8919,8535,8547,8349,7831,7567,7549,7595,7838,8205,8561,8635,8332,8569,8744,8892,9319,9549,9623,9455
 "04011","Greenlee, AZ",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3409,3989,3739,4309,5180,5102,5437,5813,5814,6549,7510,8394,9865,7231,8968,9665,9597,10398,10779,11682,12946,13797,14603,15369,15517,16314,18166,19233,20001,20648,20942,23791,21257,21242,22706,23550,25430,27607,29498,33595,29447,30246,31171,31271,35118,36419,34278,33843,36664
 "04012","La Paz, AZ*",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),90305,103130,120365,125948,152085,169176,175962,186949,192498,195120,220757,222910,243046,257481,272546,278246,309972,309894,343494,354242,399202,419931,449049,462564,506476,529004,513123,516805,569046,552023,554562,558722,571915,608391,645531
 "04012","La Paz, AZ*",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),13034,13831,13650,13405,13513,13362,13807,13964,14314,14668,15180,15894,16562,17547,18277,18859,19355,19611,19580,19464,19722,19979,20379,20573,20647,20555,20514,20492,20582,20492,20479,20442,20342,20523,20601
