GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "08000","Colorado",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",8438834,9540190,10759666,12176083,13923113,15609172,17249727,18981259,21174240,24413528,27979283,32050837,36882856,40505905,43694220,47644633,50483632,52445729,54400004,57556607,62010063,65667206,69601893,75599104,81812058,87983829,95648804,103235761,111207820,122314720,132204964,147234259,154409814,154765500,157543201,163427008,174771645,188803293,201227297,207772729,198147196,204691900,222571956,236687388,248958974,271101038,284142915,289620855,306411131
 "08000","Colorado",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",2166000,2223979,2303502,2404576,2495803,2541318,2586144,2632244,2696007,2766725,2849181,2908803,2977899,3061562,3133634,3169995,3208726,3237448,3260477,3262280,3275815,3307618,3387119,3495939,3613734,3724168,3826653,3919972,4018293,4116639,4226018,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5048029,5116411,5186330,5262556,5342311,5440445,5530105,5607154
 "08000","Colorado",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3896,4290,4671,5064,5579,6142,6670,7211,7854,8824,9820,11019,12386,13230,13944,15030,15733,16200,16685,17643,18930,19853,20549,21625,22639,23625,24995,26336,27675,29712,31284,34027,34889,34466,34787,35722,37732,39997,41889,42492,39851,40549,43502,45637,47308,50746,52228,52372,54646
 "08001","Adams, CO*",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",648153,709437,803531,908854,1023302,1125453,1236329,1359933,1532395,1807996,2075271,2388262,2687137,2941564,3161300,3428466,3617257,3730964,3798194,3928630,4133785,4354140,4607325,5025860,5445249,5855712,6316981,6758615,7429404,8142658,8921944,9927767,10470196,10352424,10660891,10970152,11420709,12081042,12807241,13471588,13410531,13630218,14634652,15609561,16355498,17657959,18834014,19705966,20738261
 "08001","Adams, CO*",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",182656,187062,193787,203924,211825,214692,218820,224439,227864,239598,245966,247145,251341,258855,262155,264814,266973,267687,268485,266684,263401,266629,274311,284362,293995,302197,313439,323218,332462,343094,354146,366958,376443,370753,377464,384809,395146,406575,415746,424913,435700,443672,451443,459861,469377,479488,489822,497395,503167
 "08001","Adams, CO*",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3548,3793,4146,4457,4831,5242,5650,6059,6725,7546,8437,9663,10691,11364,12059,12947,13549,13938,14147,14731,15694,16330,16796,17674,18522,19377,20154,20910,22347,23733,25193,27054,27813,27923,28243,28508,28903,29714,30805,31704,30779,30721,32417,33944,34845,36827,38451,39618,41215
 "08003","Alamosa, CO",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",29164,31926,35343,38097,42034,49379,58120,64623,68397,77398,83659,100434,108051,111493,127404,131179,138746,156087,154450,162329,182007,197695,194350,202945,230421,242818,257748,280486,284120,312971,318408,335845,345048,372956,355893,374032,390843,395879,418965,441537,447140,450747,482209,488288,496410,521982,565395,568602,591214
 "08003","Alamosa, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",10701,11502,11832,12239,11580,11515,12252,12073,11598,11557,11618,11870,12131,12344,12469,12846,12834,13146,13332,13712,13752,13602,13926,13790,13816,14071,14372,14367,14634,14730,14881,14954,14956,15114,15067,15217,15236,15196,15180,15300,15289,15937,16117,16092,16200,16213,16305,16456,16551
 "08003","Alamosa, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2725,2776,2987,3113,3630,4288,4744,5353,5897,6697,7201,8461,8907,9032,10218,10212,10811,11873,11585,11838,13235,14534,13956,14717,16678,17257,17934,19523,19415,21247,21397,22459,23071,24676,23621,24580,25653,26052,27600,28859,29246,28283,29919,30344,30643,32195,34676,34553,35721
 "08005","Arapahoe, CO",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",759223,848588,994133,1163657,1374384,1573300,1803835,2052499,2352715,2807993,3329809,3959838,4661369,5250773,5739543,6370747,6925136,7266846,7633434,8118937,8911767,9602751,10106511,10854507,11655804,12628128,13498090,14677116,15447846,17019426,18559569,20944690,20848626,20852670,21211104,21060042,21844161,23802189,25070778,23957876,22303444,23454807,27321656,28821168,30178847,32904644,34256124,35106133,36423679
 "08005","Arapahoe, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",157055,163696,171308,184665,199083,208362,219967,230470,242501,261177,278330,297301,312603,330653,344923,357164,369021,377636,382074,382304,384980,393895,406279,420063,431731,440965,446821,454208,462681,472544,482262,491482,502393,508936,513690,518971,524466,531619,542039,552461,563161,574650,584955,595094,606839,617385,628834,636949,643052
 "08005","Arapahoe, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4834,5184,5803,6301,6904,7551,8200,8906,9702,10751,11964,13319,14911,15880,16640,17837,18766,19243,19979,21237,23149,24379,24876,25840,26998,28637,30209,32314,33388,36017,38484,42615,41499,40973,41292,40580,41650,44773,46253,43366,39604,40816,46707,48431,49731,53297,54476,55116,56642
 "08007","Archuleta, CO",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",10118,9035,9825,10287,11460,13735,15616,20177,21975,23471,31748,33532,36247,37262,44849,49525,54056,57377,57816,60403,67421,71121,77201,88015,93410,105091,115519,130682,145548,165480,185203,201471,259121,275062,276596,274162,303345,342985,370435,381862,358785,365024,385337,405134,417706,462646,488554,515405,531858
 "08007","Archuleta, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",2615,2687,2490,2417,2706,2805,2966,3247,3318,3256,3509,3740,4039,4296,4538,4639,4847,4891,5005,5119,5166,5382,5557,5725,6119,6511,7098,7896,8498,9109,9510,10020,10454,10885,11089,11266,11496,11937,12262,12250,12169,12045,12014,12124,12205,12222,12382,12836,13315
 "08007","Archuleta, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3869,3362,3946,4256,4235,4897,5265,6214,6623,7209,9048,8966,8974,8674,9883,10676,11152,11731,11552,11800,13051,13215,13893,15374,15266,16141,16275,16550,17127,18167,19475,20107,24787,25270,24943,24335,26387,28733,30210,31172,29484,30305,32074,33416,34224,37854,39457,40153,39944
 "08009","Baca, CO",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",18401,23136,22311,24875,41543,29654,24914,30453,34868,28190,31052,38796,45689,50119,64580,69430,65912,68666,74952,78980,71306,84901,76665,78188,89947,80081,87437,93620,98805,112724,118638,111179,118575,95101,112514,109629,116899,97311,119190,125677,142527,148649,165056,139700,155139,142026,133186,137509,149671
 "08009","Baca, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",5800,5661,5616,5739,5650,5522,5675,5726,5562,5506,5462,5397,5300,5241,5186,5112,4992,4873,4873,4828,4743,4525,4527,4489,4421,4428,4506,4616,4563,4548,4562,4501,4471,4336,4117,4064,3997,3933,3866,3806,3767,3808,3778,3722,3655,3586,3552,3548,3562
 "08009","Baca, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3173,4087,3973,4334,7353,5370,4390,5318,6269,5120,5685,7188,8621,9563,12453,13582,13204,14091,15381,16359,15034,18763,16935,17418,20345,18085,19405,20282,21654,24785,26006,24701,26521,21933,27329,26976,29247,24742,30830,33021,37836,39036,43689,37534,42446,39606,37496,38757,42019
 "08011","Bent, CO",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",16947,19345,21912,23711,27616,28490,33701,34156,33263,37789,44090,42786,47307,49207,54250,59170,60888,63400,63847,66131,68392,71914,75525,79145,84982,86298,89895,94760,97613,105918,112240,116820,124260,116228,127085,129009,132043,125971,135976,140559,143294,141951,145942,141573,143177,147775,161740,155297,156866
 "08011","Bent, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",6638,6497,6525,6430,6041,6143,6393,6279,6166,5880,6005,5940,5909,5839,5998,5937,5868,5739,5588,5377,5162,5028,4928,4988,5415,5488,5579,5610,5539,5960,6049,5954,5841,5973,6166,6180,6118,6012,5715,5962,6425,6501,6328,5816,5733,5784,5893,5681,5938
 "08011","Bent, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2553,2978,3358,3688,4571,4638,5272,5440,5395,6427,7342,7203,8006,8427,9045,9966,10376,11047,11426,12299,13249,14303,15326,15867,15694,15725,16113,16891,17623,17771,18555,19620,21274,19459,20611,20875,21583,20953,23793,23576,22303,21835,23063,24342,24974,25549,27446,27336,26417
 "08013","Boulder, CO*",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",538596,600343,680907,768819,864808,979831,1109846,1245164,1434420,1683852,1959091,2217801,2556325,2822610,3095368,3452403,3621559,3793647,4022785,4339346,4740937,5074432,5390167,5960244,6429321,6968605,7546846,8159812,8878042,9692349,10621526,12197752,12645707,11535289,11718366,12023818,12904847,13881261,14547608,15060376,13696406,14815455,15632452,16700010,17505391,18896217,20412704,20924309,21939604
 "08013","Boulder, CO*",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",129577,133342,140808,151309,159509,166449,166670,169117,178121,183432,187125,190935,195705,200827,206440,211206,213942,215971,218024,219915,223507,226374,232846,240430,247405,254324,259520,264630,270744,277562,285901,293358,300137,279468,278768,279728,280241,284243,287428,290859,293190,295930,300518,305028,309749,312505,317968,321173,322514
 "08013","Boulder, CO*",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4157,4502,4836,5081,5422,5887,6659,7363,8053,9180,10469,11615,13062,14055,14994,16346,16928,17566,18451,19732,21212,22416,23149,24790,25987,27401,29080,30835,32791,34920,37151,41580,42133,41276,42036,42984,46049,48836,50613,51779,46715,50064,52018,54749,56515,60467,64197,65150,68027
 "08014","Broomfield, CO*",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1734001,1816500,1958486,2192932,2599585,2977379,3333874,3130831,3035162,3230126,3441624,3306656,3557938,3804195,4011545,4346242
 "08014","Broomfield, CO*",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41800,43805,44867,46313,48729,51526,53181,54789,56214,57445,58899,60065,61706,64796,66509,68341
 "08014","Broomfield, CO*",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41483,41468,43651,47350,53348,57784,62689,57143,53993,56230,58433,55051,57660,58710,60316,63596
 "08015","Chaffee, CO",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",29707,35861,39929,43676,50453,58027,66925,75296,84180,95438,110725,125592,137691,134537,130647,144411,149236,153668,155272,157921,166843,174329,187055,197546,211264,228895,256211,274212,292810,317860,346336,369885,389507,393187,403538,421077,447062,479124,519241,531622,543731,549434,584992,618939,651613,718525,764647,814227,859607
 "08015","Chaffee, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",10103,10273,10810,11340,11595,11747,12131,12109,12563,12567,13013,13270,13410,13337,13026,12699,12819,12671,12682,12637,12741,12696,12788,13036,13550,13930,14398,14892,15195,15431,16026,16337,16488,16844,16921,17047,17105,17087,17377,17573,17852,17805,18019,18142,18347,18439,18582,19082,19638
 "08015","Chaffee, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2940,3491,3694,3851,4351,4940,5517,6218,6701,7594,8509,9464,10268,10088,10030,11372,11642,12128,12243,12497,13095,13731,14627,15154,15591,16432,17795,18413,19270,20599,21611,22641,23624,23343,23848,24701,26136,28040,29881,30252,30458,30858,32465,34116,35516,38968,41150,42670,43773
 "08017","Cheyenne, CO",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",8929,9915,11578,9113,15601,17846,16349,14543,15929,15663,14829,20731,25064,34680,48272,39843,45234,46121,37388,42513,39610,45595,42335,46333,53428,47845,61597,46988,54716,66271,77925,63622,71866,54610,70918,66338,68456,60794,87821,76473,88172,99409,108280,97721,104098,97849,95724,90881,105556
 "08017","Cheyenne, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",2433,2398,2418,2276,2301,2305,2244,2230,2064,2122,2174,2167,2220,2279,2302,2387,2379,2377,2288,2340,2402,2395,2377,2450,2348,2316,2304,2313,2261,2334,2255,2209,2179,2119,2021,1981,1939,1912,1863,1881,1843,1832,1853,1862,1869,1834,1811,1834,1845
 "08017","Cheyenne, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3670,4135,4788,4004,6780,7742,7286,6522,7718,7381,6821,9567,11290,15217,20970,16692,19014,19403,16341,18168,16490,19038,17810,18911,22755,20658,26735,20315,24200,28394,34557,28801,32981,25772,35091,33487,35305,31796,47140,40656,47842,54263,58435,52482,55697,53353,52857,49553,57212
 "08019","Clear Creek, CO",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",20205,22628,28449,33310,26951,31018,35718,45900,56392,70482,79277,92316,101185,103143,97834,110470,116789,120964,126768,127115,134954,144040,152951,173571,184337,193998,210619,230069,255436,281455,302726,330917,335752,363435,393125,395103,410206,425206,412895,421616,403323,398603,418391,433657,452223,474898,516941,525826,542577
 "08019","Clear Creek, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",4681,4977,5739,5911,5747,5754,6058,6195,6202,6595,6986,7350,7504,7655,7913,7800,7793,7762,7741,7666,7567,7632,7852,8038,8292,8571,8808,8800,8981,9122,9293,9255,9383,9514,9402,9148,9150,9042,9152,9138,8994,9083,9002,9005,9008,9110,9233,9361,9574
 "08019","Clear Creek, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4316,4547,4957,5635,4690,5391,5896,7409,9093,10687,11348,12560,13484,13474,12364,14163,14986,15584,16376,16582,17835,18873,19479,21594,22231,22634,23912,26144,28442,30855,32576,35755,35783,38200,41813,43190,44831,47026,45115,46139,44844,43885,46478,48157,50202,52129,55988,56172,56672
 "08021","Conejos, CO",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",13312,16095,17326,20355,19313,23329,26445,27588,28334,30813,35085,39624,42143,43551,49068,51978,56621,54923,59868,63498,68072,75253,78882,86824,93735,97299,107203,111617,119219,124076,130733,136650,149737,149942,163556,170352,173288,174813,182560,191796,201703,204034,220842,225463,238499,244525,271019,273084,284201
 "08021","Conejos, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",7797,7839,7829,7867,7928,8032,8106,7920,7962,7847,7787,7764,7629,7671,7789,7743,7592,7614,7607,7567,7494,7479,7545,7506,7617,7789,7888,7995,8056,8205,8336,8401,8350,8358,8310,8353,8337,8256,8217,8200,8140,8312,8279,8239,8192,8224,8061,8072,8184
 "08021","Conejos, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",1707,2053,2213,2587,2436,2905,3262,3483,3559,3927,4506,5104,5524,5677,6300,6713,7458,7213,7870,8391,9084,10062,10455,11567,12306,12492,13591,13961,14799,15122,15683,16266,17933,17940,19682,20394,20785,21174,22217,23390,24779,24547,26675,27365,29114,29733,33621,33831,34726
 "08023","Costilla, CO",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",5142,5706,6064,7279,7951,8788,10071,11236,11830,14223,16079,19626,22041,22132,29298,32749,33365,30167,29426,31759,33051,38851,41546,45261,48976,50822,55332,59168,59014,63140,68192,70967,76156,79915,76464,75376,78287,80377,83691,83855,89902,88526,99934,97786,102214,105688,115975,116856,123677
 "08023","Costilla, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",3081,3074,3064,3238,3208,3113,3142,3120,3173,3238,3151,3067,3045,3131,3217,3360,3320,3228,3217,3217,3215,3183,3262,3202,3225,3286,3399,3576,3605,3644,3601,3675,3619,3639,3645,3656,3562,3571,3567,3532,3481,3529,3636,3597,3535,3554,3569,3705,3776
 "08023","Costilla, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",1669,1856,1979,2248,2478,2823,3205,3601,3728,4393,5103,6399,7238,7069,9107,9747,10050,9345,9147,9872,10280,12206,12736,14135,15186,15466,16279,16546,16370,17327,18937,19311,21043,21961,20978,20617,21978,22508,23463,23742,25826,25085,27485,27185,28915,29738,32495,31540,32753
 "08025","Crowley, CO",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",8285,9975,11237,13949,20642,17188,22852,23552,21475,19893,20739,28974,34307,25334,22303,28454,29450,32157,34479,38924,43067,47157,45075,50194,51607,52206,57618,61683,74461,74342,81615,88605,99304,84365,85217,86613,96011,95467,99432,103567,96031,95530,95253,98073,98400,103570,124364,118563,112962
