GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "10000","Delaware",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2441193,2599931,2844088,3124948,3462300,3747067,4029225,4403982,4741121,5201590,5716943,6430508,7094131,7634123,8131632,8972541,9733839,10356846,11194189,12256360,13630691,14367121,15196277,15854345,16466756,17165308,18171954,19433856,20342252,22495269,24140107,26628461,29340441,30328740,31030768,32295515,33165848,35225796,36335669,36033818,36291060,36707178,39796706,40309220,40897981,42751170,45012206,45916981,47782056
 "10000","Delaware",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",540000,550332,565207,573821,579078,583150,588756,592755,594821,598188,598830,594919,595974,599148,605459,611565,618279,627559,636946,647621,658274,669567,683080,694925,706378,717545,729734,740977,751487,763335,774990,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899712,907884,916868,925114,934805,944107,952698,961939
 "10000","Delaware",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4521,4724,5032,5446,5979,6426,6844,7430,7971,8696,9547,10809,11903,12742,13431,14671,15743,16503,17575,18925,20707,21457,22247,22814,23312,23922,24902,26227,27069,29470,31149,33862,36874,37621,37935,38873,39243,40995,41681,40768,40697,40799,43835,43964,44209,45733,47677,48197,49673
 "10001","Kent, DE",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",299381,329298,366988,408579,456659,510034,562531,607527,649026,716082,771030,842712,949603,1026420,1090616,1193297,1286780,1388580,1495350,1638237,1799718,1913129,2032361,2143911,2209117,2313151,2466683,2644216,2705802,2944272,3159582,3462370,3485763,3696742,3944688,4285749,4492907,4855663,5107946,5234526,5458585,5513788,5835406,5967753,6126335,6369739,6546305,6805126,7126715
 "10001","Kent, DE",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",80668,82633,86628,89512,90286,91026,92521,94465,96264,98251,99166,98280,98317,99225,100953,101261,102818,104713,106263,106965,109052,111638,114288,115682,117987,119039,120715,121447,122419,124056,125611,127229,129228,131824,134605,139342,144585,149704,153969,157925,160081,162973,165149,167442,169150,171664,173332,174754,176824
 "10001","Kent, DE",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3711,3985,4236,4565,5058,5603,6080,6431,6742,7288,7775,8575,9659,10344,10803,11784,12515,13261,14072,15316,16503,17137,17783,18533,18723,19432,20434,21773,22103,23733,25154,27214,26974,28043,29306,30757,31075,32435,33175,33146,34099,33833,35334,35641,36218,37106,37767,38941,40304
 "10003","New Castle, DE",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1852561,1970847,2144881,2334212,2556144,2768293,2931313,3221263,3482374,3810995,4212725,4774262,5233515,5604685,5933139,6544964,7081819,7449087,8081139,8842671,9877227,10470849,11032472,11461393,11942826,12339740,13010731,13811911,14458239,16026512,17128029,18938977,21222437,21884278,21890399,22170454,22576921,23885373,24366947,23574642,23688073,23961835,26240927,26121806,26010508,27079549,28235100,28725124,29992261
 "10003","New Castle, DE",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",379718,386875,394660,399024,401606,402466,404722,404630,404013,404245,402160,398528,399323,401475,404700,408235,411518,416660,422474,430684,437788,443784,450843,457210,462245,468297,474435,479995,485166,490382,496079,501837,506026,510158,514769,518944,523343,527174,530555,533958,536898,538831,542282,546120,549486,552465,555587,557851,559793
 "10003","New Castle, DE",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4879,5094,5435,5850,6365,6878,7243,7961,8619,9427,10475,11980,13106,13960,14661,16032,17209,17878,19128,20532,22562,23594,24471,25068,25837,26350,27424,28775,29801,32682,34527,37739,41939,42897,42525,42722,43140,45308,45927,44151,44120,44470,48390,47832,47336,49016,50820,51492,53577
 "10005","Sussex, DE",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",289251,299786,332219,382157,449497,468740,535381,575192,609721,674513,733188,813534,911013,1003018,1107877,1234280,1365240,1519179,1617700,1775452,1953746,1983143,2131444,2249041,2314813,2512417,2694540,2977729,3178211,3524485,3852496,4227114,4632241,4747720,5195681,5839312,6096020,6484760,6860776,7224650,7144402,7231555,7720373,8219661,8761138,9301882,10230801,10386731,10663080
 "10005","Sussex, DE",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",79614,80824,83919,85285,87186,89658,91513,93660,94544,95692,97504,98111,98334,98448,99806,102069,103943,106186,108209,109972,111434,114145,117949,122033,126146,130209,134584,139535,143902,148897,153300,157307,160445,164187,168629,172517,177222,182390,187225,191991,194751,197908,200453,203306,206478,210676,215188,220093,225322
 "10005","Sussex, DE",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3633,3709,3959,4481,5156,5228,5850,6141,6449,7049,7520,8292,9264,10188,11100,12093,13135,14307,14950,16145,17533,17374,18071,18430,18350,19295,20021,21340,22086,23671,25130,26872,28871,28917,30811,33848,34398,35554,36645,37630,36685,36540,38515,40430,42431,44153,47544,47192,47324
"Note: See the included footnote file."
"Last updated: March 6, 2019-- revised statistics for 1969-2000. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
