GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "13000","Georgia",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",14980053,16310397,18009654,20206129,22848185,25067819,27084317,30146592,33332134,37818959,42321274,47192827,53458827,57866802,63379476,71862580,78685453,85846419,92434090,100796670,108619295,116149869,121895048,131979043,140173332,150941952,162948300,176085673,187547917,205109390,218793445,236810354,248728192,255618215,264925805,279469439,296727305,316877770,331391419,333747295,327375254,335318009,359574722,367803705,373356233,398881758,422844996,439574419,460402913
 "13000","Georgia",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",4551000,4605421,4710272,4807151,4906940,4994870,5058535,5126155,5211771,5286148,5391265,5486174,5568346,5649788,5728248,5834943,5962639,6084645,6208479,6316139,6411117,6512602,6653005,6817203,6978240,7157165,7328413,7501069,7685099,7863536,8045965,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9712696,9810595,9911171,9981773,10083850,10199533,10313620,10429379
 "13000","Georgia",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3292,3542,3823,4203,4656,5019,5354,5881,6396,7154,7850,8602,9600,10242,11064,12316,13196,14109,14888,15959,16942,17835,18322,19360,20087,21090,22235,23475,24404,26084,27193,28783,29692,30044,30724,31869,33243,34609,35443,35113,34028,34524,36652,37110,37404,39556,41457,42621,44145
 "13001","Appling, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",26143,31043,36680,46767,54911,56580,64640,70875,69901,86607,88489,91855,116835,129558,135829,159210,156844,172412,172685,176694,186734,192602,213227,225182,237590,267649,275889,290346,304581,313437,329426,344261,348364,341974,362847,374717,391222,393275,416250,435233,448515,463870,502315,511485,516970,534144,560584,568068,587690
 "13001","Appling, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",12457,12827,13341,13647,14376,14546,14765,15185,15536,15527,15205,15529,15362,15601,15787,15977,15857,15745,15719,15814,15749,15776,16020,16172,16273,16323,16540,16728,16892,17116,17323,17396,17455,17502,17732,17740,17769,17725,17985,18133,18144,18336,18469,18402,18395,18502,18450,18485,18521
 "13001","Appling, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2099,2420,2749,3427,3820,3890,4378,4667,4499,5578,5820,5915,7605,8304,8604,9965,9891,10950,10986,11173,11857,12209,13310,13924,14600,16397,16680,17357,18031,18313,19017,19790,19958,19539,20463,21123,22017,22188,23144,24002,24720,25298,27198,27795,28104,28870,30384,30731,31731
 "13003","Atkinson, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",11802,12392,13820,16037,19732,21180,23319,24842,24009,29668,31676,33419,41926,48330,50811,57730,58444,63150,64797,71752,77679,80241,83158,92080,96306,110388,118316,126487,129160,135376,142874,137350,145525,146085,157259,165511,174799,173216,176761,191517,187214,182632,197893,200771,205738,205302,219237,221156,234157
 "13003","Atkinson, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",5969,5826,5706,5799,5932,5957,6008,6091,6124,6187,6085,6151,6180,6177,6132,6196,6332,6373,6298,6265,6231,6223,6240,6330,6579,6718,6914,7160,7373,7408,7575,7591,7641,7748,7990,7985,8096,8197,8346,8366,8386,8365,8373,8273,8285,8243,8375,8320,8342
 "13003","Atkinson, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",1977,2127,2422,2765,3326,3555,3881,4078,3920,4795,5206,5433,6784,7824,8286,9317,9230,9909,10289,11453,12467,12894,13327,14547,14638,16432,17113,17666,17518,18274,18861,18094,19045,18855,19682,20728,21591,21132,21179,22892,22325,21833,23635,24268,24833,24906,26178,26581,28070
 "13005","Bacon, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",19623,22381,24858,27861,31399,36941,37802,39430,41530,49189,51132,55979,63182,66344,70825,81776,85895,93616,101801,111175,117378,120869,130304,139212,145931,157303,166273,174519,176340,187478,191130,199844,208725,201309,212565,220454,228922,227581,241769,259583,262633,271447,295981,299064,305251,321278,337132,355447,365721
 "13005","Bacon, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",8182,8290,8509,8631,8868,8930,9091,9225,9355,9324,9230,9402,9477,9577,9648,9734,9718,9732,9884,9701,9620,9570,9557,9700,9944,10138,10154,10131,10036,10053,10053,10131,10133,10101,10253,10283,10552,10682,10968,10987,11134,11064,11162,11177,11205,11218,11287,11365,11319
 "13005","Bacon, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2398,2700,2921,3228,3541,4137,4158,4274,4439,5276,5540,5954,6667,6927,7341,8401,8839,9619,10300,11460,12201,12630,13634,14352,14675,15516,16375,17226,17571,18649,19012,19726,20599,19930,20732,21439,21695,21305,22043,23626,23588,24534,26517,26757,27242,28640,29869,31276,32310
 "13007","Baker, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",7534,8608,10173,10473,13311,16476,16273,17186,16140,19712,23709,20560,28526,29423,31206,42198,40243,40726,41207,46821,46426,47157,52021,53625,55969,64901,72590,72688,74352,76054,79930,82988,91252,93608,98512,94203,102366,99035,103837,106738,97766,105471,121144,130054,126427,109805,111184,113664,109238
 "13007","Baker, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",3859,3822,3608,3706,3903,3800,3726,3753,3847,3879,3820,3807,3796,3916,3870,3779,3827,3793,3783,3690,3647,3617,3741,3722,3871,3876,3987,3980,4056,4003,4089,4025,4005,3923,4124,4024,3967,3877,3706,3728,3560,3435,3316,3377,3351,3295,3201,3208,3200
 "13007","Baker, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",1952,2252,2820,2826,3410,4336,4367,4579,4195,5082,6207,5401,7515,7514,8064,11166,10516,10737,10893,12689,12730,13038,13906,14408,14459,16744,18207,18263,18331,18999,19548,20618,22785,23861,23887,23410,25804,25544,28019,28631,27462,30705,36533,38512,37728,33325,34734,35431,34137
 "13009","Baldwin, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",75061,80489,89140,98622,113293,130199,143707,164071,180483,204881,235044,264831,305569,327547,360892,387921,415810,452220,481893,523998,571598,607315,662188,708505,756536,789678,847518,888184,924095,973355,1001731,1033545,1004773,1057676,1074575,1073418,1106213,1139813,1162159,1217373,1211372,1205681,1249416,1262925,1273169,1342662,1381089,1405227,1444880
 "13009","Baldwin, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",34799,34269,34935,33913,34201,34320,35735,34613,34806,33783,34455,34835,35366,36758,37242,37478,38241,38520,38897,39345,39465,39627,40252,40895,41759,42089,42709,43223,43721,43968,44440,44684,44764,45203,45433,45967,46304,46513,47336,47855,47087,45691,45147,46499,46166,45853,45518,45190,44906
 "13009","Baldwin, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2157,2349,2552,2908,3313,3794,4021,4740,5185,6065,6822,7602,8640,8911,9690,10351,10873,11740,12389,13318,14484,15326,16451,17325,18117,18762,19844,20549,21136,22138,22541,23130,22446,23398,23652,23352,23890,24505,24551,25439,25726,26388,27674,27160,27578,29282,30342,31096,32176
 "13011","Banks, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",14906,14988,16372,19334,23707,24937,30346,34661,37819,45480,49424,55420,60711,66636,78471,91805,97364,105732,107437,122338,139322,146393,157526,175497,190130,205926,218177,247727,265524,292519,313711,324302,356984,357138,371872,405800,422985,412756,450074,482348,467220,466503,472792,517809,531846,562201,592024,601065,647513
 "13011","Banks, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",6778,6810,6821,7093,7123,7215,7406,7644,8050,8220,8374,8708,8719,8927,9023,9283,9473,9640,9928,10155,10155,10379,10541,10865,11069,11371,11943,12429,13162,13608,14037,14544,15025,15485,15836,16250,16683,17076,17550,17953,18208,18421,18267,18153,18244,18248,18382,18309,18634
 "13011","Banks, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2199,2201,2400,2726,3328,3456,4097,4534,4698,5533,5902,6364,6963,7465,8697,9890,10278,10968,10822,12047,13720,14105,14944,16153,17177,18110,18268,19931,20174,21496,22349,22298,23759,23063,23483,24972,25354,24172,25645,26867,25660,25325,25882,28525,29152,30809,32207,32829,34749
 "13013","Barrow, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",49450,53091,57637,66983,75000,82013,92968,102667,111856,124236,144286,161546,183200,199932,222567,260113,285573,321569,339358,380629,414689,437772,472752,520116,566579,620221,691549,763472,840216,944523,1017645,1106794,1138580,1162983,1223122,1372580,1502414,1659315,1773241,1899952,1848405,1834120,1973161,2072371,2160937,2347464,2513133,2637477,2780078
 "13013","Barrow, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",16517,16976,17539,18514,18649,19169,19556,19743,19959,20326,20862,21482,21952,22371,23046,23872,24757,25781,26574,27376,28656,30106,31341,32525,33911,35480,37046,39111,40938,42812,44615,46520,48171,50409,52253,55032,57889,61395,64760,67362,68548,69696,69894,70206,71319,72959,75067,77091,79061
 "13013","Barrow, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2994,3127,3286,3618,4022,4278,4754,5200,5604,6112,6916,7520,8345,8937,9658,10896,11535,12473,12770,13904,14471,14541,15084,15991,16708,17481,18667,19521,20524,22062,22809,23792,23636,23071,23408,24941,25953,27027,27382,28205,26965,26316,28231,29518,30300,32175,33479,34213,35164
 "13015","Bartow, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",97242,105940,118349,131569,155939,169384,182909,202615,223722,251449,276041,300859,347635,370025,410171,463869,503893,566430,623427,690424,772531,847138,877256,973379,1052411,1148809,1256257,1400324,1495861,1665625,1820966,2062691,2141899,2262378,2386018,2387174,2505062,2673757,2843462,2884892,2815872,2795377,2997263,3125264,3169884,3362385,3576221,3738218,3925052
 "13015","Bartow, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",32378,33166,34482,35716,36957,37447,37820,38314,39076,39295,40046,40901,41391,42427,43366,44418,45973,48223,50623,52535,54413,56360,57961,59241,59723,61261,63334,65869,68772,71457,74128,76806,79984,83106,85731,87834,90334,92983,95714,98415,99807,100095,100213,100365,101056,101397,102176,103431,105054
