GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "15000","Hawaii",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",3643173,4224922,4584077,5047834,5592618,6360651,6919030,7465926,8084039,8953923,10042788,11483936,12434061,13166230,14443315,15472574,16452513,17458138,18618700,20477516,22873584,24979076,26432925,28434498,29476498,30163706,30864018,30894933,31907547,32703368,33864334,35852371,37354451,39012166,40852209,44054767,47359463,50773533,53520243,56166169,56013398,57101367,59922334,62434642,63355087,66899449,70323405,72650058,75355132
 "15000","Hawaii",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",743000,762920,791580,818104,841851,858121,875052,892335,915749,928816,950050,967710,978195,993780,1012717,1027922,1039698,1051762,1067917,1079827,1094588,1113491,1136754,1158613,1172838,1187536,1196854,1203755,1211640,1215233,1210300,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1363817,1378323,1392772,1408038,1417710,1426320,1428683,1427538
 "15000","Hawaii",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4903,5538,5791,6170,6643,7412,7907,8367,8828,9640,10571,11867,12711,13249,14262,15052,15824,16599,17435,18964,20897,22433,23253,24542,25133,25400,25788,25665,26334,26911,27980,29544,30470,31471,32652,34592,36635,38766,40679,42160,41593,41869,43475,44828,44995,47188,49304,50851,52787
 "15001","Hawaii, HI",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",227320,269351,302967,334447,371781,509292,507077,533210,586924,652918,743795,935944,947621,998720,1121382,1171178,1229162,1339117,1427334,1570925,1817564,2026536,2201619,2334976,2462395,2557164,2636585,2698938,2777341,2953853,3103270,3345644,3527356,3732289,3949433,4388806,4855304,5236782,5584327,5920730,5710062,5859464,6126912,6367044,6450962,6875443,7402010,7677840,8053011
 "15001","Hawaii, HI",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",63104,63549,73508,69922,72856,73891,77212,80481,82610,85661,89069,92897,96122,98798,100764,103528,105900,108362,111735,113439,116585,121572,127266,131630,135085,137713,140492,141935,144445,145833,146970,149244,151690,154576,158442,162852,168237,173536,177733,181506,183629,185347,187049,189118,191583,194240,196740,198681,200381
 "15001","Hawaii, HI",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3602,4238,4122,4783,5103,6892,6567,6625,7105,7622,8351,10075,9859,10109,11129,11313,11607,12358,12774,13848,15590,16669,17299,17739,18228,18569,18767,19015,19228,20255,21115,22417,23254,24145,24927,26950,28860,30177,31420,32620,31096,31613,32756,33667,33672,35397,37623,38644,40188
 "15003","Honolulu, HI",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",3132729,3634964,3926337,4327655,4791314,5274604,5821193,6281530,6771327,7496119,8372875,9422314,10313480,10892215,11852319,12755379,13549475,14298161,15228178,16651964,18429324,20038505,21105032,22665937,23390411,23857762,24342583,24282200,25101536,25542879,26270596,27698372,28738100,29937496,31215818,33424009,35767141,38301624,40245095,42190859,42616645,43342396,45446147,47163235,47883947,50398758,52693399,54329238,56083760
 "15003","Honolulu, HI",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",603438,623756,633043,664830,683772,698033,707866,716911,734962,740505,753428,763820,767573,776075,789097,797791,804294,810444,818447,824072,831337,838534,850510,863959,870348,878591,881399,883443,886711,886909,878906,876629,882755,890473,894311,907997,918181,926954,925335,933680,943177,956193,966514,976299,985734,989438,993716,992761,988650
 "15003","Honolulu, HI",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",5191,5828,6202,6509,7007,7556,8224,8762,9213,10123,11113,12336,13436,14035,15020,15988,16846,17642,18606,20207,22168,23897,24815,26235,26875,27155,27618,27486,28309,28800,29890,31596,32555,33620,34905,36811,38954,41320,43492,45188,45184,45328,47021,48308,48577,50937,53027,54725,56728
 "15007","Kauai, HI",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",111803,121099,134673,143594,160982,219312,211201,228065,250537,275338,314039,392170,403261,437234,490006,507186,546508,592559,633315,754188,878673,960349,1045652,1130647,1182522,1209634,1264820,1261158,1284089,1319562,1375990,1477315,1542652,1599594,1705040,1891829,2027093,2163310,2307250,2417121,2335793,2371644,2486235,2598375,2702376,2891803,3063820,3186559,3362332
 "15007","Kauai, HI",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",30044,29620,33245,31864,32530,32536,33305,34770,35414,36700,38016,39369,40457,41804,42796,43634,44357,45567,47203,48549,49847,51676,53379,54439,55461,56478,57068,57688,57712,57843,58264,58568,59075,59981,60805,62095,62863,63465,64490,65603,66518,67199,67832,68573,69626,70523,71387,71769,72159
 "15007","Kauai, HI",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3721,4088,4051,4506,4949,6741,6341,6559,7075,7502,8261,9961,9968,10459,11450,11624,12321,13004,13417,15535,17627,18584,19589,20769,21322,21418,22163,21862,22250,22813,23616,25224,26113,26668,28041,30467,32246,34087,35777,36845,35115,35293,36653,37892,38813,41005,42918,44400,46596
 "15901","Maui + Kalawao, HI*",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",171321,199508,220100,242138,268541,357443,379559,423121,475251,529548,612079,733508,769699,838061,979608,1038831,1127368,1228301,1329873,1500439,1748023,1953686,2080622,2302938,2441170,2539146,2620030,2652637,2744581,2887074,3114478,3331040,3546343,3742787,3981918,4350123,4709925,5071817,5383571,5637459,5350898,5527863,5863040,6305988,6317802,6733445,7164176,7456421,7856029
 "15901","Maui + Kalawao, HI*",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",46414,45995,51784,51488,52693,53661,56669,60173,62763,65950,69537,71624,74043,77103,80060,82969,85147,87389,90532,93767,96819,101709,105599,108585,111944,114754,117895,120689,122772,124648,126160,129078,132428,134583,137596,140625,143448,145776,148117,151424,153393,155078,156928,158782,161095,163509,164477,165472,166348
 "15901","Maui + Kalawao, HI*",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3691,4338,4250,4703,5096,6661,6698,7032,7572,8030,8802,10241,10395,10869,12236,12521,13240,14056,14690,16002,18055,19209,19703,21209,21807,22127,22223,21979,22355,23162,24687,25806,26779,27810,28939,30934,32834,34792,36347,37230,34884,35646,37361,39715,39218,41181,43557,45062,47226
"Note: See the included footnote file."
"Last updated: March 6, 2019-- revised statistics for 1969-2000. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
