GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "19000","Iowa",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",10374042,11094958,11641612,13040147,15654782,16224999,18133702,19280266,21275256,24537218,26298368,27993694,31680973,32544391,33149477,36944129,38216260,39480301,41377402,42759779,46555049,49023054,50144695,53791872,54052557,58946166,61328566,66840910,69956071,73576326,75468158,80650623,82942427,84927398,86664455,93570218,96375827,102447932,109906431,116372274,112828976,116353051,125586183,131982219,134398203,139148645,144182516,145156779,148042652
 "19000","Iowa",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",2805000,2828534,2851828,2860506,2864031,2867941,2881425,2903770,2914308,2919008,2916803,2914018,2907985,2888190,2870547,2858615,2829684,2791969,2767006,2768393,2770590,2781018,2797613,2818401,2836972,2850746,2867373,2880000,2891119,2902872,2917634,2929067,2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3050223,3063690,3074386,3089876,3105563,3118473,3130869,3145711
 "19000","Iowa",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3698,3923,4082,4559,5466,5657,6293,6640,7300,8406,9016,9607,10894,11268,11548,12924,13505,14141,14954,15446,16803,17628,17924,19086,19053,20677,21388,23209,24197,25346,25866,27535,28289,28944,29458,31680,32510,34348,36645,38576,37202,38146,40992,42930,43496,44806,46235,46363,47062
 "19001","Adair, IA",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",30762,33210,33894,40324,54485,47937,53433,61234,58593,75919,74759,71279,88273,88710,83492,99037,105609,116050,115467,114826,131641,136017,132384,146290,134502,156702,145611,174613,176744,186110,191617,213140,214465,221150,217763,249163,229531,237977,253702,290842,272949,270823,308970,314347,336398,333362,336540,335900,327725
 "19001","Adair, IA",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",9236,9437,9276,9460,9563,9311,9298,9332,9369,9432,9545,9490,9396,9258,9210,9147,8935,8700,8550,8509,8431,8397,8430,8441,8483,8380,8366,8363,8310,8305,8298,8223,8132,8059,8050,8019,7932,7924,7871,7747,7676,7679,7545,7468,7387,7367,7141,7010,7054
 "19001","Adair, IA",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3331,3519,3654,4263,5697,5148,5747,6562,6254,8049,7832,7511,9395,9582,9065,10827,11820,13339,13505,13495,15614,16198,15704,17331,15855,18700,17405,20879,21269,22409,23092,25920,26373,27441,27051,31072,28937,30032,32232,37543,35559,35268,40950,42093,45539,45251,47128,47917,46459
 "19003","Adams, IA",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",19855,21473,22157,24892,35259,28764,33799,39613,35670,44403,44498,43210,53008,55112,52357,55583,60978,67239,69514,63405,72136,73505,73615,78689,71737,84786,77390,98179,97930,102244,105262,120910,115225,120021,114375,135353,124452,117716,129387,153605,148274,149860,191751,190437,224091,247283,264325,238121,219427
 "19003","Adams, IA",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",6122,6309,6280,6280,6078,5975,5919,5821,5912,5938,5847,5713,5631,5556,5494,5423,5307,5199,5217,5095,4987,4845,4748,4687,4634,4616,4578,4534,4503,4493,4498,4476,4402,4370,4365,4307,4226,4224,4195,4151,4047,4023,3994,3909,3892,3878,3753,3716,3686
 "19003","Adams, IA",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3243,3404,3528,3964,5801,4814,5710,6805,6033,7478,7610,7563,9414,9919,9530,10249,11490,12933,13325,12445,14465,15171,15504,16789,15481,18368,16905,21654,21748,22756,23402,27013,26176,27465,26203,31426,29449,27868,30843,37004,36638,37251,48010,48718,57577,63766,70430,64080,59530
 "19005","Allamakee, IA",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",45763,49126,50926,56484,71175,70859,82470,98980,100868,111602,110896,108788,129033,132685,129046,163155,163334,173249,183516,179854,201160,211065,207323,227143,224322,243699,252155,280645,289548,309029,312057,332898,342343,351179,357753,383964,398320,415513,437551,459432,447393,492721,538438,549090,576389,589336,608793,595844,594957
