GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "17000","Illinois",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",48484524,51524271,55317370,60029922,66967657,73216354,79866258,86832272,95459667,105341668,115569523,125210963,138876970,147011703,153020000,168717146,177209780,186405471,197182970,212642707,226917198,240801311,245871942,265737040,275362591,290054676,307809314,327552925,346339144,368119398,384036197,413443163,428742304,434249487,441946066,459074090,477013210,509272216,538588110,552022151,525582357,540463843,568154309,593271379,607909671,638061366,664296212,673528927,693913981
 "17000","Illinois",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",11039000,11124681,11205816,11258111,11260248,11273745,11306351,11360274,11406312,11434421,11422782,11434702,11443461,11423413,11408817,11412128,11399803,11387256,11391176,11390186,11409782,11453316,11568964,11694184,11809579,11912585,12008437,12101997,12185715,12271847,12359020,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12841196,12862298,12878494,12890403,12882438,12862051,12835726,12802023
 "17000","Illinois",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4392,4632,4936,5332,5947,6494,7064,7644,8369,9213,10117,10950,12136,12869,13412,14784,15545,16370,17310,18669,19888,21025,21253,22724,23317,24349,25633,27066,28422,29997,31073,33251,34331,34669,35198,36464,37828,40278,42422,43306,41071,42088,44172,46067,47160,49530,51648,52473,54203
 "17001","Adams, IL",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",254479,271131,302335,334037,385498,400075,446121,473878,510360,556895,623222,662565,734653,794467,802684,868160,886592,910399,940678,1008211,1057473,1102881,1130301,1214883,1245449,1336227,1399913,1482114,1542301,1615159,1631065,1730589,1806549,1851621,1930633,2017834,2009816,2099212,2221988,2354512,2339172,2460173,2560490,2653935,2677309,2746706,2818808,2859319,2938972
 "17001","Adams, IL",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",70840,70696,70526,71906,72739,72721,72325,71944,71281,71637,71274,71588,71325,71174,70392,69501,68547,67405,66829,66691,66356,66109,66689,66920,67558,68394,68636,68680,68715,68681,68430,68183,68014,67776,67267,66818,66920,67106,66943,66943,67039,67166,67201,67139,66996,67016,67014,66673,66234
 "17001","Adams, IL",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3592,3835,4287,4645,5300,5502,6168,6587,7160,7774,8744,9255,10300,11162,11403,12491,12934,13506,14076,15118,15936,16683,16949,18154,18435,19537,20396,21580,22445,23517,23836,25382,26561,27320,28701,30199,30033,31282,33192,35172,34893,36628,38102,39529,39962,40986,42063,42886,44373
 "17003","Alexander, IL",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",30459,32288,36269,38505,41923,49242,57674,62403,66913,68691,76093,81074,89811,97834,104805,108959,116095,110355,112718,116469,127056,123798,130368,139428,140767,142272,147100,155026,159746,160542,162900,168284,172488,176840,180396,186327,186295,187050,192915,204101,209696,219196,212044,203662,212673,206989,209614,208735,208507
 "17003","Alexander, IL",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",12442,12010,12173,12253,12311,12094,12379,12746,12624,12219,12285,12280,12323,12056,11948,11945,11677,11415,11342,11137,10776,10579,10518,10452,10265,10053,9989,9889,9659,9632,9621,9684,9592,9592,9254,9186,8914,8730,8552,8461,8295,8206,7991,7716,7234,7080,6759,6491,6315
 "17003","Alexander, IL",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2448,2688,2979,3142,3405,4072,4659,4896,5300,5622,6194,6602,7288,8115,8772,9122,9942,9668,9938,10458,11791,11702,12395,13340,13713,14152,14726,15677,16539,16668,16932,17378,17982,18436,19494,20284,20899,21426,22558,24123,25280,26712,26535,26395,29399,29236,31013,32158,33018
 "17005","Bond, IL",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",45517,48484,53320,61087,72857,75911,90714,97849,108379,115459,129195,130755,149610,156100,156499,177559,179332,186981,194117,205841,219126,223306,226906,254382,268715,295024,306812,329319,349660,368069,396267,421494,448659,446889,459023,483219,475263,491408,487577,511595,507791,528625,546201,544415,561736,563438,559563,567445,587478
 "17005","Bond, IL",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",14056,14047,14411,14950,15265,15544,15573,15838,15975,15667,16230,16282,16489,16132,15932,15748,15599,15538,15503,15321,15004,15027,15165,15251,15396,16076,17100,17267,17378,17588,17532,17659,17586,17735,17960,18101,17988,18004,18077,17916,17747,17787,17719,17532,17322,17130,16929,16841,16948
 "17005","Bond, IL",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3238,3452,3700,4086,4773,4884,5825,6178,6784,7370,7960,8031,9073,9676,9823,11275,11496,12034,12521,13435,14605,14860,14962,16680,17454,18352,17942,19072,20121,20927,22602,23869,25512,25198,25558,26696,26421,27294,26972,28555,28613,29720,30826,31053,32429,32892,33054,33694,34664
 "17007","Boone, IL",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",106828,113982,127652,136500,155062,165886,185301,197434,208751,244706,271904,281003,315774,321739,343328,402036,435666,463867,477978,534549,560998,582206,592539,652808,697871,790310,861865,925780,983219,1060610,1169366,1196605,1223904,1275331,1346057,1406271,1531090,1719821,1852630,1936579,1850914,1890071,2016696,2091274,2128925,2184364,2259437,2357491,2403163
 "17007","Boone, IL",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",24986,25427,25643,26392,27038,27383,27413,27625,28038,28686,29238,28750,29179,29213,29133,29175,29483,29629,29641,30111,30361,30981,31810,32901,33933,35268,36651,37956,38853,39864,40844,42052,43220,44585,46242,47893,49725,51797,53512,54211,54154,54106,54130,53754,53788,53742,53584,53562,53513
 "17007","Boone, IL",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4276,4483,4978,5172,5735,6058,6760,7147,7445,8531,9300,9774,10822,11014,11785,13780,14777,15656,16126,17753,18478,18792,18627,19842,20566,22409,23515,24391,25306,26606,28630,28455,28318,28604,29109,29363,30791,33203,34621,35723,34179,34933,37257,38905,39580,40645,42166,44014,44908
 "17009","Brown, IL",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",16954,18293,20405,24233,29264,28916,35962,34781,37322,42362,46979,44576,53728,56820,54084,63077,65378,66288,66285,62068,71433,68428,70428,80684,84996,89948,92002,102354,105796,112720,107934,116413,129924,126522,136002,149041,139314,141601,146524,151123,162293,174762,181997,193054,210636,202484,204422,209789,217836
 "17009","Brown, IL",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",5662,5608,5769,5577,5541,5551,5618,5674,5645,5446,5531,5450,5601,5588,5726,5821,5736,5615,5676,5659,5761,5851,6171,6225,6155,6347,6401,6765,6815,6922,6948,6977,6984,6925,6997,6968,6917,6875,6833,6896,6963,6919,6878,6888,6861,6834,6800,6744,6716
 "17009","Brown, IL",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2994,3262,3537,4345,5281,5209,6401,6130,6612,7779,8494,8179,9593,10168,9445,10836,11398,11806,11678,10968,12399,11695,11413,12961,13809,14172,14373,15130,15524,16284,15535,16685,18603,18270,19437,21389,20141,20597,21444,21915,23308,25258,26461,28028,30700,29629,30062,31108,32435
 "17011","Bureau, IL",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",150575,151906,161941,178306,214251,229312,273050,283694,293055,339762,370426,364939,447494,459750,435173,515111,537033,520724,540163,537357,579185,596801,620358,687994,695243,736724,715383,783697,807412,816535,843257,931631,996268,1013674,1015957,1065758,1041192,1075503,1143884,1205502,1164847,1193630,1311324,1310823,1398934,1329131,1319178,1354768,1388934
 "17011","Bureau, IL",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",38567,38246,37273,37055,37803,37722,37836,37887,38232,38642,38537,39204,39501,38790,38399,38058,37704,37127,36625,36234,35805,35690,35723,35762,36036,36043,36023,35814,35884,35621,35527,35456,35181,35057,35080,34951,34977,35183,35153,35078,35058,34957,34616,34337,34106,33846,33468,33433,33243
 "17011","Bureau, IL",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3904,3972,4345,4812,5668,6079,7217,7488,7665,8793,9612,9309,11329,11852,11333,13535,14243,14025,14748,14830,16176,16722,17366,19238,19293,20440,19859,21882,22501,22923,23736,26276,28318,28915,28961,30493,29768,30569,32540,34366,33226,34146,37882,38175,41017,39270,39416,40522,41781
 "17013","Calhoun, IL",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",17434,19959,18946,21640,26450,27721,33581,35636,38000,42191,45088,45435,49489,50274,51229,61645,61409,65596,69155,69770,80025,81277,75254,84967,88974,88410,91751,102505,107965,113817,112808,119334,121895,123034,130105,140158,142243,148576,153378,168859,168515,173338,181228,177122,182418,176548,177525,183418,189711
 "17013","Calhoun, IL",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",5717,5639,5536,5620,5686,5681,5773,5833,5942,5721,5822,5881,5928,5739,5699,5704,5551,5498,5380,5423,5325,5340,5311,5243,5271,5122,5074,5146,5155,5092,5093,5086,5045,4987,5122,5138,5163,5174,5160,5084,5082,5096,5048,4985,5007,4926,4862,4859,4833
 "17013","Calhoun, IL",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3050,3539,3422,3851,4652,4880,5817,6109,6395,7375,7744,7726,8348,8760,8989,10807,11063,11931,12854,12866,15028,15220,14169,16206,16880,17261,18083,19919,20944,22352,22150,23463,24162,24671,25401,27279,27550,28716,29724,33214,33159,34015,35901,35531,36433,35840,36513,37748,39253
 "17015","Carroll, IL",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",78156,81648,88756,99482,107592,113482,125768,134521,129542,138936,156902,156942,181539,199417,193666,239865,266408,265046,255601,257993,270675,277960,280522,311464,316225,349125,344839,374775,385842,427149,420082,429729,437522,429547,445759,448801,454412,483050,527351,541980,532503,555606,608749,576853,635512,605409,598197,630734,621757
 "17015","Carroll, IL",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",19356,19218,19123,19548,19432,19311,19555,19264,19255,19291,19086,18809,18901,18548,18342,18058,17801,17485,17153,17006,16936,16800,16646,16618,16670,16843,16857,16925,16945,16959,16813,16611,16405,16312,16267,16102,15914,15866,15734,15638,15476,15389,15220,15113,14964,14783,14645,14611,14518
 "17015","Carroll, IL",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4038,4249,4641,5089,5537,5877,6432,6983,6728,7202,8221,8344,9605,10751,10559,13283,14966,15158,14901,15171,15982,16545,16852,18743,18970,20728,20457,22143,22770,25187,24986,25870,26670,26333,27403,27872,28554,30446,33517,34658,34408,36104,39997,38169,42469,40953,40847,43168,42827
 "17017","Cass, IL",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",54397,57096,61294,68499,80481,85379,95565,97539,101344,118096,125278,126426,152061,159332,155342,168927,171899,178573,185731,169551,202181,212475,219760,238655,240005,255799,255106,284631,302743,316559,321901,335563,346628,337744,354876,377281,365400,373764,395567,431899,439304,456626,481631,461850,507220,499454,489515,495160,497440
 "17017","Cass, IL",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",14295,14232,14438,14644,14615,14618,14649,14948,15018,14779,14529,15092,15100,14785,14662,14434,14223,13891,13631,13562,13470,13447,13511,13450,13421,13553,13544,13612,13652,13735,13795,13675,13677,13549,13674,13640,13670,13611,13699,13660,13623,13635,13621,13424,13290,13078,12845,12681,12505
 "17017","Cass, IL",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3805,4012,4245,4678,5507,5841,6524,6525,6748,7991,8623,8377,10070,10777,10595,11703,12086,12855,13626,12502,15010,15801,16265,17744,17883,18874,18835,20910,22176,23048,23335,24538,25344,24928,25953,27660,26730,27460,28876,31618,32247,33489,35359,34405,38166,38190,38109,39047,39779
 "17019","Champaign, IL",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",629756,650738,727162,781335,882517,955772,1116937,1185521,1271166,1368901,1503866,1606824,1798323,1934070,2021773,2243491,2357722,2488091,2622282,2774884,2982427,3145890,3195727,3408124,3415763,3520376,3678606,3882305,4090839,4296245,4508928,4866619,5214601,5369510,5557570,5801107,5855109,6195612,6559003,6945785,7371043,7686503,7975498,8198407,8525644,8887798,9159234,9047009,9126373
