GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "18000","Indiana",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",19238335,20028723,21793740,23846523,27368399,29274320,31607533,35131556,38900918,43398431,47805688,51418727,56406955,58429262,61276454,68009268,71812804,75637237,80257463,85926055,93580934,98748774,101775143,110147929,116112382,123384197,129005550,136363455,143496312,154513746,160746965,171415152,175497603,178017790,182141948,190718511,196766870,208808463,216350903,225842603,219712564,229477331,244551172,256257565,259524966,269592986,279704919,289164319,301008164
 "18000","Indiana",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",5143000,5203700,5249921,5296129,5329122,5349886,5351080,5371552,5405075,5446403,5474909,5490721,5480440,5467918,5450396,5458322,5459214,5454103,5473023,5491733,5523679,5557798,5616388,5674547,5739019,5793526,5851459,5906013,5955267,5998880,6044969,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6490029,6515358,6535665,6567484,6593182,6610596,6634007,6666818
 "18000","Indiana",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3741,3849,4151,4503,5136,5472,5907,6540,7197,7968,8732,9365,10292,10686,11243,12460,13154,13868,14664,15646,16942,17768,18121,19411,20232,21297,22047,23089,24096,25757,26592,28138,28640,28918,29394,30598,31339,32973,33913,35152,34015,35358,37535,39209,39517,40890,42312,43588,45150
 "18001","Adams, IN",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",92078,99978,108534,121333,147919,149019,152805,176386,194394,217533,235740,240334,267899,284537,301410,352014,365782,392533,419080,451541,481880,494145,494027,518807,554071,593417,605777,638072,690323,726897,753848,804506,831247,829626,862027,914610,902316,936481,954260,977827,923752,968214,1069282,1158465,1185934,1225424,1204172,1261451,1310816
 "18001","Adams, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",26689,26889,27176,27150,27966,28005,28226,28436,29020,29320,29647,29654,29729,29759,29884,30116,30281,30427,30836,31191,31053,31160,31385,31545,31758,32204,32565,32866,32972,33346,33544,33597,33556,33523,33746,33822,33867,33887,33962,34214,34351,34451,34372,34403,34649,34763,34954,35232,35491
 "18001","Adams, IN",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3450,3718,3994,4469,5289,5321,5414,6203,6699,7419,7952,8105,9011,9561,10086,11689,12080,12901,13591,14477,15518,15858,15741,16447,17447,18427,18602,19414,20937,21799,22473,23946,24772,24748,25545,27042,26643,27635,28098,28580,26892,28104,31109,33673,34227,35251,34450,35804,36934
 "18003","Allen, IN",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1099839,1164105,1259456,1392461,1553427,1698096,1775233,1985256,2238983,2506584,2787591,2965893,3239163,3303604,3423113,3793661,4113591,4501634,4833603,5310007,5784813,6042857,6090633,6620483,6860372,7263856,7687817,8050001,8426356,9104038,9467483,9961327,9927189,10143881,10092239,10504478,10854813,11723481,12191032,12403648,11856230,12267880,13108706,13821952,13864936,14669904,15432682,15909528,16602299
 "18003","Allen, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",274948,281297,284941,287484,288529,289687,288951,287950,288762,292275,294194,293834,291174,288893,286852,286409,289455,293544,298230,299649,300658,301659,304430,307128,309985,312277,314778,318087,321527,325489,328699,332786,334956,337124,339569,340916,343238,346314,349534,351264,353693,355891,358787,360641,363170,365084,367630,369972,372877
 "18003","Allen, IN",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4000,4138,4420,4844,5384,5862,6144,6894,7754,8576,9475,10094,11124,11435,11933,13246,14212,15335,16208,17721,19241,20032,20007,21556,22131,23261,24423,25308,26207,27970,28803,29933,29637,30089,29721,30813,31625,33852,34878,35311,33521,34471,36536,38326,38178,40182,41979,43002,44525
 "18005","Bartholomew, IN",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",224503,238843,261594,285134,332282,373571,380739,437420,495850,550984,608115,623160,703651,712995,759805,917429,932749,923800,1019865,1078724,1150473,1204019,1223379,1359185,1472526,1570771,1696662,1771766,1861557,2020667,2093466,2236130,2155059,2194719,2273194,2387975,2441382,2648774,2737262,2891651,2739434,2884487,3125554,3398893,3379837,3584373,3707101,3780976,3921838
