GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "20000","Kansas",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",8194786,8892704,9654247,10763347,12266343,13261982,14487553,15746176,17182123,19014323,21715020,23869212,27049193,29326755,30539523,33517603,35255364,36958647,38647862,40703637,43110166,45751168,47309589,50940234,53311941,55736292,58129314,61934152,65771107,69987213,72284115,76242864,78695419,79379024,81546492,83860018,88492167,97830346,105159354,114394562,110481960,112682297,122294546,129853742,132570046,135413542,137238313,138105463,141459351
 "20000","Kansas",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",2236000,2247823,2246132,2255525,2264369,2267881,2278621,2298645,2317836,2332815,2347370,2369039,2384853,2401207,2415529,2424088,2427401,2432614,2445367,2461995,2472838,2481349,2498722,2532394,2556547,2580513,2601007,2614554,2635292,2660598,2678338,2693681,2702162,2713535,2723004,2734373,2745299,2762931,2783785,2808076,2832704,2858403,2868756,2885316,2892900,2899553,2905789,2907731,2913123
 "20000","Kansas",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3665,3956,4298,4772,5417,5848,6358,6850,7413,8151,9251,10075,11342,12213,12643,13827,14524,15193,15805,16533,17433,18438,18934,20115,20853,21599,22349,23688,24958,26305,26988,28304,29123,29253,29947,30669,32234,35408,37776,40738,39002,39421,42630,45005,45826,46702,47229,47496,48559
 "20001","Allen, KS",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",43748,47499,53549,61355,70150,58669,81106,88090,100352,103027,115478,125867,143362,153602,162518,174913,183006,175552,181590,184156,199679,206087,213678,229071,228787,247068,251925,275806,290562,296032,296239,303529,351274,344842,365823,373449,359413,370998,399016,438826,445522,443762,454304,455375,467247,464536,464862,458155,478895
 "20001","Allen, KS",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",15076,15055,15101,15293,15517,15415,15292,15436,15695,15699,15796,15650,15616,15637,15824,15865,15484,15168,14787,14518,14644,14640,14645,14697,14693,14721,14667,14677,14500,14551,14444,14393,14171,14110,13940,13923,13733,13639,13545,13422,13407,13357,13339,13294,13054,12882,12657,12647,12519
 "20001","Allen, KS",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2902,3155,3546,4012,4521,3806,5304,5707,6394,6563,7311,8043,9180,9823,10270,11025,11819,11574,12280,12685,13636,14077,14591,15586,15571,16783,17176,18792,20039,20344,20509,21089,24788,24440,26243,26822,26171,27201,29459,32695,33231,33223,34058,34254,35793,36061,36728,36226,38253
 "20003","Anderson, KS",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",23560,22558,28290,32686,38186,38908,43725,46243,57961,52228,66251,68096,83293,84660,83426,96011,100369,95757,103165,99899,107952,103310,101756,121411,114338,125407,124570,146446,160974,156136,158245,173616,189717,186323,190805,195115,201009,217998,242438,264435,258286,247679,277267,288682,306931,308226,298356,312002,296465
 "20003","Anderson, KS",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",8484,8490,8471,8647,8650,8557,8525,8501,8578,8608,8717,8705,8521,8508,8582,8465,8113,7958,7888,7838,7923,7778,7756,7863,7851,7831,7970,7985,8047,8040,8144,8091,8195,8143,8190,8101,8087,8023,8040,8158,8101,8103,8059,7918,7854,7882,7817,7814,7833
 "20003","Anderson, KS",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2777,2657,3340,3780,4415,4547,5129,5440,6757,6067,7600,7823,9775,9951,9721,11342,12371,12033,13079,12745,13625,13282,13120,15441,14563,16014,15630,18340,20004,19420,19431,21458,23150,22881,23297,24085,24856,27172,30154,32414,31883,30566,34405,36459,39080,39105,38168,39929,37848
 "20005","Atchison, KS",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",56496,61892,66998,75715,84881,95042,101727,107130,116333,125657,140759,144735,164864,172853,169716,187041,203959,201418,212342,222491,233975,242249,246871,273032,271715,295269,287523,304609,314656,334367,337869,353617,374815,376943,385502,407312,424661,455090,478427,506676,497426,497954,537962,519379,557224,560517,556701,566298,581736
