GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "21000","Kentucky",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",9711706,10534849,11466051,12679771,14252540,16052187,17479191,19544359,21933925,24444005,27454717,29871559,33237716,35402015,36755022,41061960,42815517,44018975,46497318,50573350,54363695,57673405,60843249,65547256,68128162,71608306,75054417,79620527,84542128,89738292,93539145,100894311,104268892,106642137,109563273,115893943,121519992,128717458,134505711,140471618,138837504,144009207,151069464,156511651,157850740,165369017,172361423,175012793,180826521
 "21000","Kentucky",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",3198000,3230587,3298262,3336106,3371573,3417039,3468755,3530443,3575001,3611382,3643655,3664221,3670395,3683449,3694469,3695459,3694816,3687805,3683330,3680002,3677318,3694048,3722328,3765469,3812206,3849088,3887427,3919535,3952747,3985390,4018053,4049021,4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4347948,4368505,4383673,4399121,4410415,4422057,4436113,4454189
 "21000","Kentucky",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3037,3261,3476,3801,4227,4698,5039,5536,6135,6769,7535,8152,9056,9611,9949,11111,11588,11936,12624,13743,14784,15613,16345,17407,17871,18604,19307,20314,21388,22517,23280,24918,25631,26075,26611,27953,29053,30507,31599,32745,32160,33121,34582,35703,35882,37495,38978,39452,40597
 "21001","Adair, KY",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",27842,29876,34180,38349,43361,48545,49938,56744,63059,70530,80204,89275,101397,110966,113664,132808,138310,141849,147074,159427,172853,187456,199132,219726,226496,236223,243961,263226,273605,273173,278068,311715,321890,321455,323593,343855,361327,376460,399258,420076,437319,460746,485919,502211,513758,536874,551690,556001,576006
 "21001","Adair, KY",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",13176,13125,13611,14345,14415,14583,14696,14794,15079,15039,15135,15273,15397,15438,15296,15761,15613,15560,15220,15410,15320,15387,15553,15766,16009,16233,16564,16782,16895,16942,17054,17327,17584,17762,17924,17994,18128,18335,18493,18541,18729,18754,18984,18929,19110,19246,19298,19379,19485
 "21001","Adair, KY",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2113,2276,2511,2673,3008,3329,3398,3836,4182,4690,5299,5845,6586,7188,7431,8426,8859,9116,9663,10346,11283,12183,12803,13937,14148,14552,14728,15685,16194,16124,16305,17990,18306,18098,18054,19109,19932,20532,21590,22657,23350,24568,25596,26531,26884,27895,28588,28691,29562
 "21003","Allen, KY",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",28618,31583,35443,39768,46047,47876,52903,61361,69578,80897,90721,98149,111557,115608,116946,136703,142406,136876,141475,151348,160058,166058,179494,195949,215204,239709,253381,272017,296355,321314,339066,371734,371688,366097,369245,400176,420469,444601,464835,487388,481944,492830,518992,550582,544961,585446,620648,629516,653566
 "21003","Allen, KY",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",12562,12634,12919,12960,13148,13458,13699,13581,13634,13686,13794,14116,14034,13917,14025,14319,14337,14264,14234,14199,14377,14723,14803,15090,15374,15754,16091,16375,16768,17243,17658,17820,17947,18219,18434,18699,18910,19272,19540,19838,19811,20046,20181,20239,20319,20497,20662,20729,20933
 "21003","Allen, KY",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2278,2500,2743,3069,3502,3557,3862,4518,5103,5911,6577,6953,7949,8307,8338,9547,9933,9596,9939,10659,11133,11279,12126,12985,13998,15216,15747,16612,17674,18634,19202,20860,20710,20094,20031,21401,22235,23070,23789,24568,24327,24585,25717,27204,26820,28563,30038,30369,31222
 "21005","Anderson, KY",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",29920,31356,35710,40608,45538,51657,54433,61146,70422,79314,89932,102230,115819,128823,137002,153515,160309,169396,182688,197200,217464,232752,244224,270729,285875,308965,333368,357374,388396,419856,439339,474429,495088,504591,513902,540647,575323,609597,649583,672831,663111,690962,718091,741574,759695,784259,810642,837778,865856
 "21005","Anderson, KY",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",9285,9483,9991,10165,10230,10493,10758,11043,11408,11622,11892,12631,12857,12850,12901,13179,13436,13559,13733,13972,14221,14672,15121,15607,16198,16769,17191,17764,18092,18553,18864,19151,19382,19315,19504,19714,19987,20519,20999,21088,21328,21427,21522,21657,21706,21824,21865,22144,22544
 "21005","Anderson, KY",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3222,3307,3574,3995,4451,4923,5060,5537,6173,6824,7562,8094,9008,10025,10619,11648,11931,12493,13303,14114,15292,15864,16151,17347,17649,18425,19392,20118,21468,22630,23290,24773,25544,26124,26349,27425,28785,29709,30934,31906,31091,32247,33365,34242,34999,35936,37075,37833,38407
 "21007","Ballard, KY",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",24614,28453,31304,32628,36253,39565,42786,46223,54927,61388,71707,70032,82396,83701,79015,96573,94748,97341,99449,105696,122817,125738,124155,137327,139306,148683,154519,180263,188372,189578,193691,210718,210622,199630,207698,218334,230739,226600,239327,252620,258793,253500,278038,275318,303665,294477,291298,286086,296233
 "21007","Ballard, KY",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",8274,8378,8744,8746,8424,8280,8283,8460,8535,8749,8706,8765,8612,8490,8458,8375,8445,8280,8229,8044,7963,7883,7904,7861,7871,7925,8053,8084,8187,8246,8225,8304,8225,8164,8254,8242,8269,8204,8190,8265,8204,8261,8270,8288,8255,8191,8217,8057,8039
 "21007","Ballard, KY",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2975,3396,3580,3731,4304,4778,5166,5464,6436,7017,8237,7990,9568,9859,9342,11531,11219,11756,12085,13140,15423,15951,15708,17469,17699,18761,19188,22299,23009,22990,23549,25375,25608,24452,25163,26490,27904,27621,29222,30565,31545,30686,33620,33219,36786,35951,35451,35508,36849
 "21009","Barren, KY",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",72808,77939,85089,98733,111020,125980,133058,153357,169542,190716,212025,232369,265923,285435,298496,347134,358021,371486,393464,417322,458258,460735,491078,536851,568627,614600,643082,675557,736739,785268,794572,852466,912524,938857,942673,1016652,1039797,1070945,1128244,1185269,1145141,1202425,1274747,1351399,1357643,1445832,1518072,1499556,1541109
 "21009","Barren, KY",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",28627,28831,29833,30066,30810,31342,31934,32325,32984,33303,33821,34029,34024,34630,34681,34600,34204,34283,34181,33991,33823,34094,34334,34506,34968,35203,35912,36446,36914,37237,37687,38128,38517,38704,39164,39601,40320,40857,41435,41797,42171,42124,42324,42607,42924,43028,43549,43789,43801
 "21009","Barren, KY",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2543,2703,2852,3284,3603,4020,4167,4744,5140,5727,6269,6829,7816,8242,8607,10033,10467,10836,11511,12277,13549,13514,14303,15558,16261,17459,17907,18536,19958,21088,21083,22358,23691,24257,24070,25672,25789,26212,27229,28358,27155,28545,30119,31718,31629,33602,34859,34245,35184
