GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "22000","Louisiana",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",10765877,11663035,12715230,13912080,15528477,17651808,19875142,22415528,25031404,28630805,32478004,37368848,43084374,46379689,48422536,51504460,53629661,53695136,53932056,56881207,60326085,64880918,68408285,73263960,76872654,81905818,85953266,89776927,94400601,98923657,101339517,107071458,114378290,117657280,121062438,126175060,135724867,143751044,156784816,167982849,163381831,170476939,176174660,186004152,188376958,197685900,200077726,199543361,204516783
 "22000","Louisiana",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",3619000,3650209,3710666,3761967,3788840,3820720,3886963,3951636,4015582,4073288,4139316,4223101,4283297,4352609,4395311,4400474,4408113,4406922,4344151,4288859,4252896,4221532,4253279,4293003,4316428,4347481,4378779,4398877,4421071,4440344,4460811,4471885,4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4491648,4544871,4574388,4602681,4626795,4648797,4671211,4686157,4684333
 "22000","Louisiana",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2975,3195,3427,3698,4098,4620,5113,5672,6234,7029,7846,8849,10059,10656,11017,11704,12166,12184,12415,13263,14185,15369,16084,17066,17809,18840,19630,20409,21352,22278,22718,23943,25543,26162,26778,27717,29656,33410,35832,37872,36375,37510,38513,40412,40714,42524,42832,42581,43660
 "22001","Acadia, LA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",113761,124885,134386,149067,183561,208404,233919,237840,269294,298090,347196,404581,478639,549418,558364,576144,602677,574007,545626,593172,616791,662573,704698,738680,797031,847761,897836,937224,1015974,1088296,1082039,1154768,1236869,1273711,1317884,1336607,1436538,1568032,1686218,1924079,1913596,1952820,2027680,2135690,2256480,2339601,2236769,2145146,2215747
 "22001","Acadia, LA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",51852,52167,52506,52621,52760,52688,53131,53770,53809,54374,55402,56631,57345,58557,59133,58754,59018,59176,58328,57342,56783,55741,56237,56357,56885,56992,57473,58064,58218,58501,58762,58795,58844,59065,59194,59223,59524,60522,60762,61115,61451,61859,61826,61984,62284,62664,62696,62800,62590
 "22001","Acadia, LA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2194,2394,2559,2833,3479,3955,4403,4423,5005,5482,6267,7144,8347,9383,9443,9806,10212,9700,9354,10344,10862,11887,12531,13107,14011,14875,15622,16141,17451,18603,18414,19641,21019,21565,22264,22569,24134,25908,27751,31483,31140,31569,32797,34456,36229,37336,35676,34158,35401
 "22003","Allen, LA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",45712,50438,57418,60048,72030,76180,80007,86585,97003,107679,124350,135747,150315,154024,162733,168336,176461,177902,177927,189710,201244,215450,234278,249754,269491,287378,333420,345762,362883,382796,406316,425200,436578,453193,475149,502099,535010,567065,600300,664507,695750,684253,695476,715708,731966,746945,757406,782149,822597
 "22003","Allen, LA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",20681,20811,21006,21103,20768,20560,20662,20748,20918,21039,21160,21391,21288,21709,21710,21514,21577,21659,22592,21174,21384,21232,21968,22822,23510,23792,24246,24687,24605,25114,25364,25401,25399,25194,25327,25338,25076,25692,25937,25854,25863,25721,25741,25632,25676,25724,25630,25686,25621
 "22003","Allen, LA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2210,2424,2733,2845,3468,3705,3872,4173,4637,5118,5877,6346,7061,7095,7496,7824,8178,8214,7876,8960,9411,10147,10665,10944,11463,12079,13752,14006,14748,15242,16019,16739,17189,17988,18761,19816,21336,22072,23145,25702,26901,26603,27018,27922,28508,29037,29552,30450,32106
 "22005","Ascension, LA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",100478,106121,115595,128996,143992,178190,205697,265280,284699,326695,379580,438886,498584,531616,574928,624067,656367,651487,663730,736889,795468,880643,945416,1058111,1124341,1218687,1314053,1405687,1498343,1619101,1729976,1874895,1944060,2046031,2148284,2354383,2756904,3211452,3589091,4014316,4066056,4276001,4511956,4773106,4938326,5263034,5570826,5670901,5862091
 "22005","Ascension, LA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",36588,37186,38026,39530,39953,40599,41503,42966,44613,46307,48220,50424,51758,53056,55231,57257,57975,58703,58600,57270,57585,58408,59447,60829,62219,64216,66138,68093,70505,72272,74662,77335,79210,81379,83967,86352,89741,96421,100132,102891,105172,107870,109996,112203,114572,117263,119376,121488,122948
 "22005","Ascension, LA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2746,2854,3040,3263,3604,4389,4956,6174,6382,7055,7872,8704,9633,10020,10410,10899,11322,11098,11326,12867,13814,15077,15904,17395,18071,18978,19868,20644,21252,22403,23171,24244,24543,25142,25585,27265,30721,33307,35844,39015,38661,39640,41019,42540,43102,44882,46666,46679,47679
 "22007","Assumption, LA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",42760,46696,53589,60725,71863,94557,90961,103231,112499,130509,144290,174302,207639,218543,214361,225762,241463,225652,213479,226147,249557,275766,290499,303245,315062,336401,364419,388833,435985,450980,438862,460995,506798,520125,531502,560852,572531,636528,690517,739811,752144,783405,839012,894530,954044,962807,952703,919716,963813
 "22007","Assumption, LA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",19517,19701,19948,20178,20359,20412,20568,20733,20910,21213,21741,22228,22765,23542,23800,23534,23637,23547,23047,22804,22924,22704,22665,22628,22658,22685,22873,22812,22986,23173,23372,23324,23194,23210,23262,23319,23199,23477,23543,23534,23508,23334,23176,23067,23191,23038,22895,22755,22526
