GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "24000","Maryland",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",17235920,19167231,21125827,23176397,25560539,27902797,30204127,32906940,35675755,39617165,43545511,48503268,54043012,58610648,62787390,69664857,75502898,81544532,88007606,96739717,104600690,110894044,114898652,120637356,125486122,131410405,137245369,143742306,151791457,163365510,173600055,188926190,199093345,206990118,216518682,231482039,244346452,257711767,268336421,280308847,278546534,288606603,305178393,314141448,313194782,324968237,341295179,353879629,368258212
 "24000","Maryland",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",3868000,3938051,4022507,4081121,4109038,4133341,4157208,4172132,4194639,4211641,4223398,4227643,4261905,4282923,4313329,4365246,4413072,4486956,4565558,4657903,4727303,4799770,4867641,4923368,4971889,5023060,5070033,5111986,5157328,5204464,5254509,5311034,5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5788099,5843115,5891680,5932654,5970245,6000561,6024752,6052177
 "24000","Maryland",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4456,4867,5252,5679,6221,6751,7265,7887,8505,9407,10311,11473,12680,13685,14557,15959,17109,18174,19276,20769,22127,23104,23605,24503,25239,26161,27070,28119,29432,31389,33038,35572,37043,38047,39394,41732,43693,45796,47465,49307,48609,49862,52229,53320,52792,54431,56877,58738,60847
 "24001","Allegany, MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",264663,290136,311478,334500,363799,395750,426402,454997,500039,543032,596718,657336,713712,760948,800021,845335,883933,898034,961109,1019869,1095215,1153951,1189230,1218191,1250928,1293868,1335153,1378165,1433309,1470377,1517429,1591836,1911707,2002586,2097972,2170455,2096830,2041365,2070900,2229413,2300840,2393024,2472984,2502770,2531371,2609794,2674502,2744628,2815878
 "24001","Allegany, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",84207,83983,84154,84829,84012,84109,82761,81938,81443,80769,81099,80584,80567,79651,78764,77474,76311,75922,75466,75428,75193,74954,75305,75411,75296,75203,75427,75132,75310,75547,75288,74804,74525,74204,74076,74408,73979,73980,74449,74638,75101,74977,74585,73962,73604,73045,72498,72194,71615
 "24001","Allegany, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3143,3455,3701,3943,4330,4705,5152,5553,6140,6723,7358,8157,8859,9554,10157,10911,11583,11828,12736,13521,14565,15395,15792,16154,16613,17205,17701,18343,19032,19463,20155,21280,25652,26988,28322,29170,28344,27593,27816,29870,30637,31917,33157,33839,34392,35729,36891,38017,39320
 "24003","Anne Arundel, MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1259430,1387474,1551123,1720822,1954573,2179494,2412730,2686278,2995442,3430582,3876431,4448529,4919480,5337113,5742711,6369352,6894696,7470483,7928390,8701356,9417850,9959435,10368280,11047606,11669141,12332759,13042755,13819775,14729207,15973364,17088398,18841605,20144798,21047659,22063057,23438246,24593504,26027860,27068812,27883368,27564481,28488912,30304506,31365442,31725620,33044439,34590391,35619515,37058628
 "24003","Anne Arundel, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",291264,299825,309046,316608,330647,334752,345613,353988,361062,365603,368971,372415,378219,382453,385375,389989,396028,403532,412139,418047,423564,428877,434344,440836,448583,456499,463022,467286,472356,477749,484800,491670,498559,504884,507769,513259,516171,517698,520503,525304,532395,539234,544973,550636,556007,560452,564390,568916,573235
 "24003","Anne Arundel, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4324,4628,5019,5435,5911,6511,6981,7589,8296,9383,10506,11945,13007,13955,14902,16332,17410,18513,19237,20814,22235,23222,23871,25061,26013,27016,28169,29575,31182,33435,35248,38322,40406,41688,43451,45666,47646,50276,52005,53080,51774,52832,55607,56962,57060,58960,61288,62609,64648
 "24005","Baltimore, MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2838360,3121620,3437142,3817948,4244283,4756269,5099588,5527427,6001064,6644741,7229433,7986532,8964319,9583533,10160748,11165055,11992948,12735475,13638813,14911598,15791988,16773933,17251575,17978291,18375350,19244852,20525669,21470401,22951615,24571247,26029948,28019311,29475251,30409202,31330893,33102043,34704798,36923516,38697121,39733498,38611158,39612858,40924710,42328634,42432492,44217353,45794140,47249515,49223612
 "24005","Baltimore, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",612575,622418,635071,641468,636769,638233,646514,651342,651233,650938,650679,655878,655599,658403,661267,664696,664649,669544,675514,682941,686188,694782,702993,709826,715513,721250,727937,734981,741043,745458,749425,755598,762925,770147,777756,784371,789110,793733,796073,798651,801808,806405,813280,818583,823364,826545,829379,831431,832468
