GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "23000","Maine",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",3235956,3557067,3822683,4187722,4706690,5229257,5652308,6446973,7007608,7740514,8589911,9653484,10651560,11580973,12472953,13786735,14893299,16123204,17490913,19277248,21011342,21870390,22249656,23324829,24094940,25085736,26179272,27653140,29169522,30941325,32545585,35055873,36999715,38470958,40116605,42161695,43169921,45529112,47261815,49163504,49084869,50253606,52255645,53369870,53315835,55666566,57977802,59577149,62059956
 "23000","Maine",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",992000,996784,1015677,1034817,1046420,1060050,1073280,1089960,1105369,1115457,1124927,1126860,1133033,1136683,1144772,1155634,1162935,1170126,1184577,1203840,1219961,1231719,1237081,1238508,1242302,1242662,1243480,1249060,1254774,1259127,1266808,1277072,1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1327568,1327968,1328101,1327975,1328903,1327787,1330232,1335907
 "23000","Maine",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3262,3569,3764,4047,4498,4933,5266,5915,6340,6939,7636,8567,9401,10188,10896,11930,12807,13779,14766,16013,17223,17756,17986,18833,19395,20187,21053,22139,23247,24574,25691,27450,28778,29685,30705,32094,32735,34397,35614,36951,36917,37854,39350,40185,40148,41889,43665,44787,46455
 "23001","Androscoggin, ME",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",310572,339559,350474,373641,423220,459977,506117,579076,622266,683401,750882,843510,920680,994172,1075398,1180324,1242315,1336704,1455273,1595764,1733855,1785505,1788322,1861172,1925212,2015499,2070025,2165578,2270628,2360011,2483646,2640465,2734944,2895797,3032318,3114809,3178102,3330745,3476906,3621974,3624099,3658554,3756958,3822381,3793494,3900699,4056671,4116134,4292403
 "23001","Androscoggin, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",90890,91463,92881,93756,95076,95870,95535,97130,98181,98837,99656,99531,99522,98860,99262,100018,100114,100204,101378,103559,105276,105412,104973,104335,104464,104112,103769,102966,102518,103120,103403,103852,104260,105063,106140,106867,107352,107932,107739,108284,107830,107690,107395,107495,107271,107290,107104,107269,107651
 "23001","Androscoggin, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3417,3713,3773,3985,4451,4798,5298,5962,6338,6914,7535,8475,9251,10056,10834,11801,12409,13340,14355,15409,16470,16938,17036,17838,18429,19359,19948,21032,22149,22886,24019,25425,26232,27562,28569,29147,29604,30860,32272,33449,33609,33973,34983,35559,35364,36357,37876,38372,39873
 "23003","Aroostook, ME",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",248459,295838,309522,324569,406756,501301,433246,513467,567627,574763,633621,687616,800299,809177,862405,945234,984477,1021210,1121915,1157541,1257129,1300378,1319140,1362445,1357774,1326936,1320990,1372549,1403767,1483477,1532419,1629556,1710236,1802526,1872143,1943658,2054829,2122876,2198778,2271616,2340981,2375046,2438093,2468652,2425643,2475626,2535152,2573667,2663960
 "23003","Aroostook, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",95237,94201,94614,95489,94944,94178,95135,95455,95623,94402,92936,91153,90302,90171,89966,89641,89192,88723,88737,87382,86774,87024,87218,86823,85461,80702,77620,76910,76332,75054,74227,73872,72962,72942,72944,72959,72881,72827,72711,72542,72258,71697,71373,70771,70094,69513,68824,68116,67653
 "23003","Aroostook, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2609,3140,3271,3399,4284,5323,4554,5379,5936,6088,6818,7544,8862,8974,9586,10545,11038,11510,12643,13247,14487,14943,15125,15692,15888,16442,17019,17846,18390,19765,20645,22059,23440,24712,25665,26640,28194,29150,30240,31314,32398,33126,34160,34882,34606,35614,36835,37784,39377
 "23005","Cumberland, ME",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",732141,797762,861974,955512,1042308,1140508,1256075,1402737,1529377,1703563,1885449,2112952,2356411,2594726,2806519,3146812,3457341,3814722,4167120,4637824,5028325,5308965,5366377,5613096,5852266,6160853,6510889,6932134,7410094,7900869,8341897,8930925,9419546,9712119,10231323,10869105,11085763,11926901,12367768,12826626,12494708,12952497,13604869,14073112,14071197,14889019,15703697,16355579,17156159
 "23005","Cumberland, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",191672,193017,196724,199100,202624,205830,207718,210157,212131,213705,214818,216396,218583,220441,223644,227277,229985,232037,235593,239953,242046,243865,245084,245655,247235,250156,252078,254894,257765,260965,263931,266109,268391,270533,273041,274920,276275,277084,278781,280681,281969,281435,282599,283837,285624,287477,289361,290905,292500
 "23005","Cumberland, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3820,4133,4382,4799,5144,5541,6047,6675,7210,7972,8777,9764,10780,11771,12549,13846,15033,16440,17688,19328,20774,21770,21896,22850,23671,24628,25829,27196,28747,30276,31606,33561,35096,35900,37472,39536,40126,43044,44364,45698,44312,46023,48142,49582,49265,51792,54270,56223,58654
 "23007","Franklin, ME",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",64655,69221,78051,84651,94799,104570,115661,144274,150613,165881,184778,212217,229053,250431,272243,289159,298109,310196,338660,381042,424150,434408,441174,466850,492795,503578,521574,546223,574851,598230,623790,670009,692865,727267,757857,801234,811955,838004,872915,919270,933021,948017,1013166,1027645,1028759,1062242,1080743,1082629,1118992
 "23007","Franklin, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",22262,22581,23267,23704,23827,24305,25203,25644,26163,26660,26775,27498,27675,27885,27915,28205,28010,27667,27869,28408,28836,29135,29182,29270,29255,29462,29406,29241,29414,29321,29370,29498,29631,30019,30026,30096,30226,30528,30596,30652,30779,30715,30731,30651,30519,30236,30072,30071,29988
 "23007","Franklin, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2904,3065,3355,3571,3979,4302,4589,5626,5757,6222,6901,7718,8277,8981,9753,10252,10643,11212,12152,13413,14709,14910,15118,15950,16845,17092,17737,18680,19543,20403,21239,22714,23383,24227,25240,26623,26863,27450,28530,29991,30314,30865,32969,33527,33709,35132,35939,36002,37315
 "23009","Hancock, ME",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",108160,122938,135685,151492,169906,189932,210404,241100,260262,286939,319595,360887,393381,435528,469715,513835,574608,624188,660793,729013,807996,867588,894463,924977,977262,1035673,1080619,1157216,1223570,1351049,1414240,1540786,1652489,1689421,1730489,1842643,1846846,1942333,1978031,2051989,2079391,2166398,2237135,2272065,2270340,2417727,2543835,2595107,2684305
 "23009","Hancock, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",34397,34769,35691,36800,37770,38423,39293,40165,40883,41309,42169,41800,41836,42308,42731,43446,43837,44217,44919,45806,46419,47148,47790,48268,49030,49540,50103,50208,50814,51276,51404,51967,52109,52327,53030,53613,53745,54009,54300,54371,54499,54358,54523,54510,54622,54519,54304,54398,54497
 "23009","Hancock, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3144,3536,3802,4117,4498,4943,5355,6003,6366,6946,7579,8634,9403,10294,10992,11827,13108,14116,14711,15915,17407,18401,18717,19163,19932,20906,21568,23048,24079,26349,27512,29649,31712,32286,32632,34369,34363,35963,36428,37741,38155,39854,41031,41682,41565,44347,46844,47706,49256
 "23011","Kennebec, ME",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",319696,350456,385739,429891,483264,529124,586337,659495,713115,792317,868879,972687,1061727,1165007,1241672,1366173,1449003,1558273,1696690,1846842,2071474,2161425,2217030,2350914,2350790,2432476,2540729,2643164,2735111,2862459,2989721,3193612,3305249,3470709,3602299,3729734,3833453,4066877,4283459,4476023,4490180,4562073,4681114,4707326,4733796,4858659,4980418,5089113,5273876
 "23011","Kennebec, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",94792,95462,97007,100209,100861,102849,103353,105221,107040,108300,108741,110008,110381,110343,110711,111140,111171,111113,112219,113979,115155,116293,117199,117350,117465,117610,117456,116896,116743,116405,116679,117177,118024,118611,119538,120303,120957,121508,121741,122147,122084,122072,121765,121607,121171,121144,120983,121328,121821
 "23011","Kennebec, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3373,3671,3976,4290,4791,5145,5673,6268,6662,7316,7990,8842,9619,10558,11215,12292,13034,14024,15119,16203,17989,18586,18917,20033,20013,20683,21631,22611,23428,24591,25623,27255,28005,29261,30135,31003,31693,33470,35185,36645,36779,37372,38444,38709,39067,40106,41166,41945,43292
 "23013","Knox, ME",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",91404,99857,110025,120405,136528,149744,166038,187273,203845,227328,251802,280809,300861,331043,356612,390308,456575,495625,513559,572912,635858,651280,673093,696126,729516,779137,832285,893549,923350,1009416,1045209,1139711,1286914,1361158,1411691,1447402,1455641,1505280,1501665,1526954,1482015,1512552,1593569,1668687,1615725,1697219,1807307,1870095,1949917
 "23013","Knox, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",28960,29191,30009,30799,31094,31546,32139,32694,32897,33149,33200,33001,33210,33414,33588,34198,34568,34847,35377,35641,36068,36451,36810,37116,37490,37740,37942,38351,38647,38941,39303,39666,39884,40258,40393,40514,40571,40417,40297,40225,39924,39730,39664,39621,39633,39746,39675,39655,39790
 "23013","Knox, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3156,3421,3666,3909,4391,4747,5166,5728,6196,6858,7584,8509,9059,9907,10617,11413,13208,14223,14517,16075,17629,17867,18286,18755,19459,20645,21936,23299,23892,25922,26594,28733,32266,33811,34949,35726,35879,37244,37265,37960,37121,38071,40177,42116,40767,42702,45553,47159,49005
 "23015","Lincoln, ME",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",71768,80776,89511,93511,103808,115655,127598,146687,161604,181782,209111,239179,264180,299587,322650,351681,398192,432988,460004,517421,573475,598349,607772,640821,662505,687478,735817,770264,826888,856351,895435,967196,1027370,1061502,1099054,1183211,1180884,1246106,1300380,1350229,1324253,1361900,1414809,1455278,1445433,1503870,1563371,1602610,1662948
 "23015","Lincoln, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",20359,20636,21133,21337,22182,22743,23304,23998,24680,25350,25904,25726,25845,26090,26899,27377,27514,27954,28571,29306,30065,30485,30692,30959,31275,31533,32051,32289,32622,32885,33212,33697,33968,34206,34495,34827,34864,34904,34899,34768,34627,34395,34274,34169,34102,34038,33770,33993,34204
 "23015","Lincoln, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3525,3914,4236,4383,4680,5085,5475,6112,6548,7171,8073,9297,10222,11483,11995,12846,14472,15489,16100,17656,19075,19628,19802,20699,21183,21802,22958,23855,25348,26041,26961,28703,30245,31033,31861,33974,33871,35701,37261,38835,38243,39596,41279,42591,42386,44182,46295,47145,48619
 "23017","Oxford, ME",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",132933,142781,150498,163335,184097,208255,225768,259753,278224,310282,352733,402562,434660,458111,488977,532269,552319,590201,642422,700724,742171,772627,787638,828586,862731,898566,939322,1000632,1051755,1099117,1144660,1227594,1294185,1361145,1434323,1475083,1522592,1584157,1671598,1767157,1748134,1796000,1844228,1853671,1835032,1899340,1958357,2001204,2081526
 "23017","Oxford, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",43550,43597,44446,45690,44896,44881,45508,46132,47096,47784,48319,49102,49295,49018,49287,49633,49480,49405,50269,51217,52300,52748,52541,52721,52845,53060,53380,53773,53896,54003,54454,54787,55157,55843,56206,56763,57235,57556,57966,58138,57923,57779,57755,57471,57326,57223,57068,57096,57439
 "23017","Oxford, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3052,3275,3386,3575,4101,4640,4961,5631,5908,6493,7300,8198,8818,9346,9921,10724,11162,11946,12780,13681,14191,14648,14991,15716,16326,16935,17597,18608,19515,20353,21021,22407,23464,24374,25519,25987,26602,27524,28838,30396,30180,31084,31932,32254,32010,33192,34316,35050,36239
