GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "26000","Michigan",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",36067948,37361665,40643958,45132028,50382867,53913200,57745117,64457792,72465620,80772906,88478725,94684397,101254248,104816500,111577181,123177165,133599143,142047588,147561422,157523158,169629265,177393177,181414249,192235076,202432450,217745440,230305875,242218472,254938948,269062114,282875736,301661718,306609768,306385368,313829827,322531824,329225583,337455775,347081013,354064170,336043470,348673288,370180043,385408269,389319563,407648738,431157244,444531935,460269972
 "26000","Michigan",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",8781000,8896558,8971835,9024681,9071764,9109374,9107840,9117481,9157247,9201953,9248814,9255553,9209287,9115196,9047764,9049454,9076287,9127774,9187484,9218002,9253298,9311319,9400446,9479065,9540114,9597737,9676211,9758645,9809051,9847942,9897116,9952450,9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9876731,9876199,9886610,9899219,9914675,9918170,9933445,9962311
 "26000","Michigan",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4107,4200,4530,5001,5554,5918,6340,7070,7913,8778,9566,10230,10995,11499,12332,13612,14720,15562,16061,17089,18332,19051,19298,20280,21219,22687,23801,24821,25990,27322,28582,30310,30688,30590,31254,32076,32755,33624,34704,35595,33938,35302,37482,38983,39328,41116,43471,44751,46201
 "26001","Alcona, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",19374,21810,24307,27458,31313,33950,39288,44950,50829,57033,63060,71449,78937,84814,91199,99819,106143,111225,115150,121038,130780,141995,146854,152946,159290,173336,190911,199742,210004,225005,235992,248805,249893,250873,257379,261316,268270,271309,280390,296642,292628,305105,315926,324834,331256,341121,354193,362885,377539
 "26001","Alcona, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",6434,7203,7600,8114,8417,8558,8684,8976,9258,9470,9560,9760,9822,9802,9833,9858,10012,10098,9981,10159,10143,10169,10312,10401,10316,10560,10775,11106,11233,11464,11641,11677,11665,11480,11495,11459,11517,11503,11412,11286,11106,10877,10739,10570,10550,10449,10332,10383,10351
 "26001","Alcona, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3011,3028,3198,3384,3720,3967,4524,5008,5490,6022,6596,7321,8037,8653,9275,10126,10602,11015,11537,11914,12894,13964,14241,14705,15441,16414,17718,17985,18695,19627,20272,21307,21422,21853,22391,22804,23293,23586,24570,26284,26349,28050,29419,30732,31399,32646,34281,34950,36474
 "26003","Alger, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",20972,22634,24578,26849,30004,33418,37929,41957,45244,50018,53451,58531,62656,66421,70343,77157,81290,90934,94994,99313,107676,112874,121002,130648,138349,149431,155736,164377,174806,178922,184221,191531,210623,211420,211158,220662,216343,216454,218133,225051,228988,238130,249272,254445,259330,270744,283513,287422,294180
 "26003","Alger, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",8244,8547,8443,8225,8403,8541,8766,9048,9344,9387,9389,9260,9378,9252,9084,8965,8944,8794,8760,8841,8905,8974,9678,9761,9752,9818,9870,9831,9898,9866,9945,9819,9815,9764,9694,9680,9633,9687,9779,9647,9334,9579,9513,9442,9431,9356,9246,9115,9121
 "26003","Alger, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2544,2648,2911,3264,3571,3913,4327,4637,4842,5328,5693,6321,6681,7179,7744,8606,9089,10340,10844,11233,12092,12578,12503,13385,14187,15220,15779,16720,17661,18135,18524,19506,21459,21653,21782,22796,22459,22345,22306,23329,24533,24860,26203,26948,27498,28938,30663,31533,32253
 "26005","Allegan, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",220568,234452,255656,293139,333977,367680,400612,439066,501841,577385,657525,705146,769027,805652,856858,956582,1012829,1133580,1213509,1283537,1402530,1486278,1545364,1659238,1769670,1931474,2063100,2212721,2375322,2519992,2737829,2924079,2920652,2860605,2928065,3095970,3261447,3399419,3530260,3641858,3546586,3676867,3977158,4029731,4175963,4357339,4571326,4735663,4938025
