GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "29000","Missouri",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",16912485,18479482,19938913,21682224,24089650,25774725,28212715,30912024,34252401,38129735,42513848,46120241,51516587,55083525,58757912,65189289,69743973,73416857,77345852,82131486,88040042,91909039,95964054,102138919,106821070,113391093,119590208,126668265,134328093,141141502,147024988,157162600,162071530,165772524,171789865,180585546,186877759,198448157,208184505,219411774,215540550,220546596,229644330,240972818,242564511,251639897,260144612,265495137,274975821
 "29000","Missouri",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",4640000,4684768,4722703,4753234,4774601,4785391,4795383,4823554,4845042,4871171,4889327,4921966,4932069,4929456,4943735,4975276,5000260,5023055,5056702,5081737,5095844,5128880,5170800,5217101,5271175,5324497,5378247,5431553,5481193,5521765,5561948,5607285,5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5995681,6010280,6023267,6041142,6058014,6072640,6091176,6113532
 "29000","Missouri",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3645,3945,4222,4562,5045,5386,5883,6409,7070,7828,8695,9370,10445,11174,11885,13103,13948,14616,15296,16162,17277,17920,18559,19578,20265,21296,22236,23321,24507,25561,26434,28028,28730,29212,30089,31419,32274,33965,35360,37038,36158,36784,38209,40007,40152,41538,42839,43587,44978
 "29001","Adair, MO",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",56826,61264,66775,75018,89851,98984,112804,124839,136999,151369,172100,185281,208980,213959,226158,236127,244938,251365,260119,270420,300825,315673,339339,365202,381754,406167,421440,435775,455710,465021,482700,512196,527416,528142,530839,558753,574839,603020,631937,674396,711051,695913,728162,734555,751085,767033,789029,786610,813014
 "29001","Adair, MO",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",22534,22413,22294,23360,23945,23893,23438,24099,24055,24333,24500,24957,25257,25361,25527,25516,25314,24744,24766,24489,24567,24584,24574,24690,24844,24959,24998,24883,24871,24887,24961,24956,24967,25072,24958,24988,24849,25007,24983,25399,25577,25625,25635,25668,25709,25537,25339,25223,25377
 "29001","Adair, MO",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2522,2733,2995,3211,3752,4143,4813,5180,5695,6221,7024,7424,8274,8437,8860,9254,9676,10159,10503,11043,12245,12841,13809,14791,15366,16273,16859,17513,18323,18685,19338,20524,21125,21065,21269,22361,23133,24114,25295,26552,27800,27158,28405,28618,29215,30036,31139,31186,32037
 "29003","Andrew, MO",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",42186,43086,47893,53291,65045,62043,69758,72942,85352,95812,111308,111292,128912,133778,141272,159274,175334,179100,184279,189493,211066,221920,237020,253422,260721,282900,297855,323640,354299,376618,406065,432156,430624,423806,433244,470587,477195,515884,558824,612033,615520,615079,643394,658452,686478,702136,715791,725061,751037
 "29003","Andrew, MO",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",12044,12008,12410,12616,12818,12980,13483,13442,13431,13833,13793,14016,14132,14270,14511,14710,14610,14477,14537,14598,14534,14696,14898,15042,15157,15416,15633,15727,15948,16212,16308,16522,16580,16501,16608,16580,16511,16861,16834,16924,17036,17342,17195,17307,17303,17281,17311,17339,17555
 "29003","Andrew, MO",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3503,3588,3859,4224,5075,4780,5174,5426,6355,6926,8070,7940,9122,9375,9736,10828,12001,12371,12677,12981,14522,15101,15910,16848,17201,18351,19053,20579,22216,23231,24900,26156,25972,25684,26086,28383,28902,30596,33196,36164,36131,35468,37418,38045,39674,40631,41349,41817,42782
 "29005","Atchison, MO",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",31225,35153,36997,44395,55172,46094,53623,55706,55714,66061,74166,49273,79939,80678,75292,94501,104213,105026,99343,88889,94366,109237,115244,124772,104893,137596,120524,152862,154838,153915,153298,167359,167715,157012,169930,190500,178971,180070,194948,227338,247297,239500,248778,242639,275241,287140,220306,242261,242517
 "29005","Atchison, MO",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",9350,9311,9700,9857,9506,9655,9638,9359,9296,8945,8800,8616,8645,8793,8612,8528,8150,7898,7784,7716,7625,7401,7336,7122,6981,6930,6898,6952,6733,6629,6548,6389,6344,6189,6193,6153,6053,5908,5909,5798,5781,5658,5573,5514,5423,5362,5304,5310,5275
