GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "30000","Montana",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2350491,2604190,2787297,3230256,3745221,4069917,4478717,4806477,5197877,6090546,6548668,7211128,8194340,8635647,9076888,9602766,9738412,10125627,10398004,10687855,11775559,12378011,13196264,14013952,15163358,15585255,16415894,17203322,17939129,19268936,19676159,20962808,21862017,22490762,24082138,25995029,27955582,30322712,32669862,34418881,33729814,35558220,38051895,40442780,40666033,42725822,44864716,45747225,47677145
 "30000","Montana",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",694000,697172,711037,719138,727389,737203,749208,758521,771354,784043,789167,788752,795325,803984,814029,820904,822320,813738,805064,800200,799634,800204,809680,825770,844761,861306,876553,886254,889865,892431,897507,903773,906961,911667,919630,930009,940102,952692,964706,976415,983982,990507,996866,1003522,1011921,1019931,1028317,1038656,1050493
 "30000","Montana",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3387,3735,3920,4492,5149,5521,5978,6337,6739,7768,8298,9142,10303,10741,11151,11698,11843,12443,12916,13356,14726,15469,16298,16971,17950,18095,18728,19411,20159,21592,21923,23195,24105,24670,26187,27951,29737,31828,33865,35250,34279,35899,38172,40301,40187,41891,43629,44045,45385
 "30001","Beaverhead, MT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",25464,28558,30645,36775,41615,42725,45490,44317,45772,56732,62648,65548,75489,79490,85657,90776,92366,98469,99224,104692,116236,124145,129832,136206,147263,150916,159494,163745,171301,183207,184641,195103,207779,207175,218121,229777,240388,241224,266671,281977,280943,288798,313485,340819,354991,383122,414579,419544,418689
 "30001","Beaverhead, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",8113,8207,8227,8085,8011,8124,7974,7904,7845,8044,7919,8240,8442,8674,8717,8496,8497,8492,8460,8520,8543,8429,8487,8696,8793,8951,9168,9394,9244,9133,9184,9204,9058,9018,8924,8908,8904,9012,9028,9166,9200,9253,9205,9356,9301,9333,9288,9444,9434
 "30001","Beaverhead, MT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3139,3480,3725,4549,5195,5259,5705,5607,5835,7053,7911,7955,8942,9164,9826,10685,10870,11596,11729,12288,13606,14728,15298,15663,16748,16860,17397,17431,18531,20060,20105,21198,22939,22973,24442,25794,26998,26767,29538,30763,30537,31211,34056,36428,38167,41050,44636,44424,44381
 "30003","Big Horn, MT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",27925,31357,30260,37374,45473,50621,49596,49069,53945,70068,77584,92366,103569,99803,99454,105220,106618,109624,110112,109173,120483,126995,142067,152914,167359,163974,162293,163179,176306,186150,190235,208152,220189,217364,246402,260490,278108,266481,288929,306721,305551,319480,341638,343289,336256,342219,357262,371032,383404
 "30003","Big Horn, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",10052,10063,10150,10300,10304,10500,10975,10617,10727,11342,10932,11051,10851,10961,11032,11229,11411,11446,11261,11210,11466,11313,11400,11622,11773,12074,12215,12418,12669,12673,12653,12669,12783,12713,12652,12731,12634,12540,12549,12564,12747,12912,13054,12996,13116,13327,13277,13371,13360
 "30003","Big Horn, MT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2778,3116,2981,3629,4413,4821,4519,4622,5029,6178,7097,8358,9545,9105,9015,9370,9343,9577,9778,9739,10508,11226,12462,13157,14215,13581,13286,13141,13916,14689,15035,16430,17225,17098,19475,20461,22013,21250,23024,24413,23970,24743,26171,26415,25637,25679,26908,27749,28698
 "30005","Blaine, MT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",18219,21682,22022,28784,36698,35592,35997,35733,34860,46053,43794,45880,56480,57835,60718,64045,58984,68500,70822,72278,86119,84347,89230,94972,100809,90110,93032,95820,99178,113173,113244,114197,116376,108669,119970,134883,142416,133181,151226,158824,165482,174046,186863,186793,199382,193970,197884,194268,193257
 "30005","Blaine, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",6868,6740,6752,6677,6834,6656,6726,6995,7016,7309,7239,7002,7004,6959,6994,7139,7196,7042,6970,6945,6932,6685,6773,6819,6950,7054,7051,7103,7159,7101,7087,6968,6748,6769,6699,6571,6592,6536,6472,6401,6445,6503,6573,6656,6596,6650,6618,6657,6708
 "30005","Blaine, MT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2653,3217,3262,4311,5370,5347,5352,5108,4969,6301,6050,6552,8064,8311,8681,8971,8197,9727,10161,10407,12423,12617,13174,13928,14505,12774,13194,13490,13854,15938,15979,16389,17246,16054,17909,20527,21604,20377,23366,24812,25676,26764,28429,28064,30228,29168,29901,29183,28810
 "30007","Broadwater, MT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",6911,8139,8836,10576,13203,15168,14595,16560,17434,23335,24047,24334,26542,27252,30747,32214,32538,37996,37760,38024,41189,43349,48289,55878,60696,61682,64890,70341,76031,79716,83595,86145,88808,91055,98097,110313,115956,122620,142295,174175,171999,173591,190949,186820,202201,201007,208536,220540,229826
 "30007","Broadwater, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",2552,2540,2583,2617,2660,2660,2757,2943,3019,3199,3271,3253,3194,3301,3411,3435,3494,3463,3465,3435,3338,3328,3381,3574,3638,3747,3976,4128,4240,4296,4364,4378,4438,4478,4562,4711,4775,4958,5089,5261,5496,5637,5729,5763,5681,5657,5715,5788,5936
 "30007","Broadwater, MT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2708,3204,3421,4041,4964,5702,5294,5627,5775,7294,7352,7480,8310,8256,9014,9378,9313,10972,10898,11070,12339,13026,14282,15635,16684,16462,16320,17040,17932,18556,19156,19677,20011,20334,21503,23416,24284,24732,27961,33107,31295,30795,33330,32417,35593,35532,36489,38103,38717
 "30009","Carbon, MT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",22138,23892,26297,32315,37938,40959,38411,40513,44970,54219,58373,67821,76930,79515,84497,91214,94629,92544,95048,102034,115340,117265,128108,139516,153769,154332,163683,177182,191226,211410,218776,229793,244660,245639,262062,299464,315520,324213,335986,345695,330747,355311,391582,414849,418316,442026,457875,467969,486068
 "30009","Carbon, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",7204,7081,7135,7470,7500,7681,7794,8038,8172,8353,8400,8119,8183,8342,8582,8756,8627,8441,8218,8182,8144,8077,8001,8295,8586,8896,8953,9183,9400,9364,9495,9561,9665,9714,9747,9796,9921,9916,9973,9965,10033,10062,10090,10135,10324,10423,10389,10498,10696
 "30009","Carbon, MT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3073,3374,3686,4326,5058,5333,4928,5040,5503,6491,6949,8353,9401,9532,9846,10417,10969,10964,11566,12471,14163,14518,16011,16819,17909,17348,18282,19295,20343,22577,23041,24034,25314,25287,26886,30570,31803,32696,33690,34691,32966,35312,38809,40932,40519,42409,44073,44577,45444
 "30011","Carter, MT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",8168,7554,6202,9215,12848,9460,7768,7530,8199,12150,13663,13294,14874,12608,14295,14844,13435,19095,19104,18264,21000,19203,20770,21638,24371,20943,17843,17723,19482,21855,27107,26326,31085,24199,28969,30761,34846,27678,36311,38725,33036,34698,40055,55457,58943,65283,69871,60156,54830
 "30011","Carter, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",2006,1944,1895,1915,1902,1898,1923,1889,1885,1870,1815,1795,1777,1738,1764,1729,1727,1678,1655,1597,1533,1489,1436,1482,1482,1505,1441,1444,1455,1450,1391,1335,1337,1319,1290,1284,1258,1227,1216,1172,1180,1160,1136,1157,1153,1151,1147,1177,1222
 "30011","Carter, MT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4072,3886,3273,4812,6755,4984,4040,3986,4350,6497,7528,7406,8370,7254,8104,8585,7779,11380,11543,11436,13699,12897,14464,14601,16445,13916,12382,12274,13390,15072,19487,19720,23250,18346,22457,23957,27700,22557,29861,33042,27997,29912,35260,47932,51121,56719,60916,51110,44869
 "30013","Cascade, MT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",319892,357739,384731,429950,468382,516168,558424,619187,670908,740513,798576,847771,911044,956506,1019329,1075396,1084569,1118501,1150773,1215641,1303500,1352856,1421630,1479441,1572673,1594870,1676640,1730378,1780473,1880474,1899560,1985176,2069433,2152842,2236762,2364363,2460353,2666746,2793119,2917524,2949357,3125087,3229267,3296474,3272559,3431157,3538787,3604156,3752776
