GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "37000","North Carolina",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",15858142,17320423,18856792,21319016,24174505,26653856,28942763,32132322,35208099,39736164,43908313,49246957,55496710,59420072,64644452,73126172,79020157,85194512,91884496,100589475,109693130,116522487,121893315,132674908,141458338,150582582,161486709,172816700,185687858,198159659,208306291,221868140,228431654,231805733,241164507,261528394,281072758,305336603,328910081,350372649,337787031,340764297,354294372,379031187,375057001,397410713,419888909,433766368,454306904
 "37000","North Carolina",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",5031000,5099150,5200760,5296085,5382441,5461112,5535097,5593463,5668494,5740286,5801563,5898980,5956653,6019108,6077059,6164004,6253957,6321576,6403693,6480591,6565462,6664016,6784280,6897214,7042818,7187398,7344674,7500670,7656825,7809121,7949361,8081614,8210122,8326201,8422501,8553152,8705407,8917270,9118037,9309449,9449566,9574247,9662940,9755299,9849812,9941160,10041769,10156689,10273419
 "37000","North Carolina",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3152,3397,3626,4025,4491,4881,5229,5745,6211,6922,7568,8348,9317,9872,10637,11863,12635,13477,14349,15522,16708,17485,17967,19236,20085,20951,21987,23040,24251,25375,26204,27453,27823,27841,28633,30577,32287,34241,36072,37636,35746,35592,36665,38854,38078,39976,41814,42707,44222
 "37001","Alamance, NC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",329879,350273,381007,424017,469926,504551,536960,590057,628721,697983,781945,871795,979962,1050004,1133432,1254093,1334700,1448617,1548484,1682733,1829543,1901481,1981909,2111525,2245397,2379702,2545725,2695792,2900497,3108824,3278069,3444901,3588562,3650103,3766080,3848228,4004478,4346676,4653404,4849735,4720490,4834308,5042233,5246696,5259359,5524438,5784891,5994562,6307062
 "37001","Alamance, NC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",96050,96843,98499,99740,99940,99272,98243,98721,98505,98540,99048,99532,100083,101000,101559,101706,102524,103515,105072,106327,107425,108695,110762,112825,114678,116788,118796,121263,123877,126232,128743,131423,133346,135239,136009,137619,139311,141462,144712,147704,149954,151490,152857,153471,154417,155698,157389,159325,162391
 "37001","Alamance, NC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3434,3617,3868,4251,4702,5083,5466,5977,6383,7083,7895,8759,9791,10396,11160,12331,13018,13994,14737,15826,17031,17494,17893,18715,19580,20376,21429,22231,23414,24628,25462,26212,26912,26990,27690,27963,28745,30727,32156,32834,31480,31912,32987,34187,34059,35482,36755,37625,38839
 "37003","Alexander, NC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",57882,59796,66867,75107,89470,94742,101401,116936,133293,148161,163257,183718,211658,214133,242755,284709,298020,323924,338411,367275,411174,439252,454638,497064,532904,572454,596672,605467,649490,719762,781154,822598,844363,829232,840175,910068,945795,985710,1025408,1013304,1000983,1026376,1044798,1090200,1123223,1200423,1263291,1266176,1336291
 "37003","Alexander, NC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",18795,19593,20347,21184,22069,22673,22894,23080,23588,24058,24719,25066,25260,25572,25865,26097,26348,26557,26796,27078,27423,27652,28095,28453,29208,29949,30496,30967,31668,32492,33274,33774,34187,34665,34998,35343,35786,36243,36609,36840,37053,37241,37039,36940,37091,37092,37058,37270,37286
 "37003","Alexander, NC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3080,3052,3286,3545,4054,4179,4429,5067,5651,6158,6605,7329,8379,8374,9385,10910,11311,12197,12629,13564,14994,15885,16182,17470,18245,19114,19566,19552,20509,22152,23476,24356,24698,23921,24006,25750,26429,27197,28010,27506,27015,27560,28208,29513,30283,32363,34090,33973,35839
 "37005","Alleghany, NC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",19145,20531,23339,27217,31140,32791,36987,39826,43735,49993,57114,63073,69976,76421,80345,87349,89674,93962,103319,114501,126878,136210,144548,157069,171020,180790,202294,212421,230576,249272,266711,269020,266595,265624,265952,277305,287977,286227,299802,311045,315993,319587,329518,338334,345334,369905,393460,397566,417372
