GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "34000","New Jersey",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",32504175,35294519,38078118,41394930,45063192,48945152,52877698,57408891,62802139,69699071,77362778,87046739,97264551,105090396,113438476,125567163,134573708,144070388,155341299,170597669,183042974,192163514,195933413,210510235,217595981,225284514,239164930,253062255,269605875,286990155,300848081,331307344,342293012,347247711,356002789,372881881,386942679,415978699,440854819,453338638,439321775,452322582,473913422,491656697,496305885,519814631,542404707,555804578,581198556
 "34000","New Jersey",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",7095000,7190282,7281935,7336538,7335240,7335227,7341417,7344079,7342027,7356414,7373048,7376330,7407471,7430970,7467784,7515474,7565530,7622161,7670741,7712333,7726086,7762963,7814676,7880508,7948915,8014306,8083242,8149596,8218808,8287418,8359592,8430621,8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8803708,8844694,8882095,8913735,8943010,8960001,8978416,9005644
 "34000","New Jersey",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4581,4909,5229,5642,6143,6673,7203,7817,8554,9475,10493,11801,13131,14142,15190,16708,17788,18902,20251,22120,23692,24754,25072,26713,27374,28110,29588,31052,32804,34630,35988,39298,40305,40601,41389,43185,44723,48025,50802,52042,50176,51379,53582,55354,55679,58125,60536,61905,64537
 "34001","Atlantic, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",694634,782866,871879,964555,1081593,1173626,1283784,1421862,1575347,1779776,2069787,2386106,2735574,2921164,3177478,3586003,3831249,4099040,4343758,4747699,4945472,5065020,4796490,5394249,5662193,5805053,6268051,6682656,7028062,7333173,7562690,8024070,7486116,7774252,8093131,8646897,9120736,9992710,10455085,10743547,10523558,10705833,11208828,11487970,11645552,11885274,12030464,12125264,12566489
 "34001","Atlantic, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",174603,175908,179824,184987,187199,189113,189544,189613,189311,191121,193082,194566,195984,196548,199168,202752,206045,209388,212581,217445,221589,225431,228763,231612,234288,236589,239212,242152,244771,247863,250432,253674,255737,259263,263285,267723,270332,271759,272303,273014,274049,274761,275107,275732,275954,274842,273088,270830,269918
 "34001","Atlantic, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3978,4450,4849,5214,5778,6206,6773,7499,8321,9312,10720,12264,13958,14862,15954,17687,18594,19576,20433,21834,22318,22468,20967,23290,24168,24536,26203,27597,28713,29586,30199,31631,29273,29986,30739,32298,33739,36770,38395,39352,38400,38964,40744,41664,42201,43244,44053,44771,46557
 "34003","Bergen, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",4928452,5295087,5627984,6064621,6556908,7082772,7588369,8179180,8904872,9877344,10914107,12252949,13771724,14816148,15950983,17752297,18994527,20201463,21877386,24079759,26062053,27027560,27144445,29331194,30001900,31473259,33510172,35667229,38337462,40435534,42005780,46381037,46291129,46355820,46125914,49510808,51255114,56089769,59970860,60263009,57872484,59847025,62958467,66119775,65924420,68728654,72078116,73412467,77013135
 "34003","Bergen, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",893713,896575,893789,884746,879576,873773,871592,865559,859951,855004,851298,845904,846358,844419,845965,845834,842541,840309,835367,831343,826527,826129,829599,837520,843198,848392,855242,862048,868897,875050,880225,885180,888782,890647,892214,893378,891446,889406,890817,895328,900319,906879,914233,921035,927202,933348,938255,942387,948406
 "34003","Bergen, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",5515,5906,6297,6855,7455,8106,8706,9450,10355,11552,12821,14485,16272,17546,18855,20988,22544,24041,26189,28965,31532,32716,32720,35021,35581,37098,39182,41375,44122,46209,47722,52397,52084,52047,51698,55420,57497,63064,67321,67308,64280,65992,68865,71789,71100,73637,76821,77901,81203
 "34005","Burlington, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1340421,1466500,1617126,1799769,1949664,2134897,2327024,2615903,2859966,3200518,3612206,4087508,4540511,4903173,5310046,5789515,6274642,6730518,7239576,7848785,8430114,8882823,9127037,9874209,10085099,10534177,10997815,11604081,12348144,13127499,13898569,15220231,15760145,16343220,17111853,17961148,18555905,19824119,20620880,21420293,21309546,21730049,22511423,23024197,23165826,24087247,25144270,25765546,26762573
