GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "32000","Nevada",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2278607,2560413,2860381,3196764,3630058,4025238,4543971,5170461,5977935,7225731,8374582,9682781,11011840,11762109,12530021,13652075,14799444,15988531,17473700,19842874,22352474,25043313,27515308,30479309,32966024,36485543,40138314,44435100,48572668,54524887,58885465,64576311,68036359,69976288,74570433,83003177,93328783,100381179,104455400,102762941,97544377,101205240,105185412,109445768,109901308,117422470,126929949,130756841,138386430
 "32000","Nevada",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",480000,493223,519989,546736,568910,596713,619847,646823,678134,719345,765121,810215,847656,881538,901978,924921,951032,980614,1023374,1075023,1137382,1220695,1296171,1351367,1411215,1499298,1581578,1666320,1764104,1853191,1934718,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2702797,2718170,2752410,2786547,2831730,2883057,2939254,2998039
 "32000","Nevada",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4747,5191,5501,5847,6381,6746,7331,7994,8815,10045,10945,11951,12991,13343,13892,14760,15561,16305,17075,18458,19653,20516,21228,22554,23360,24335,25379,26667,27534,29422,30436,31988,32423,32191,33159,35377,38373,39792,40159,38725,36334,37445,38697,39764,39440,41467,44026,44486,46159
 "32001","Churchill, NV",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",35207,42626,49544,59327,69620,70875,69722,77803,86389,100700,112413,133087,146184,153809,164634,182732,202985,216829,241240,264849,284601,291135,320590,354347,389331,420802,439616,487225,526173,580862,594484,630025,608263,621399,656507,712561,760320,771760,784219,809489,794450,831182,867577,862087,866890,907890,940319,945897,1001482
 "32001","Churchill, NV",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",10498,10635,11157,11625,11850,11924,11987,11960,12131,12771,13571,13917,13896,14178,14319,14397,15029,15717,16425,16990,17555,18039,18637,18963,19723,20519,21197,21960,23179,23503,23859,24024,24342,24155,24026,24226,24593,24842,24961,25049,25067,24822,24618,24278,23958,23883,24024,24016,24230
 "32001","Churchill, NV",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3354,4008,4441,5103,5875,5944,5816,6505,7121,7885,8283,9563,10520,10848,11498,12692,13506,13796,14687,15589,16212,16139,17202,18686,19740,20508,20740,22187,22700,24714,24917,26225,24988,25725,27325,29413,30916,31067,31418,32316,31693,33486,35242,35509,36184,38014,39141,39386,41332
 "32003","Clark, NV",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1273648,1429017,1582762,1747451,1984224,2221573,2515704,2863774,3296192,3959777,4631857,5359706,6162457,6629060,7092525,7685375,8375859,9142842,10067109,11504022,13196124,15093525,16727113,18671191,20550154,23043214,25587458,28648985,31677828,36077820,39344966,43337526,46367048,48283011,51578290,57787769,65883025,71247941,74577710,73285040,68076424,70001222,72858166,77839744,77846855,83548431,90036449,92750753,97457342
 "32003","Clark, NV",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",267479,276079,293008,307426,319399,336930,351339,369529,389965,412913,441358,469185,492747,513708,530195,544893,561081,580775,611763,647410,691467,756170,816085,857357,902338,972624,1035847,1099894,1177230,1251258,1321254,1393909,1460500,1522962,1584166,1662773,1729522,1803774,1867817,1912349,1939407,1952906,1966521,1996290,2026056,2064991,2110330,2156724,2204079
 "32003","Clark, NV",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4762,5176,5402,5684,6212,6594,7160,7750,8453,9590,10495,11423,12506,12904,13377,14104,14928,15742,16456,17769,19084,19960,20497,21778,22774,23692,24702,26047,26909,28833,29779,31091,31747,31703,32559,34754,38093,39499,39928,38322,35102,35845,37049,38992,38423,40459,42665,43005,44217
 "32005","Douglas, NV",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",44246,52296,61364,73219,89008,105053,116560,137505,164116,211014,242235,281823,311204,328741,349983,402207,440139,469776,492750,572003,626363,689553,803080,892533,961810,1051657,1149912,1265032,1413486,1557815,1632113,1733792,1773902,1784249,1926005,2231175,2444703,2581538,2637309,2493839,2364762,2417558,2502008,2611677,2648439,2796717,3157947,3144805,3342402
