GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "36000","New York",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",83626257,89895425,96121001,102833594,109571703,118064617,127413860,134980837,145640377,158583699,173361931,193258499,215680555,234418022,252683225,279483612,299163538,319479383,340642807,373665398,403909989,432317759,432542636,457271416,470053879,484730601,510818279,537881580,567955826,600536296,636314871,684897930,709931446,707720011,718701935,753191245,787298364,847001865,911071359,927177224,914586318,954364506,1009303325,1065474040,1081132827,1125896581,1172712896,1208345688,1281082420
 "36000","New York",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",18105000,18271605,18364865,18351767,18194767,18072768,18032254,17974654,17851507,17720421,17633646,17566754,17567731,17589737,17686907,17745676,17791678,17833421,17868844,17941309,17983084,18020784,18122510,18246653,18374954,18459470,18524104,18588460,18656546,18755906,18882725,19001780,19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19405185,19526372,19625409,19712514,19773580,19819347,19836286,19849399
 "36000","New York",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4619,4920,5234,5603,6022,6533,7066,7510,8158,8949,9831,11001,12277,13327,14286,15749,16815,17915,19064,20827,22461,23990,23868,25061,25581,26259,27576,28936,30443,32019,33698,36044,37203,36980,37479,39287,41150,44335,47619,48259,47371,49181,51689,54291,54845,56939,59170,60916,64540
 "36001","Albany, NY",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1222715,1384440,1530814,1657409,1783091,1920264,2067910,2184206,2346577,2541905,2768962,3067706,3374032,3682421,3995947,4427174,4768034,5134923,5422099,5905504,6544910,6939250,7101271,7471768,7662791,7860762,8092381,8321933,8738983,9176941,9837971,10581243,10569749,10511486,10949760,11318871,11617274,12118311,12556545,13251638,13510263,14198909,14790454,15424467,15688319,16708650,17143924,17349277,17972372
 "36001","Albany, NY",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",286201,287151,288612,290300,289750,289146,287863,286517,286155,286922,286969,286173,286690,287159,287780,288450,289760,291010,290843,291094,292202,292956,295530,296913,298592,300262,299725,297680,296187,295097,294692,295106,296232,298283,301085,302173,302791,303997,303858,303739,304733,304107,304836,306206,307414,308195,308598,309080,309612
 "36001","Albany, NY",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4272,4821,5304,5709,6154,6641,7184,7623,8200,8859,9649,10720,11769,12824,13885,15348,16455,17645,18643,20287,22399,23687,24029,25165,25663,26180,26999,27956,29505,31098,33384,35856,35681,35240,36368,37458,38367,39863,41324,43628,44335,46691,48519,50373,51033,54215,55554,56132,58048
 "36003","Allegany, NY",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",135581,149905,164561,175435,192517,212798,232194,249323,266077,289529,325506,361725,391812,422777,434797,469400,492303,515843,549430,601875,644040,687619,714652,765084,784419,796408,835130,877524,885779,919654,953391,992199,1011430,1032244,1067336,1126088,1154710,1186615,1229156,1353381,1343051,1383463,1414613,1450862,1441751,1505925,1534075,1532695,1591664
 "36003","Allegany, NY",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",46301,46729,48061,49963,50253,50538,51450,51858,52155,52209,52348,51785,51861,51640,51354,51070,50723,50060,49768,49835,50166,50522,50935,50967,50807,51012,51251,50869,50325,49991,49997,49819,50079,50014,50165,50311,49768,49359,49079,49177,48969,48968,48803,48226,47932,47694,47372,47110,46894
 "36003","Allegany, NY",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2928,3208,3424,3511,3831,4211,4513,4808,5102,5546,6218,6985,7555,8187,8467,9191,9706,10304,11040,12077,12838,13610,14031,15011,15439,15612,16295,17251,17601,18396,19069,19916,20197,20639,21277,22383,23202,24040,25044,27521,27427,28252,28986,30085,30079,31575,32384,32534,33942
 "36005","Bronx, NY",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",5313763,5657441,5908732,6182516,6381338,6760973,7242870,7401039,7680066,8077084,8585673,9495519,10547807,11439640,12208651,13305682,14035459,14825827,15425540,16445220,17574568,18881470,19195347,19716168,20244960,20961426,21736830,22438520,23082115,23876327,25019623,26853211,29174284,29910472,30994636,32796710,33234952,35476689,38294597,38548675,39689085,41519082,42727957,43172287,43913268,45624055,47869520,48931050,52320600
 "36005","Bronx, NY",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",1462899,1473725,1477415,1472522,1418906,1381620,1347971,1313977,1265495,1220938,1188566,1168403,1163912,1164329,1175406,1179413,1187894,1198837,1210712,1215834,1213675,1207053,1214835,1223153,1238907,1250789,1262064,1272693,1285683,1300823,1317895,1334319,1346555,1358739,1362373,1358963,1351736,1348164,1354056,1363488,1376261,1388122,1400899,1417864,1432881,1445800,1460412,1468976,1471160
 "36005","Bronx, NY",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3632,3839,3999,4199,4497,4894,5373,5633,6069,6615,7224,8127,9062,9825,10387,11282,11815,12367,12741,13526,14480,15643,15801,16119,16341,16759,17223,17631,17953,18355,18985,20125,21666,22013,22750,24134,24587,26315,28281,28272,28838,29910,30500,30449,30647,31556,32778,33310,35564
 "36007","Broome, NY",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",864850,922446,984151,1032895,1111936,1202922,1318271,1405233,1533638,1678571,1832167,2020967,2251099,2481754,2652619,2950195,3106603,3234977,3402005,3610034,3882899,4038429,4157640,4310712,4289542,4313350,4407305,4525644,4678648,4768992,4965513,5272898,5341008,5449628,5473271,5683870,5745022,6087656,6473525,6837714,6958126,7145340,7324744,7536240,7519867,7576994,7833881,7917000,8292672
 "36007","Broome, NY",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",222021,222098,223043,219753,219714,218027,220038,219795,219098,217848,217081,213708,213544,213903,213413,213060,213846,212792,211283,211984,212406,212252,212820,213460,212756,210823,207478,204415,202053,201072,200881,200351,200868,201438,201037,200974,200477,200905,200877,201029,200935,200509,199449,198783,198212,197649,196292,194830,193639
 "36007","Broome, NY",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3895,4153,4412,4700,5061,5517,5991,6393,7000,7705,8440,9457,10542,11602,12430,13847,14527,15203,16102,17030,18281,19027,19536,20194,20162,20460,21242,22139,23156,23718,24719,26318,26590,27054,27225,28282,28657,30301,32226,34014,34629,35636,36725,37912,37939,38336,39909,40635,42825
 "36009","Cattaraugus, NY",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",256154,272631,292508,312871,346632,382439,417974,448721,483876,527307,594191,655222,714869,767374,805051,884179,937406,984198,1036206,1100190,1182884,1260920,1295675,1385304,1401383,1440533,1505770,1580952,1646268,1698957,1778772,1848541,1924639,1988743,2080892,2189065,2205849,2282586,2370945,2508064,2563100,2669083,2662704,2731878,2731071,2802175,2872627,2867482,2989066
 "36009","Cattaraugus, NY",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",81604,82173,84212,86187,84379,83943,84958,85551,85600,85882,85508,85806,86080,85877,85732,85296,85545,84880,83883,83510,83571,84455,84961,85326,85523,85097,85040,85284,84718,84519,84050,83927,83346,83301,83335,82864,82039,81342,81056,80761,80491,80232,79829,79375,79033,78726,78006,77761,77348
 "36009","Cattaraugus, NY",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3139,3318,3473,3630,4108,4556,4920,5245,5653,6140,6949,7636,8305,8936,9390,10366,10958,11595,12353,13174,14154,14930,15250,16235,16386,16928,17707,18537,19432,20101,21163,22026,23092,23874,24970,26418,26888,28062,29251,31055,31843,33267,33355,34417,34556,35594,36826,36876,38644
 "36011","Cayuga, NY",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",258154,277078,299207,320320,353903,388539,417690,444779,478280,517458,578867,644785,717595,767631,807070,896603,946155,1011754,1063830,1130860,1245352,1331894,1356322,1432001,1480321,1537860,1594869,1689054,1740764,1764228,1852036,1929571,1969373,2026618,2129913,2190687,2199774,2250955,2418217,2509833,2505308,2610232,2759395,2876275,2909926,2979957,3004418,3033120,3165964
