GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "40000","Oklahoma",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",8454824,9325575,10163611,11153394,12652931,14079579,15735744,17348684,19295941,21896038,25414785,29278754,34204111,38175757,39077210,41927021,43605482,43881454,43753615,45620330,48521160,51121318,52677463,56033875,58247034,60818012,63426687,67222981,71074659,75061712,77067874,83363921,88354068,90233074,94303299,101714386,111052252,123411849,127818682,141463858,131404805,137327475,147778317,158235715,165860357,176376708,172636230,165106975,174435402
 "40000","Oklahoma",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",2535000,2566485,2617944,2657448,2694182,2732454,2771858,2823396,2865935,2913056,2970080,3040758,3096159,3206129,3290404,3285535,3271333,3252735,3210124,3167064,3150304,3148825,3175440,3220517,3252285,3280940,3308208,3340129,3372917,3405194,3437147,3454365,3467100,3489080,3504892,3525233,3548597,3594090,3634349,3668976,3717572,3759529,3785232,3815298,3849840,3875008,3904353,3921207,3930864
 "40000","Oklahoma",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3335,3634,3882,4197,4696,5153,5677,6145,6733,7517,8557,9629,11047,11907,11876,12761,13330,13491,13630,14405,15402,16235,16589,17399,17910,18537,19173,20126,21072,22043,22422,24133,25484,25862,26906,28853,31295,34337,35170,38557,35347,36528,39041,41474,43082,45516,44216,42106,44376
 "40001","Adair, OK",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",28386,31954,34889,39055,45471,51351,57539,60549,65204,74878,89386,98775,109257,115907,122044,144886,154061,168111,166987,179151,201611,214047,227126,257574,258439,272579,276142,284212,296830,306127,316228,328649,363326,382730,384303,400693,424962,442806,464325,473866,486237,525107,549008,556929,567889,583118,614916,613538,629991
 "40001","Adair, OK",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",14888,15187,15547,16274,16725,16786,17077,17300,17663,18185,18702,18518,18258,18437,18845,18369,18357,18557,18815,18771,18516,18444,18844,19178,19483,19784,19933,20182,20421,20748,20904,21031,21101,21271,21445,21589,21887,22215,22345,22346,22477,22738,22559,22313,22309,22240,22109,22111,21909
 "40001","Adair, OK",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",1907,2104,2244,2400,2719,3059,3369,3500,3692,4118,4779,5334,5984,6287,6476,7888,8392,9059,8875,9544,10888,11605,12053,13431,13265,13778,13854,14082,14536,14755,15128,15627,17218,17993,17920,18560,19416,19933,20780,21206,21633,23094,24337,24960,25456,26219,27813,27748,28755
 "40003","Alfalfa, OK",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",24868,31898,34357,33314,36812,42632,43528,37914,37216,49466,63812,63377,79585,106995,82773,108892,93195,89672,96572,102578,100706,106455,89428,107556,99360,97299,86329,90904,111943,112072,115371,127035,132363,127995,140038,135321,133692,133547,135592,175696,151023,174963,209737,243887,226382,273616,256850,225136,226290
 "40003","Alfalfa, OK",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",7928,7216,7206,7110,7027,7021,7175,7237,7230,7314,7231,7111,7235,7380,7519,7324,7197,7222,6979,6637,6575,6384,6367,6327,6309,6291,6275,6291,6247,6244,6125,6080,5933,5894,5827,5785,5706,5639,5618,5618,5585,5629,5643,5663,5850,5813,5901,5914,5907
 "40003","Alfalfa, OK",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3137,4420,4768,4686,5239,6072,6067,5239,5147,6763,8825,8913,11000,14498,11009,14868,12949,12417,13838,15455,15317,16675,14046,17000,15749,15466,13758,14450,17919,17949,18836,20894,22310,21716,24033,23392,23430,23683,24135,31274,27041,31082,37168,43067,38698,47070,43527,38068,38309
 "40005","Atoka, OK",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",20360,23270,24163,27315,34654,35890,40943,43423,46120,51844,57371,64979,78043,85774,92082,103131,108890,107177,107320,113451,122558,122599,130938,138652,148659,158814,167409,177702,185680,194551,205234,218607,228503,248089,256196,258385,278192,289619,315609,327024,341629,355756,372404,387088,398745,412525,419238,418459,443706
