GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "41000","Oregon",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",7832186,8537112,9382814,10511429,11845440,13431788,14919665,16821714,18812438,21563442,24392255,27030379,29169608,30006197,31906148,34585003,36320768,38221702,40194469,43775754,48095052,51940747,54674252,58477046,62590764,67029794,72165942,77845034,82657354,86862857,90547769,97773230,100607352,101865434,105562242,111488116,117144737,127973779,133838507,139499803,134830942,138328202,146081624,154066838,156644028,167977534,181022258,189644395,199422200
 "41000","Oregon",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",2062000,2100388,2149890,2195219,2238878,2280956,2324622,2372155,2439355,2509609,2578312,2641218,2667985,2664919,2653071,2666589,2672648,2683526,2700996,2741297,2790579,2860375,2928507,2991755,3060367,3121264,3184369,3247111,3304310,3352449,3393941,3429708,3467937,3513424,3547376,3569463,3613202,3670883,3722417,3768748,3808600,3837073,3865845,3893920,3919664,3960673,4016537,4085989,4142776
 "41000","Oregon",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3798,4065,4364,4788,5291,5889,6418,7091,7712,8592,9461,10234,10933,11260,12026,12970,13590,14243,14881,15969,17235,18159,18670,19546,20452,21475,22663,23974,25015,25910,26679,28508,29011,28993,29758,31234,32421,34862,35955,37015,35402,36050,37788,39566,39964,42411,45069,46413,48137
 "41001","Baker, OR",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",49098,55129,62304,71145,74242,78192,86523,95439,104014,113483,137942,145139,155084,156948,166410,169145,169949,171521,177116,192426,210460,223690,232428,243913,264384,274267,288404,297374,323254,331420,326353,347791,346226,348521,361895,374438,386115,400797,419927,444576,458213,467245,490579,513698,526936,557802,590770,611023,626525
 "41001","Baker, OR",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",15219,15070,15721,15612,15491,15206,15748,15463,15799,15712,16121,16153,16198,16377,16255,16118,15731,15426,15130,14994,14890,15433,15581,15847,16172,16418,16691,16652,16746,16841,16755,16714,16618,16376,16312,16272,16086,16094,16139,16195,16225,16115,16062,15994,16019,16011,15867,15948,16054
 "41001","Baker, OR",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3226,3658,3963,4557,4793,5142,5494,6172,6584,7223,8557,8985,9574,9583,10237,10494,10803,11119,11706,12834,14134,14494,14917,15392,16348,16705,17279,17858,19303,19679,19478,20808,20834,21282,22186,23011,24003,24904,26019,27451,28241,28994,30543,32118,32894,34839,37233,38313,39026
 "41003","Benton, OR",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",171727,183578,205429,232456,263806,299249,338181,389271,446823,514888,569961,629806,706844,745397,798385,858862,888296,937245,990373,1063347,1170796,1226515,1279973,1368381,1479727,1591629,1744720,1929118,2074710,2158319,2181868,2296481,2387093,2427899,2567795,2620431,2674303,2812806,2929666,3091611,2965230,3077657,3261808,3310592,3313536,3512756,3707774,3898501,4117613
 "41003","Benton, OR",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",51491,53943,54929,60135,59313,61230,61618,62299,65569,66955,68171,68471,69369,69461,68245,67474,67275,66940,67590,67876,69879,71059,71507,72618,73997,75481,76517,77776,78560,78943,78254,78236,78491,80203,80322,80149,80943,81957,83718,84150,85390,85561,85976,86368,85934,86956,88106,89296,90951
 "41003","Benton, OR",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3335,3403,3740,3866,4448,4887,5488,6248,6815,7690,8361,9198,10190,10731,11699,12729,13204,14001,14653,15666,16755,17261,17900,18844,19997,21086,22802,24804,26409,27340,27882,29353,30412,30272,31969,32694,33039,34321,34994,36739,34726,35970,37939,38331,38559,40397,42083,43658,45273
 "41005","Clackamas, OR",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",671450,717676,803901,922265,1043553,1187847,1337667,1539362,1739043,2064820,2423548,2796972,3061214,3181474,3371600,3683332,3884143,4104988,4357855,4766511,5337075,5882077,6218762,6702887,7251025,7826841,8498848,9367638,10106731,10793721,11279221,12440985,12300806,12157483,12520175,13392982,14008794,15177486,15879709,16419915,15518067,15915879,16837053,18022462,18060274,19003973,20417831,21790756,23220274
 "41005","Clackamas, OR",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",156015,167095,172832,178193,190992,196143,205094,211992,218939,229540,236824,242857,246139,247804,247323,248703,250118,255311,258603,260753,272546,280862,288877,296624,303344,309257,314922,322376,328898,332942,335891,339223,343444,348951,352032,355758,359308,363508,366808,371103,374085,376758,379154,382766,387279,393355,399825,406680,412672
 "41005","Clackamas, OR",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4304,4295,4651,5176,5464,6056,6522,7261,7943,8995,10234,11517,12437,12839,13632,14810,15529,16078,16852,18280,19582,20943,21527,22597,23904,25309,26987,29058,30729,32419,33580,36675,35816,34840,35565,37646,38988,41753,43292,44246,41483,42244,44407,47085,46634,48313,51067,53582,56268
 "41007","Clatsop, OR",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",99284,109993,117513,128979,145139,166653,186946,207110,234128,265793,298083,327836,346822,356476,374476,401581,441539,464700,471132,510246,562288,580866,595136,632228,661746,687040,732463,760945,798513,824948,845414,880814,955649,977087,1022433,1034103,1066330,1142285,1179767,1221454,1216830,1245469,1281629,1332941,1334358,1410931,1499995,1596085,1675987
 "41007","Clatsop, OR",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",27905,28509,28974,28846,29148,29652,29745,29814,30636,31626,32230,32544,32700,32543,32434,32116,32452,32275,32122,32417,33040,33436,33852,34307,34735,35288,35527,35444,35770,35760,35720,35560,35509,35519,35612,35912,36282,36603,36818,36825,36972,37085,37189,37377,37084,37421,37783,38637,39182
 "41007","Clatsop, OR",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3558,3858,4056,4471,4979,5620,6285,6947,7642,8404,9249,10074,10606,10954,11546,12504,13606,14398,14667,15740,17018,17372,17581,18429,19051,19470,20617,21469,22324,23069,23668,24770,26913,27509,28710,28795,29390,31207,32043,33169,32912,33584,34463,35662,35982,37704,39700,41310,42774
 "41009","Columbia, OR",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",98734,104669,112336,131545,153898,178855,193793,209501,232490,262739,306064,339073,363745,366537,386534,417736,435372,462128,480876,519735,571890,620008,660025,693583,738868,776757,853312,932535,1010272,1042808,1074938,1158884,1203634,1212164,1236326,1301723,1375539,1497635,1580537,1652762,1592071,1606599,1667375,1727599,1756972,1848874,1982503,2074669,2179621
 "41009","Columbia, OR",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",28213,28822,29301,30340,31433,31798,32366,32861,33852,34270,35444,35723,35963,36170,36022,35739,35707,35829,35954,36228,36708,37809,38476,38828,39466,39922,40576,41454,42055,42781,43360,43634,44196,45104,45636,46192,46955,48184,48898,49209,49394,49353,49372,49182,49238,49479,49648,50886,51782
