GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "42000","Pennsylvania",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",45346106,48843711,51835461,56579789,62032948,68133164,74472731,81283216,89174091,98271999,108706050,119088365,131482121,140474119,147180811,158975274,168415810,177108098,187611091,203157551,220029706,232898680,242566278,256051946,265789353,275144867,287676365,302375613,317520134,335664425,349848206,374404617,388669348,396187846,409648567,433409619,451890329,476852941,506498986,524359554,511713893,533828376,562622067,587095666,592172266,617895532,642622555,657164756,682533744
 "42000","Pennsylvania",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",11741000,11811561,11884354,11904541,11885202,11863936,11897778,11887478,11881857,11864774,11873563,11868305,11858569,11845146,11837726,11815175,11770865,11782754,11810869,11845755,11865992,11903299,11982164,12049450,12119724,12166050,12198403,12220464,12227814,12245672,12263805,12284173,12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12711063,12742811,12768034,12778450,12790341,12791124,12787085,12805537
 "42000","Pennsylvania",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3862,4135,4362,4753,5219,5743,6259,6838,7505,8283,9155,10034,11088,11859,12433,13455,14308,15031,15885,17150,18543,19566,20244,21250,21930,22616,23583,24743,25967,27411,28527,30479,31602,32129,33104,34922,36296,38115,40314,41575,40398,41997,44152,45982,46341,48310,50240,51393,53300
 "42001","Adams, PA",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",205176,220477,237257,267285,301015,335085,363640,414886,458548,511846,574470,643770,710744,767808,804716,886368,950348,1026278,1097423,1201940,1307944,1397840,1449162,1541070,1590800,1630088,1728939,1837041,1967209,2085014,2226847,2409446,2607522,2714406,2891035,3024538,3184428,3338642,3539589,3714611,3692569,3784592,3935064,4048791,4131957,4368460,4556497,4601294,4816605
 "42001","Adams, PA",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",56433,57165,58628,60815,62627,63523,63834,64435,65398,66235,67409,68513,69506,70422,70679,70290,71043,72492,73976,75326,76609,78797,80531,81771,83013,84186,85063,86252,87751,89074,90363,91457,92591,93934,95503,97300,98606,99899,100502,101056,101252,101464,101460,101228,101059,101231,101637,101684,102336
 "42001","Adams, PA",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3636,3857,4047,4395,4806,5275,5697,6439,7012,7728,8522,9396,10226,10903,11386,12610,13377,14157,14835,15957,17073,17740,17995,18846,19163,19363,20325,21299,22418,23408,24643,26345,28162,28897,30272,31085,32294,33420,35219,36758,36469,37300,38784,39997,40887,43153,44831,45251,47067
 "42003","Allegheny, PA",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",6630031,7122248,7466431,8005338,8633514,9517369,10451178,11301507,12367312,13496797,14754891,16171899,17861241,18979800,19501304,20814793,21776314,22441122,23367664,25420998,27243459,29193643,30206906,31652188,32571824,33420083,34758452,36170780,38099489,39569536,41599353,44127453,44777501,45245027,45992762,47090340,48257730,51278924,53593446,55932327,54465072,56468086,59216280,61433064,62127297,64693136,67498531,68015157,71115128
 "42003","Allegheny, PA",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",1606592,1602690,1593414,1573451,1548863,1525950,1513436,1499354,1486316,1473802,1454339,1448253,1437549,1429717,1420639,1404696,1380315,1366108,1355061,1346483,1339463,1336740,1338435,1340919,1338289,1331772,1322460,1313445,1304196,1295026,1287247,1279651,1272416,1265577,1258420,1247531,1234787,1226025,1222482,1221071,1222171,1223897,1227767,1230870,1233892,1233480,1230052,1227553,1223048
 "42003","Allegheny, PA",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4127,4444,4686,5088,5574,6237,6906,7538,8321,9158,10145,11166,12425,13275,13727,14818,15776,16427,17245,18880,20339,21839,22569,23605,24338,25094,26283,27539,29213,30555,32317,34484,35191,35751,36548,37747,39082,41825,43840,45806,44564,46138,48231,49910,50351,52448,54875,55407,58146
 "42005","Armstrong, PA",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",233170,247373,267687,301643,328454,370298,422743,472764,523280,567528,631530,695528,758832,809909,837920,875316,898334,915068,942266,987530,1063606,1131813,1179964,1245253,1282900,1346233,1384743,1456998,1513007,1581478,1651175,1708265,1754227,1813897,1887436,1915103,2028223,2177006,2253623,2562933,2359603,2457333,2679955,2648582,2652040,2744209,2666835,2656579,2740970
