GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "44000","Rhode Island",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",3741845,4092971,4336596,4721967,5044554,5288914,5742437,6272443,6864937,7531162,8363201,9390625,10463764,11271042,12185400,13381333,14413759,15452702,16547232,18239253,19852498,20438053,20636099,21597148,22514761,23090962,24324255,25172140,26633794,28279772,29640027,31953799,33634810,35028014,36808992,38731847,39561871,41658720,43401302,44085524,42946742,45154778,46933338,48717840,48777089,50903104,53005809,53730946,55933966
 "44000","Rhode Island",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",932000,950561,963974,976365,978010,953503,946339,950321,955128,957237,956643,948773,953012,954170,956382,961895,968956,977340,989605,996407,1000666,1005995,1010649,1012581,1015112,1015960,1017002,1020893,1025353,1031155,1040402,1050268,1057142,1065995,1071342,1074579,1067916,1063096,1057315,1055003,1053646,1053169,1052154,1052761,1052784,1054782,1055916,1057566,1059639
 "44000","Rhode Island",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4015,4306,4499,4836,5158,5547,6068,6600,7187,7868,8742,9898,10980,11812,12741,13911,14876,15811,16721,18305,19839,20316,20419,21329,22180,22728,23918,24657,25975,27425,28489,30424,31817,32859,34358,36044,37046,39186,41049,41787,40760,42875,44607,46276,46332,48259,50199,50806,52786
 "44001","Bristol, RI",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",203937,215661,229064,244765,262957,277149,299661,331671,365794,399351,446704,501201,563866,613571,665123,742302,795794,849732,907528,1027689,1138026,1152312,1160600,1241825,1297103,1346875,1471163,1532827,1596350,1695979,1850049,1992078,2118009,2193471,2299371,2463154,2528208,2747995,2914397,2925104,2740975,2982658,3016996,3224532,3159820,3265112,3449630,3565832,3724562
 "44001","Bristol, RI",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",44870,45880,46264,46702,46849,46692,46707,47176,47761,47734,46845,46827,46258,46487,47279,47374,47630,48201,48456,49269,48866,48915,49130,49310,49604,49656,49750,49868,50028,50328,50466,50697,50942,51850,51658,52213,51667,50996,50914,50668,50075,49808,49212,49214,49207,49047,49096,48878,48912
 "44001","Bristol, RI",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4545,4701,4951,5241,5613,5936,6416,7031,7659,8366,9536,10703,12190,13199,14068,15669,16708,17629,18729,20859,23289,23557,23623,25184,26149,27124,29571,30738,31909,33699,36659,39294,41577,42304,44511,47175,48933,53886,57242,57731,54737,59883,61306,65521,64215,66571,70263,72954,76148
 "44003","Kent, RI",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",566542,609950,650015,717213,785179,844190,936525,1030148,1132012,1245347,1407648,1613135,1786980,1908675,2056201,2247508,2386997,2569651,2774009,3048164,3296703,3403163,3453607,3619528,3788045,3893493,4100775,4270663,4502561,4728669,4998437,5332074,5653453,5932077,6261233,6568802,6688450,7023973,7288291,7452883,7317000,7491448,7876600,8116351,8190829,8528234,8889986,8957180,9333685
 "44003","Kent, RI",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",138921,142590,144814,147335,149030,149482,149975,151903,154484,154250,154280,154219,154084,153908,153901,154905,156019,157306,159908,160284,160283,161463,162230,163076,163967,164223,164106,164373,164505,164932,166044,167516,168516,169478,170641,170539,169815,168522,167515,167269,166766,166023,165230,164608,164356,164513,163740,163690,163760
 "44003","Kent, RI",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4078,4278,4489,4868,5269,5647,6245,6782,7328,8074,9124,10460,11597,12401,13361,14509,15299,16335,17348,19017,20568,21077,21288,22195,23102,23709,24989,25982,27370,28670,30103,31830,33548,35002,36692,38518,39387,41680,43508,44556,43876,45123,47671,49307,49836,51839,54293,54720,56996
 "44005","Newport, RI",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",416524,479004,505180,545234,535659,482963,504086,554621,618699,686855,776615,895931,1046886,1153788,1231863,1371415,1505443,1623004,1716393,1858405,1969063,1952391,1969577,2067128,2155611,2204270,2354236,2442931,2578657,2768388,2958311,3190512,3259885,3363972,3553045,3781988,3828562,4101939,4108313,4145829,3987101,4059751,4405210,4706311,4734478,4909208,5059192,5184847,5391472
