GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "47000","Tennessee",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",11815600,12849372,14188137,15970576,18141651,20073602,21893630,24519691,27175753,30979262,34543736,38077998,42383340,45046219,48057095,53481428,57207491,61216362,65940974,71645974,76927829,81783900,86008886,94052894,100091784,106496614,114364864,120799015,127953042,141380922,147003866,155574409,159459938,164012570,170680041,180733335,188857550,201170663,211070970,218783305,217319201,227763359,241769012,254405967,256705809,267989304,282149885,292119668,305690612
 "47000","Tennessee",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",3897000,3936975,4010238,4088445,4138417,4201621,4260829,4329160,4401939,4461639,4533297,4600252,4627662,4646043,4659757,4686743,4715292,4738708,4782939,4822438,4854432,4894492,4966587,5049742,5137584,5231438,5326936,5416643,5499233,5570045,5638706,5703719,5750789,5795918,5847812,5910809,5991057,6088766,6175727,6247411,6306019,6355882,6396281,6450632,6490795,6540007,6590726,6649404,6715984
 "47000","Tennessee",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3032,3264,3538,3906,4384,4778,5138,5664,6174,6943,7620,8277,9159,9696,10313,11411,12132,12918,13787,14857,15847,16709,17318,18625,19482,20357,21469,22301,23267,25382,26070,27276,27728,28298,29187,30577,31523,33040,34178,35020,34462,35835,37798,39439,39549,40977,42810,43932,45517
 "47001","Anderson, TN",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",187333,208124,231959,253621,277501,310627,358587,400757,447147,502357,554618,602888,665992,715648,756700,829331,863566,892235,945265,1043789,1126615,1174193,1244911,1327677,1390228,1439928,1520706,1559030,1625219,1738694,1768444,1839138,2028179,2116851,2131564,2136772,2213246,2339147,2443934,2545486,2511837,2597770,2728857,2748286,2728289,2819990,2919184,3014526,3114841
 "47001","Anderson, TN",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",60426,60538,61673,61041,60965,61552,61796,63356,65202,65100,66029,67467,67818,67762,67885,67879,67398,67047,67544,67902,68084,68406,69292,70509,70837,71151,71597,71797,71736,71321,71454,71357,71461,71515,71608,71587,72040,73117,73580,74397,75031,75112,75173,75196,75258,75131,75459,75585,76257
 "47001","Anderson, TN",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3100,3438,3761,4155,4552,5047,5803,6325,6858,7717,8400,8936,9820,10561,11147,12218,12813,13308,13995,15372,16547,17165,17966,18830,19626,20238,21240,21714,22656,24378,24749,25774,28382,29600,29767,29849,30722,31992,33215,34215,33477,34585,36301,36548,36252,37534,38686,39883,40847
 "47003","Bedford, TN",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",76254,80792,86088,98314,109474,117196,120879,143957,155928,175210,197974,212032,240226,250597,263490,306220,324025,350878,381596,425022,454756,468600,490728,534480,562368,594162,641798,667995,720743,799317,828470,878173,928042,934799,985973,1065106,1122928,1181336,1226627,1245573,1218771,1253647,1332988,1397336,1461004,1559619,1608572,1671844,1752772
 "47003","Bedford, TN",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",24918,24954,24820,25135,25863,26111,26193,26615,26612,27260,27501,27949,28026,28360,28393,28841,29146,29452,29554,29797,30071,30583,31292,32194,32785,33273,34251,35154,35710,36275,36931,37806,38414,38960,39697,40558,41616,42780,43678,44395,44845,45086,45227,45262,45584,46259,46892,47420,48117
 "47003","Bedford, TN",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3060,3238,3468,3911,4233,4488,4615,5409,5859,6427,7199,7586,8572,8836,9280,10618,11117,11914,12912,14264,15123,15322,15682,16602,17153,17857,18738,19002,20183,22035,22433,23228,24159,23994,24837,26261,26983,27614,28083,28057,27177,27806,29473,30872,32051,33715,34304,35256,36427
 "47005","Benton, TN",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",30927,34411,39137,41996,49541,56134,62004,72247,80352,90571,102131,112045,126702,126331,126552,143425,149242,156782,165893,182372,197466,209100,227199,228473,243080,262729,277274,280124,298001,307613,319292,334770,329164,337641,349011,365810,386434,400480,426005,446912,446158,463763,480667,489196,488107,486552,501557,507328,530158
