GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "48000","Texas",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",38574952,42497001,46116225,51173430,58113014,65532274,74746690,84227582,93978608,108293275,124677522,143140318,168292411,185542644,198083650,216833934,233561973,238934147,243559445,258240426,275917143,297726251,311370378,336646045,356399215,376613598,402805264,433164880,472178352,514479641,541693745,589618264,625351776,632485656,655821615,686873443,747110864,820054905,871849676,956545543,911226962,966900333,1058034189,1133801108,1160361606,1250849527,1282379851,1287687296,1340568414
 "48000","Texas",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",11045000,11236772,11509640,11758760,12018970,12267865,12568182,12903268,13191790,13497726,13887312,14338208,14746318,15331408,15751674,16007088,16272722,16561103,16621767,16667040,16806729,17056755,17398005,17759738,18161612,18564062,18958751,19340342,19740317,20157531,20558220,20944499,21319622,21690325,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25241648,25644424,26078327,26479279,26954436,27454880,27904862,28304596
 "48000","Texas",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3493,3782,4007,4352,4835,5342,5947,6528,7124,8023,8978,9983,11413,12102,12575,13546,14353,14427,14653,15494,16417,17455,17897,18956,19624,20287,21246,22397,23919,25523,26349,28151,29332,29160,29768,30672,32799,35106,36583,39349,36740,38306,41258,43477,43821,46406,46709,46146,47362
 "48001","Anderson, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",75464,81737,89499,96277,111621,128531,152014,169370,189684,219009,247827,288668,351231,414083,437763,463992,485398,492886,501794,530217,568928,586212,614923,651784,678153,730268,782732,824947,864014,912049,929519,993877,1030184,1047821,1082875,1119799,1188813,1274139,1384381,1503087,1476138,1563308,1644218,1717742,1741758,1791659,1841435,1910130,1926333
 "48001","Anderson, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",28708,28012,29457,30684,30649,30901,32149,33462,34760,36546,37968,38874,40730,41873,44378,45215,46020,46495,46256,48084,48602,47980,48284,48618,49763,50729,53094,53510,54051,54290,54876,55062,54263,54740,56068,56245,56873,57386,57870,57963,58410,58495,58379,58036,57960,57837,57641,57558,57741
 "48001","Anderson, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2629,2918,3038,3138,3642,4159,4728,5062,5457,5993,6527,7426,8623,9889,9864,10262,10548,10601,10848,11027,11706,12218,12736,13406,13628,14395,14742,15417,15985,16800,16939,18050,18985,19142,19314,19909,20903,22203,23922,25932,25272,26725,28165,29598,30051,30978,31947,33186,33362
 "48003","Andrews, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",37335,40614,47883,43380,50717,59795,72421,82569,95344,104092,115275,131937,174612,204095,210820,221938,225654,203267,195091,189245,199303,207443,209044,219334,225067,230244,230068,235156,251666,249582,245028,266448,298518,299328,323084,344153,379420,433032,471737,563196,497715,540329,657133,775017,843304,946718,829270,728642,763902
 "48003","Andrews, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",9307,10450,10993,11146,10582,10751,11676,11885,12021,12418,12792,13482,14076,15142,15742,15752,16345,16509,15329,14968,14476,14270,14404,14324,13963,13953,13723,13583,13563,13594,13225,12949,12856,13022,12976,13006,13016,13195,13513,14099,14601,14847,15386,16106,16788,17448,18092,17837,17722
 "48003","Andrews, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4011,3887,4356,3892,4793,5562,6203,6947,7931,8382,9011,9786,12405,13479,13392,14090,13806,12312,12727,12643,13768,14537,14513,15312,16119,16501,16765,17313,18555,18360,18528,20577,23220,22986,24899,26461,29150,32818,34910,39946,34088,36393,42710,48120,50233,54259,45836,40850,43105
 "48005","Angelina, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",147461,162768,180117,205523,228128,260029,297976,336458,379338,445431,505599,558901,638576,704110,728863,791888,840609,872307,865878,929406,992623,1047405,1115108,1172424,1233726,1308410,1389415,1467788,1544487,1641874,1684396,1799370,1903686,1959395,2036544,2112269,2206896,2360893,2513351,2657994,2623389,2721392,2904032,3081076,3035372,3265174,3351891,3292273,3297553
