GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "00000","United States", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",791229000,855525000,924613000,1016408000,1133468000,1244912000,1362505000,1495704000,1651632000,1855849000,2073257000,2313160000,2592915000,2779794000,2968676000,3279488000,3510471000,3719647000,3946593000,4267813000,4609667000,4897821000,5067291000,5409920000,5648732000,5940128000,6286143000,6673186000,7086935000,7601594000,8001563000,8650325000,9001839000,9155663000,9480901000,10028781000,10593946000,11372589000,12002204000,12438527000,12051307000,12541995000,13315478000,13998383000,14175503000,14983140000,15711634000,16115630000,16820250000
 "00000","United States", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",201298000,203798722,206817509,209274882,211349205,213333635,215456585,217553859,219760875,222098244,224568579,227224719,229465744,231664432,233792014,235824907,237923734,240132831,242288936,244499004,246819222,249622814,252980941,256514224,259918588,263125821,266278393,269394284,272646925,275854104,279040168,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309338421,311644280,313993272,316234505,318622525,321039839,323405935,325719178
 "00000","United States", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3931,4198,4471,4857,5363,5836,6324,6875,7516,8356,9232,10180,11300,11999,12698,13906,14755,15490,16289,17455,18676,19621,20030,21090,21733,22575,23607,24771,25993,27557,28675,30657,31589,31832,32681,34251,35849,38114,39844,40904,39284,40545,42727,44582,44826,47025,48940,49831,51640
 "01000","Alabama",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",9737715,10628318,11699341,12999098,14638867,16241055,18100116,20324056,22394893,25339922,28151411,31037123,34465512,36396094,38970502,42870184,46098732,48790314,51651951,55558831,60395710,64239770,67929940,73039777,76398045,80848446,85473600,89349999,93981379,100081022,103536039,108506247,112312142,115166086,120209889,128669896,136215282,144914255,152210645,157479528,155254669,161965527,167675590,172427855,174118716,180220290,187301605,190991192,198916425
 "01000","Alabama",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",3440000,3449846,3497452,3540080,3580769,3627805,3680533,3737204,3782736,3834120,3869444,3900368,3918533,3925263,3934100,3951824,3972520,3991569,4015262,4023842,4030219,4050055,4099156,4154014,4214202,4260229,4296800,4331102,4367935,4404701,4430141,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785579,4798649,4813946,4827660,4840037,4850858,4860545,4874747
 "01000","Alabama",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2831,3081,3345,3672,4088,4477,4918,5438,5920,6609,7275,7957,8796,9272,9906,10848,11604,12223,12864,13807,14986,15861,16572,17583,18129,18977,19892,20630,21516,22721,23371,24372,25139,25706,26693,28399,29808,31306,32573,33377,32631,33844,34942,35818,36067,37235,38612,39294,40805
 "02000","Alaska",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1575306,1798953,1984124,2166758,2507651,3042645,4156808,4893293,5081877,5235885,5546800,6285047,7152287,8733371,9513455,10120618,10965793,11065577,10618140,11067575,12110504,12843337,13405073,14270677,15007304,15513140,15955835,16403012,17276624,18046020,18603123,20020289,21181698,22201930,23190634,24270355,25888513,27606973,29712529,32701876,32749086,35162893,37580637,38822647,38502520,40935223,42290967,41461355,42300914
 "02000","Alaska",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",296000,304328,316494,326494,333232,344696,370973,393115,397363,402191,403544,405315,418493,449606,488418,513704,532496,544269,539310,541984,547160,553290,570193,588736,599432,603308,604412,608569,612968,619932,624779,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,714015,722259,730825,736760,736759,737979,741522,739795
 "02000","Alaska",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",5322,5911,6269,6636,7525,8827,11205,12447,12789,13018,13745,15507,17091,19424,19478,19701,20593,20331,19688,20420,22133,23213,23510,24240,25036,25713,26399,26953,28185,29110,29776,31881,33425,34564,35765,36813,38817,40881,43676,47569,46858,49247,52032,53122,52259,55561,57306,55914,57179
 "04000","Arizona",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",6327071,7216133,8255566,9464649,10934211,12336094,13317758,14813181,16646785,19559610,22986621,26477610,30247056,32197364,35452604,40055602,44570307,48739358,52518393,56718429,60862489,63820979,67174577,71692129,77041009,84343667,91989409,99707638,108023079,117363581,124099462,134952008,140805569,145930328,154810692,169309942,188149041,209009703,220652427,223221865,211397715,215012419,225853155,236455566,242571877,257066980,270806695,280988093,296648898
 "04000","Arizona",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",1737000,1794912,1896108,2008847,2125281,2224342,2286348,2347976,2427310,2517852,2638582,2737774,2810108,2889860,2968924,3067134,3183539,3308261,3437103,3535183,3622184,3684097,3788576,3915740,4065440,4245089,4432499,4586940,4736990,4883342,5023823,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6407002,6465488,6544211,6616124,6706435,6802262,6908642,7016270
