GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "53000","Washington",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",14235772,15036667,15838561,17079016,19236035,21826702,24719584,27398764,30411983,35366608,40755502,46241935,51391260,54606379,58281463,62431081,66376252,70875837,75031208,81724088,90313168,99151181,106188886,114759017,120676876,126855369,134146303,144246155,155513933,169625801,181364803,194207085,199075219,202861517,210864222,225994043,235226474,256517351,278655913,292344351,279037778,286732273,303939314,328949369,335890860,362951551,384651032,404232131,428765189
 "53000","Washington",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",3343000,3417362,3446958,3446815,3477227,3547877,3618824,3690561,3772360,3886191,4012831,4154678,4235728,4276551,4300269,4343657,4400096,4452724,4531903,4639894,4746315,4903043,5025624,5160757,5278842,5375161,5481027,5569753,5674747,5769562,5842564,5910512,5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6741386,6819155,6890899,6963410,7046931,7152818,7280934,7405743
 "53000","Washington",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4258,4400,4595,4955,5532,6152,6831,7424,8062,9101,10156,11130,12133,12769,13553,14373,15085,15917,16556,17613,19028,20222,21129,22237,22860,23600,24475,25898,27405,29400,31042,32858,33258,33518,34545,36577,37592,40265,43125,44550,41851,42533,44571,47737,48237,51505,53776,55519,57896
 "53001","Adams, WA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",50693,58805,61987,70546,88299,110609,127468,112902,106354,115512,114330,146411,155042,143128,204125,196291,186344,210993,186319,207848,211549,245014,239110,262533,301112,288726,300961,331187,327593,345285,335618,355376,351235,369569,398764,402999,404548,429813,497549,549606,550083,587599,655986,705957,715813,747568,847701,783339,811517
 "53001","Adams, WA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",11219,12125,12474,12378,12558,12423,12658,13429,13632,13605,13703,13259,13202,13240,13403,13533,13618,13482,13599,13476,13575,13636,14100,14476,14932,15646,15711,15860,16042,16194,16239,16458,16259,16445,16612,16664,16918,16997,17413,17782,18405,18789,18891,18978,19142,19196,19201,19262,19506
 "53001","Adams, WA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4518,4850,4969,5699,7031,8904,10070,8407,7802,8490,8343,11042,11744,10810,15230,14505,13684,15650,13701,15424,15584,17968,16958,18136,20166,18454,19156,20882,20421,21322,20667,21593,21602,22473,24005,24184,23912,25288,28573,30908,29888,31274,34725,37199,37395,38944,44149,40668,41603
 "53003","Asotin, WA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",46337,49275,53364,59876,68905,76399,89377,96962,107293,124061,142358,159825,171882,177037,196073,203358,204430,210778,216669,232115,248520,268165,294606,316171,344073,360459,376105,406753,437927,461084,482667,507795,531473,543083,565831,586235,600683,648736,693121,743016,743825,776679,813162,838387,851892,894590,923832,965137,1010645
 "53003","Asotin, WA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",13285,13833,14091,14909,14954,15271,15423,15610,15858,16150,16452,16857,16963,16998,17046,17299,17385,17311,17128,17095,17324,17666,17948,18399,18860,19454,19894,20280,20499,20721,20560,20546,20447,20490,20487,20783,20908,21133,21188,21393,21415,21725,21968,21908,22127,22192,22133,22310,22535
 "53003","Asotin, WA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3488,3562,3787,4016,4608,5003,5795,6212,6766,7682,8653,9481,10133,10415,11503,11755,11759,12176,12650,13578,14345,15180,16414,17184,18244,18529,18905,20057,21363,22252,23476,24715,25993,26505,27619,28207,28730,30698,32713,34732,34734,35750,37016,38269,38500,40311,41740,43260,44848
 "53005","Benton, WA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",252490,279201,296277,330157,377431,458489,560324,636475,769402,957891,1112459,1230007,1475001,1537960,1563715,1535123,1581878,1660476,1721561,1753389,1886413,2080186,2286354,2537477,2805750,3047425,3110024,3181124,3277038,3445103,3646925,3919859,4254116,4494299,4765209,5032935,5149674,5291833,5772490,6282453,6586643,7216864,7633386,7559526,7484079,7774240,8449267,8700510,9034074
 "53005","Benton, WA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",64951,67599,67742,68011,68387,71129,76936,83029,88906,96702,103941,110252,113271,116202,112679,110669,110353,110193,110971,110060,109284,113583,116631,120711,125195,130703,134740,135833,137376,138628,140629,143131,145909,150323,153596,155689,157726,159564,161669,166573,171122,176460,180412,182391,184380,186439,190170,193484,198171
 "53005","Benton, WA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3887,4130,4374,4854,5519,6446,7283,7666,8654,9906,10703,11156,13022,13235,13878,13871,14335,15069,15514,15931,17262,18314,19603,21021,22411,23316,23082,23419,23855,24851,25933,27387,29156,29898,31024,32327,32649,33164,35706,37716,38491,40898,42311,41447,40591,41699,44430,44968,45587
 "53007","Chelan, WA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",161912,168015,188978,195432,224576,259005,295065,320591,356237,394942,433891,481931,519517,558892,606695,656213,683794,723640,778962,785176,866069,922920,1034788,1130974,1202053,1266731,1327553,1435331,1503908,1599448,1625835,1728978,1776230,1810334,1886714,2000663,2062745,2187196,2367850,2585414,2545508,2605280,2759089,3043077,3114292,3343589,3574250,3765905,3936421
 "53007","Chelan, WA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",39659,41063,41074,39924,39663,40639,41266,41951,42949,43748,44437,45315,46242,46530,47528,48598,49312,49478,49636,50916,51698,52476,53627,55127,56599,58384,60569,62091,63233,64415,65764,66648,66574,66742,67173,67882,68747,69536,70214,70813,71679,72762,73233,73528,73798,74221,75168,75968,76533
 "53007","Chelan, WA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4083,4092,4601,4895,5662,6373,7150,7642,8294,9028,9764,10635,11235,12011,12765,13503,13867,14625,15693,15421,16752,17587,19296,20516,21238,21697,21918,23117,23784,24830,24722,25942,26681,27124,28087,29473,30005,31454,33723,36510,35513,35806,37675,41387,42200,45049,47550,49572,51434
 "53009","Clallam, WA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",118780,134258,146221,166787,198103,228675,256345,299836,342799,386801,453416,498130,536075,560523,614746,670558,715269,749006,777570,844380,943300,1012662,1069248,1135696,1192378,1234629,1297883,1368695,1460418,1512914,1554993,1628784,1730243,1776051,1896423,1959246,2014637,2163959,2313784,2500329,2443438,2497093,2617376,2764429,2777563,2931517,3024469,3126280,3269231
 "53009","Clallam, WA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",34050,34999,36103,36600,39029,40705,41251,43847,45182,47367,49969,51703,51825,51217,51162,51629,52068,52687,53797,54425,55241,56525,57926,59494,60643,61485,62108,62916,63380,63998,64252,64269,64756,65777,66301,67411,68720,69642,70186,70769,71077,71502,71750,71764,72052,72438,73133,74098,75474
 "53009","Clallam, WA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3488,3836,4050,4557,5076,5618,6214,6838,7587,8166,9074,9634,10344,10944,12016,12988,13737,14216,14454,15515,17076,17915,18459,19089,19662,20080,20897,21754,23042,23640,24201,25343,26719,27001,28603,29064,29317,31073,32966,35331,34377,34923,36479,38521,38549,40469,41356,42191,43316
 "53011","Clark, WA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",485745,521485,585504,667615,758084,868074,969775,1106896,1254953,1469515,1714204,1963885,2164278,2258676,2429500,2691519,2843891,3056645,3271188,3681997,4123479,4538430,4861928,5325419,5819907,6306364,6888888,7653162,8477977,9022705,9386013,10333441,10682741,10802020,11444085,12250819,13340604,14425461,15546031,16541046,15733312,16071410,17026307,18264490,18449747,19987436,21288918,22488503,23769319
 "53011","Clark, WA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",126949,129619,134700,139136,146688,151388,156949,162199,168575,177818,186553,193230,196863,199472,199673,201634,205606,209610,214534,221654,228760,240883,252172,260947,272259,283560,294656,307614,320584,330699,339541,347208,357211,366405,374098,384931,394277,401698,408820,415282,421236,426641,432205,436403,441560,448422,457195,465548,474643
 "53011","Clark, WA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3826,4023,4347,4798,5168,5734,6179,6824,7444,8264,9189,10163,10994,11323,12167,13349,13832,14583,15248,16611,18025,18841,19280,20408,21376,22240,23379,24879,26445,27284,27643,29762,29906,29481,30591,31826,33836,35911,38027,39831,37350,37670,39394,41852,41783,44573,46564,48305,50078
 "53013","Columbia, WA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",22322,23272,23530,28363,39949,38311,39848,37705,34848,40483,40548,47454,53985,53680,71183,65244,59367,65334,58773,59925,62502,67771,66385,74759,84914,79138,92115,106662,93401,99723,103414,118248,115209,111826,116357,117388,117312,121990,141820,155569,159006,162993,175803,171699,167435,171579,190626,181557,185831
 "53013","Columbia, WA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",4428,4429,4269,4463,4372,4314,4196,4209,4205,4067,3927,4060,4069,4030,4086,4111,4138,4157,4114,4076,4057,4020,3890,3939,4017,4053,4148,4176,4126,4082,4061,4069,4034,3995,4003,4027,3974,3895,3897,3903,3977,4094,4004,3977,4002,3983,3966,3997,4047
 "53013","Columbia, WA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",5041,5254,5512,6355,9137,8881,9497,8958,8287,9954,10325,11688,13267,13320,17421,15871,14347,15717,14286,14702,15406,16858,17066,18979,21139,19526,22207,25542,22637,24430,25465,29061,28559,27991,29067,29150,29520,31320,36392,39859,39981,39813,43907,43173,41838,43078,48065,45423,45918
