GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "55000","Wisconsin",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",16424603,17648753,18959244,20731568,23157827,25436474,27871968,30609129,34210389,38209862,42797607,47281994,51613356,54462321,57196715,62913160,66276653,69916780,73793678,78456347,85533880,90431226,94002441,101407734,106713903,113394413,119327068,126196708,133915177,143010508,149069687,158927569,166810412,171173593,175869838,183912501,190527609,202454049,211886571,219514508,215913287,221895293,234574850,245700352,247127445,257572422,268237980,273787486,283635828
 "55000","Wisconsin",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",4378000,4425944,4459968,4498433,4518461,4538173,4569616,4584688,4613299,4631944,4665911,4712045,4726345,4728862,4721438,4735571,4747765,4755625,4777923,4822391,4856568,4904562,4964343,5025398,5084889,5133678,5184836,5229986,5266213,5297672,5332666,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5690403,5705812,5721075,5736673,5751272,5759744,5772917,5795483
 "55000","Wisconsin",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3752,3988,4251,4609,5125,5605,6099,6676,7416,8249,9172,10034,10920,11517,12114,13285,13960,14702,15445,16269,17612,18438,18936,20179,20986,22088,23015,24129,25429,26995,27954,29573,30852,31436,32098,33354,34353,36297,37764,38914,38085,38995,41112,42947,43079,44785,46571,47426,48941
 "55001","Adams, WI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",22995,25605,28640,31211,39289,45675,54847,58752,65830,78467,88878,104763,112415,113463,127606,139361,144916,153266,156267,163638,188987,191669,210879,228759,248626,271505,290091,316103,348401,370641,397167,430455,458635,477417,490272,504217,526334,551246,569957,584851,598851,610958,647126,672207,677315,690438,717115,723620,753940
 "55001","Adams, WI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",8875,9302,9740,10321,10891,11242,12013,12452,12487,12936,13437,13573,14008,14320,14405,14539,14767,14779,15030,15115,15480,15696,15954,16151,16533,17051,17246,17545,17989,18158,18462,20047,20337,20578,20644,20774,21211,21185,21156,21101,20930,20886,20778,20426,20419,20135,20032,19997,19973
 "55001","Adams, WI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2591,2753,2940,3024,3607,4063,4566,4718,5272,6066,6614,7718,8025,7923,8858,9585,9814,10371,10397,10826,12208,12211,13218,14164,15038,15923,16821,18017,19367,20412,21513,21472,22552,23200,23749,24272,24814,26021,26941,27717,28612,29252,31145,32909,33171,34290,35798,36186,37748
 "55003","Ashland, WI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",47385,50666,54087,57571,62891,69075,78622,85948,94115,109133,119076,127141,140899,151171,164010,176565,184222,194055,193958,204881,219061,224596,235215,247287,264411,281782,297883,311141,328246,346891,357698,374491,398039,400284,408973,432975,441631,456876,454251,475271,490360,497796,519806,542692,551531,564700,580997,589597,614118
 "55003","Ashland, WI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",17188,16704,16495,16254,16379,16245,16506,16569,16824,16381,16285,16913,17391,17365,17309,17043,16745,16568,16615,16475,16519,16268,16316,16512,16761,16764,16847,16891,16905,16896,16891,16823,16773,16747,16647,16547,16407,16408,16199,16145,16128,16143,16025,15840,15967,15990,15805,15634,15500
 "55003","Ashland, WI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2757,3033,3279,3542,3840,4252,4763,5187,5594,6662,7312,7517,8102,8705,9475,10360,11002,11713,11674,12436,13261,13806,14416,14976,15775,16809,17682,18421,19417,20531,21177,22261,23731,23902,24567,26166,26917,27845,28042,29438,30404,30837,32437,34261,34542,35316,36760,37712,39621
 "55005","Barron, WI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",95645,103663,113141,126052,147201,157731,179005,194824,229708,258269,282785,323335,349901,372057,371439,453549,478153,500721,505062,523412,581413,606402,638142,689122,719682,775829,808268,869368,919853,1010974,1045973,1098076,1203129,1216213,1254171,1295477,1343154,1421683,1521360,1574473,1624282,1638286,1759599,1922776,1847074,1939975,2024594,2008952,2091229
