GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "54000","West Virginia",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",4944141,5511837,6051556,6700698,7333218,8128736,9186126,10241128,11457287,12752672,14222561,15632663,17051166,18069361,18550227,19940683,20765614,21261444,21785013,23237559,24600986,26186226,27308245,29404386,30498832,31820522,32894704,34208841,35630179,37281527,38282569,40452595,42849799,44286601,44871402,46485544,48840352,52178763,54198610,57652410,58149798,60061547,63448690,65251759,64792619,66679676,67736679,67582876,69872741
 "54000","West Virginia",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",1746000,1746629,1770252,1796910,1805293,1814048,1840548,1877440,1905628,1920342,1939062,1951349,1954125,1949605,1945058,1927696,1906831,1882352,1857583,1830213,1806570,1792548,1798735,1806451,1817539,1820421,1823700,1822808,1819113,1815609,1811799,1807021,1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1854315,1854891,1855360,1852333,1847624,1839767,1828637,1815857
 "54000","West Virginia",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2832,3156,3418,3729,4062,4481,4991,5455,6012,6641,7335,8011,8726,9268,9537,10344,10890,11295,11728,12697,13618,14608,15182,16277,16780,17480,18037,18767,19587,20534,21130,22386,23786,24530,24759,25592,26828,28546,29551,31328,31470,32390,34206,35169,34979,36089,36818,36958,38479
 "54001","Barbour, WV",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",31306,34785,40806,48231,53730,58275,69152,74477,84303,90734,103443,114384,125181,135825,135077,145391,147288,149694,147360,154516,162597,169536,177686,191673,202300,211650,215457,225454,236885,245910,252397,267307,278254,295083,304666,318637,334786,364937,386704,414389,424607,439133,459299,484959,478018,486746,488701,486174,502693
 "54001","Barbour, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",13809,14166,14721,14975,15080,15083,15352,15864,15975,15965,16158,16661,16736,16734,16738,16852,16754,16479,16255,15964,15730,15675,15572,15760,15806,15925,15948,15981,15698,15735,15616,15560,15436,15569,15639,15629,15722,15922,16036,16241,16479,16612,16598,16869,16863,16902,16970,16720,16497
 "54001","Barbour, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2267,2456,2772,3221,3563,3864,4504,4695,5277,5683,6402,6865,7480,8117,8070,8628,8791,9084,9066,9679,10337,10816,11411,12162,12799,13290,13510,14108,15090,15628,16163,17179,18026,18953,19481,20388,21294,22920,24115,25515,25767,26435,27672,28749,28347,28798,28798,29077,30472
 "54003","Berkeley, WV",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",126726,134820,148849,167079,187624,208309,229837,254554,282243,322075,364255,404357,452311,486830,518485,585646,631825,682908,739951,818777,897470,952270,989603,1061799,1116306,1170327,1239979,1322597,1439947,1527243,1618380,1797716,1945540,2089731,2257585,2433853,2690124,2953195,3129290,3315985,3340827,3490501,3660080,3802269,3847532,3990186,4168221,4353239,4540418
 "54003","Berkeley, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",37570,36437,37181,38572,39750,40917,41549,43008,43776,44038,45311,46995,47829,48528,49664,50337,51160,52227,53472,55546,57276,59839,61582,63010,64396,65800,67117,68667,70061,72285,74366,76357,78428,80875,84524,88258,92114,96318,99132,101629,102830,104617,105608,106824,108335,110026,111497,113270,114920
 "54003","Berkeley, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3373,3700,4003,4332,4720,5091,5532,5919,6447,7314,8039,8604,9457,10032,10440,11635,12350,13076,13838,14741,15669,15914,16070,16851,17335,17786,18475,19261,20553,21128,21762,23544,24807,25839,26709,27577,29204,30661,31567,32628,32489,33365,34657,35594,35515,36266,37384,38432,39509
 "54005","Boone, WV",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",61783,77173,85509,103212,117437,137155,153729,165988,191286,220515,246460,263057,275873,318348,309596,324870,325536,334641,344817,352203,327938,354728,396710,398812,385351,425396,433215,431061,436672,455550,464522,476896,483969,507209,519958,538925,572412,620278,654359,729160,721678,742076,797566,783567,735552,724301,711499,688783,701048
 "54005","Boone, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",25117,25182,25554,26105,27343,27611,28381,29442,30214,30445,30892,30449,30430,30429,30284,29772,29175,28725,27658,27067,26406,25781,25958,26303,26048,25977,25928,26055,25976,25642,25640,25473,25372,25505,25545,25455,25311,25101,25115,24794,24766,24606,24408,24356,24089,23708,23241,22795,22349
 "54005","Boone, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2460,3065,3346,3954,4295,4967,5417,5638,6331,7243,7978,8639,9066,10462,10223,10912,11158,11650,12467,13012,12419,13759,15283,15162,14794,16376,16708,16544,16811,17766,18117,18722,19075,19887,20355,21172,22615,24711,26055,29409,29140,30158,32676,32171,30535,30551,30614,30216,31368
 "54007","Braxton, WV",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",23158,29640,33359,33015,36954,39616,44058,47800,53684,60498,71239,85512,96380,107516,109007,120158,124188,128392,129555,136853,143862,150036,152441,162504,172868,179265,191837,206703,209786,217562,221152,239380,245498,258453,266399,280301,290535,310563,330118,357569,360688,375970,405049,429486,415575,424550,437554,423834,432895
 "54007","Braxton, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",12485,12756,13206,13275,13576,13203,13293,13401,13593,13601,13778,13954,14184,14200,14307,14121,14130,13972,13676,13472,13132,13021,13242,13328,13627,13757,14027,14192,14155,14299,14521,14713,14702,14667,14632,14696,14682,14585,14585,14587,14512,14545,14530,14449,14382,14400,14366,14341,14237
 "54007","Braxton, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",1855,2324,2526,2487,2722,3001,3314,3567,3949,4448,5170,6128,6795,7572,7619,8509,8789,9189,9473,10158,10955,11523,11512,12193,12686,13031,13676,14565,14821,15215,15230,16270,16698,17621,18207,19073,19789,21293,22634,24513,24854,25849,27877,29724,28895,29483,30458,29554,30406
 "54009","Brooke, WV",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",94429,100898,113423,123581,130421,146801,159789,180690,199460,218440,247449,263974,288514,283688,281549,293630,301759,320147,326484,339685,365204,401203,399349,425236,441919,460681,476199,497121,509707,531736,542316,589049,611644,618972,606607,618121,628865,665272,689943,736029,724880,744802,791760,817907,819423,858671,875348,860350,885527
 "54009","Brooke, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",29023,30354,30131,29952,30331,30332,31020,30791,30715,30152,30527,31082,30917,30484,29673,29165,28733,28436,27871,27463,27198,26973,26776,26582,26697,26622,26645,26380,26061,25892,25776,25366,25237,25156,25094,24867,24703,24399,24235,24168,24153,23999,23828,23691,23604,23382,23200,22707,22443
 "54009","Brooke, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3254,3324,3764,4126,4300,4840,5151,5868,6494,7245,8106,8493,9332,9306,9488,10068,10502,11259,11714,12369,13428,14874,14914,15997,16553,17305,17872,18845,19558,20537,21040,23222,24236,24605,24173,24857,25457,27266,28469,30455,30012,31035,33228,34524,34715,36724,37731,37889,39457
 "54011","Cabell, WV",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",345482,386817,420385,450742,485970,534552,593117,653473,718368,789701,870142,948149,1024338,1071144,1106264,1184042,1246814,1288629,1309257,1405456,1509521,1598642,1663187,1794890,1865127,1913381,1977827,2023625,2100485,2188038,2236765,2336345,2453808,2546080,2575221,2587290,2666623,2830863,3005879,3208907,3232645,3317985,3452377,3539218,3511397,3629317,3711168,3692542,3735166
 "54011","Cabell, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",106302,107195,108919,107672,106837,105926,105730,107082,107572,106511,107575,106924,107178,105808,106421,105369,104521,102001,100571,98796,97800,96754,97120,97292,97990,98602,98611,98440,98018,97196,96987,96735,96035,95741,95554,95239,94821,94943,95059,95209,96040,96349,96506,96819,96895,96514,96462,95669,94958
 "54011","Cabell, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3250,3609,3860,4186,4549,5046,5610,6103,6678,7414,8089,8868,9557,10123,10395,11237,11929,12633,13018,14226,15435,16523,17125,18448,19034,19405,20057,20557,21430,22512,23063,24152,25551,26593,26950,27166,28123,29816,31621,33704,33659,34437,35774,36555,36239,37604,38473,38597,39335
 "54013","Calhoun, WV",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",12701,14358,15374,16982,18711,20413,23293,25905,28645,33822,37823,43042,48099,51279,55608,60613,63933,65609,66141,75865,77993,80753,83709,92882,95770,97627,97867,100403,103608,107289,110719,118711,127992,131101,136069,139126,142133,152007,156148,176934,182344,190538,203727,225706,216856,224291,207099,198479,207462
 "54013","Calhoun, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",7124,7068,7191,7356,7299,7350,7714,7780,7989,8196,8108,8287,8428,8431,8405,8478,8393,8486,8267,8080,7900,7881,7808,7853,7866,7740,7708,7740,7668,7649,7648,7596,7480,7443,7409,7411,7507,7531,7588,7621,7560,7658,7638,7596,7551,7559,7465,7367,7307
 "54013","Calhoun, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",1783,2031,2138,2309,2564,2777,3020,3330,3586,4127,4665,5194,5707,6082,6616,7149,7617,7731,8001,9389,9873,10247,10721,11828,12175,12613,12697,12972,13512,14027,14477,15628,17111,17614,18365,18773,18933,20184,20578,23217,24120,24881,26673,29714,28719,29672,27743,26942,28392
 "54015","Clay, WV",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",15449,17887,20491,23885,26336,28963,33504,38111,40962,45662,53834,59466,65700,72189,70080,73765,75662,77204,78935,80702,85979,92000,94377,102916,108861,117506,122523,127874,132798,134763,138160,143067,165643,173501,172350,178779,182375,200937,210771,229489,236539,237551,255928,259181,251292,255512,255204,247721,250543
 "54015","Clay, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",8953,9412,9797,10027,9764,9607,9775,10345,10588,10775,10758,11276,11308,11267,11144,11201,10957,10881,10627,10470,10214,9947,9920,9957,10086,10075,10192,10224,10350,10327,10363,10302,10153,10166,10061,10055,9852,9695,9696,9603,9505,9375,9334,9208,9140,8882,8876,8843,8764
 "54015","Clay, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",1726,1900,2092,2382,2697,3015,3428,3684,3869,4238,5004,5274,5810,6407,6289,6586,6905,7095,7428,7708,8418,9249,9514,10336,10793,11663,12021,12507,12831,13050,13332,13887,16315,17067,17131,17780,18511,20726,21738,23898,24886,25339,27419,28147,27494,28767,28752,28013,28588
 "54017","Doddridge, WV",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",12164,13630,14569,15294,17381,19636,22364,24798,28536,32957,37561,43585,47172,50272,52748,57787,60738,61265,63328,65824,69259,76819,79946,85867,90014,93140,95942,102347,108507,115335,118697,128388,135238,131753,120770,123762,120817,123050,120460,127980,132249,139954,157100,166900,176321,215911,214907,213825,220910
 "54017","Doddridge, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",6534,6383,6416,6651,6789,6718,6944,6968,7244,7415,7425,7464,7585,7566,7550,7508,7499,7403,7312,7230,6978,7000,7072,7078,7162,7144,7235,7136,7294,7368,7334,7396,7588,7627,7741,7669,7808,7848,7970,8034,8124,8195,8247,8295,8546,8467,8696,8583,8560
 "54017","Doddridge, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",1862,2135,2271,2300,2560,2923,3221,3559,3939,4445,5059,5839,6219,6644,6986,7697,8099,8276,8661,9104,9925,10974,11305,12132,12568,13038,13261,14342,14876,15654,16184,17359,17823,17275,15601,16138,15473,15679,15114,15930,16279,17078,19049,20121,20632,25500,24713,24913,25807
 "54019","Fayette, WV",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",117406,134523,147337,164596,183599,202130,230768,263284,282730,314925,355497,388835,424603,453102,448464,477658,487064,492552,489968,516463,542983,569864,603737,650123,686650,723973,754805,789739,814041,848135,853729,880634,935321,969875,974890,1006045,1029854,1099440,1151647,1232124,1238838,1267968,1363659,1418919,1382982,1392323,1416121,1387748,1431080
 "54019","Fayette, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",49239,49341,49841,52044,52401,52656,53808,55679,57021,57827,58255,57790,57443,57186,57119,56148,54812,53382,51692,50023,48571,47867,47850,47921,48306,48259,48772,48991,48548,47960,47817,47507,47067,46935,47054,46717,46229,46200,46243,46171,46034,46035,45910,45850,45549,45152,44687,44102,43521
 "54019","Fayette, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2384,2726,2956,3163,3504,3839,4289,4729,4958,5446,6102,6728,7392,7923,7851,8507,8886,9227,9479,10325,11179,11905,12617,13567,14215,15002,15476,16120,16768,17684,17854,18537,19872,20664,20719,21535,22277,23797,24904,26686,26911,27544,29703,30947,30363,30836,31690,31467,32883
 "54021","Gilmer, WV",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",15268,16935,18528,20177,21267,22974,25709,29706,33984,39534,44122,49110,55674,60558,64802,70528,74646,72728,74625,75322,84423,90649,91151,100533,105401,106937,107870,111993,119028,120736,119709,128467,137937,135797,142069,136565,144890,151614,155034,164444,167361,175514,195094,211244,215460,226649,227715,216550,220772
 "54021","Gilmer, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",7273,7755,7720,7974,7932,8003,7958,8012,8066,8110,8157,8390,8608,8770,8755,8607,8441,8368,8259,8244,7827,7622,7607,7455,7451,7427,7287,7194,7146,7287,7152,7208,7309,7409,7615,7764,7905,8083,8248,8408,8529,8736,8744,8741,8615,8489,8287,8128,8005
 "54021","Gilmer, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2099,2184,2400,2530,2681,2871,3231,3708,4213,4875,5409,5853,6468,6905,7402,8194,8843,8691,9036,9137,10786,11893,11983,13485,14146,14398,14803,15568,16657,16569,16738,17823,18872,18329,18656,17590,18329,18757,18797,19558,19623,20091,22312,24167,25010,26699,27479,26642,27579
 "54023","Grant, WV",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",19446,21837,25800,30126,33397,32950,37503,40821,46939,51242,61770,69675,74624,83291,91934,102189,106533,109145,111789,121004,132184,153750,165258,173876,184869,190379,197277,207061,213771,223148,227835,242746,287630,276089,277286,275868,283163,291571,311342,327389,333616,337628,355229,363646,373473,394071,391680,408607,411362
 "54023","Grant, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",8861,8595,8715,9092,9180,9223,9351,9466,9707,9814,10026,10229,10299,10380,10335,10427,10335,10348,10350,10339,10393,10450,10564,10695,10855,10983,11151,11190,11216,11246,11314,11280,11325,11310,11406,11558,11648,11834,11969,12022,11963,11911,11897,11818,11755,11632,11666,11643,11670
 "54023","Grant, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2195,2541,2960,3313,3638,3573,4011,4312,4836,5221,6161,6812,7246,8024,8895,9800,10308,10547,10801,11704,12719,14713,15644,16258,17031,17334,17691,18504,19059,19842,20137,21520,25398,24411,24311,23868,24310,24638,26012,27232,27887,28346,29859,30771,31771,33878,33574,35095,35250
 "54025","Greenbrier, WV",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",81417,88064,95803,105176,118450,131512,153475,167406,195261,220750,248895,265801,285956,311877,323681,348056,361505,372008,388179,423408,460401,491983,512961,561015,589304,588536,612372,634639,671352,700525,712420,750820,782687,796906,818594,874737,907107,967951,976189,1033569,1023424,1076552,1179516,1146434,1172297,1213678,1269233,1241886,1278836
