GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "56000","Wyoming",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1218567,1347928,1497541,1684506,1968637,2302703,2607391,2890363,3375638,4033706,4716087,5506325,6299803,6616850,6568094,6857149,7160432,7130593,6864334,7002612,7642563,8233322,8642355,9130739,9659908,10102484,10585368,11077737,11884975,12656287,13504808,14514258,15320219,15724542,16668843,17806977,19574481,22574908,24018505,26333754,24346798,25967136,28426349,30952483,30911890,33019911,33514584,32434582,33221417
 "56000","Wyoming",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",329000,333795,340023,346863,353353,364548,380477,395446,411530,430897,451850,474185,491712,506400,510344,504895,499696,495633,476966,465103,458373,453690,459260,466251,473081,480283,485160,488167,489451,490787,491780,494300,494657,500017,503453,509106,514157,522667,534876,546043,559851,564376,567602,576608,582341,583334,586102,584910,579315
 "56000","Wyoming",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3704,4038,4404,4856,5571,6317,6853,7309,8203,9361,10437,11612,12812,13066,12870,13581,14330,14387,14392,15056,16673,18147,18818,19583,20419,21034,21818,22693,24282,25788,27461,29363,30971,31448,33109,34977,38071,43192,44905,48227,43488,46010,50081,53680,53082,56605,57182,55452,57346
 "56001","Albany, WY",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",74388,81316,90627,97879,109591,121035,138883,154064,181106,208116,231883,268951,307523,335036,353861,372633,386975,399165,388874,400009,426688,453023,473281,504276,524060,561155,601994,616727,647411,682163,717659,776225,840087,890085,950866,960249,967708,1015739,1063382,1170459,1172775,1249041,1386124,1446531,1441714,1473819,1518128,1513593,1544808
 "56001","Albany, WY",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",26110,26469,26534,26753,26714,27221,26888,27584,27937,28119,28773,29221,29795,30608,30947,30905,30642,30549,30463,30553,30844,30879,31285,31566,32227,32526,32742,32879,32264,32179,32192,31966,32419,32675,33098,33580,33631,33950,33858,34643,35743,36433,36883,37332,37573,37793,38036,37987,38332
 "56001","Albany, WY",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2849,3072,3416,3659,4102,4446,5165,5585,6483,7401,8059,9204,10321,10946,11434,12057,12629,13066,12765,13092,13834,14671,15128,15975,16262,17253,18386,18757,20066,21199,22293,24283,25913,27241,28729,28596,28774,29919,31407,33786,32811,34283,37582,38748,38371,38997,39913,39845,40301
 "56003","Big Horn, WY",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",31544,35168,39049,44404,53636,56314,58216,62313,67536,80003,90924,108348,117441,124809,118314,127793,129988,125834,124387,129983,135671,151608,159157,163091,163468,170430,180262,193431,210395,224133,236886,243851,267103,261835,276828,273204,299865,332586,318580,358367,356759,375917,407878,421668,423781,441696,442441,421870,427279
 "56003","Big Horn, WY",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",10053,10264,10499,10428,10620,10601,10902,11286,11435,11653,11842,12030,12547,12791,12691,12287,12166,11912,11376,11088,10838,10487,10582,10708,10770,10950,11228,11334,11255,11520,11480,11398,11209,11157,11073,11231,11193,11222,11350,11419,11541,11667,11726,11765,11939,11859,11956,11941,11906
 "56003","Big Horn, WY",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3138,3426,3719,4258,5050,5312,5340,5521,5906,6865,7678,9006,9360,9758,9323,10401,10685,10564,10934,11723,12518,14457,15040,15231,15178,15564,16055,17066,18693,19456,20635,21394,23829,23468,25000,24326,26790,29637,28069,31383,30912,32221,34784,35841,35496,37246,37006,35330,35888
 "56005","Campbell, WY",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",40588,46107,46904,54259,61345,75388,107272,136837,191994,233783,281395,350414,490960,544302,493951,526524,574203,533407,494835,479762,509213,541980,578374,582993,611839,642843,671912,714496,764002,801740,854261,935107,1122420,1138973,1162138,1237914,1419780,1704417,1822910,2125621,2025758,2334683,2668605,2671365,2537557,2728967,2608984,2301109,2258535
 "56005","Campbell, WY",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",13212,13049,13514,11960,12529,12434,13678,15271,17767,20159,22122,25166,28313,31559,33168,33820,34864,34600,31313,30544,29790,29403,29826,30517,30544,30835,31440,31946,32098,32452,32844,33979,34699,36193,36586,36907,37888,39497,41651,42846,45650,46233,46560,47861,48051,48192,49293,48800,46242
 "56005","Campbell, WY",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3072,3533,3471,4537,4896,6063,7843,8961,10806,11597,12720,13924,17340,17247,14892,15568,16470,15416,15803,15707,17093,18433,19392,19104,20031,20848,21371,22366,23802,24705,26010,27520,32347,31469,31765,33541,37473,43153,43766,49611,44376,50498,57315,55815,52810,56627,52928,47154,48842
 "56007","Carbon, WY",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",54713,59737,68769,79691,89080,107804,120806,135685,161128,195606,245585,293042,299074,286592,277002,278683,270087,263649,241482,242992,269318,289722,300687,305301,313729,321970,321920,322937,347647,354777,363139,380500,396495,403459,428674,451020,501131,563397,613907,674177,594879,619471,702323,742371,764479,812539,808055,797336,804558
 "56007","Carbon, WY",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",13113,13485,13993,14517,15473,16175,16802,17257,18122,19145,20351,22031,22526,22374,21354,20392,19494,18638,17974,17437,16984,16608,16406,16149,16282,16150,16174,16091,15914,15757,15730,15582,15217,15256,15240,15236,15077,15136,15494,15658,15977,15849,15848,15732,15861,15907,15645,15727,15303
 "56007","Carbon, WY",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4172,4430,4915,5489,5757,6665,7190,7863,8891,10217,12067,13301,13277,12809,12972,13666,13855,14146,13435,13935,15857,17445,18328,18905,19268,19936,19904,20069,21845,22516,23086,24419,26056,26446,28128,29602,33238,37222,39622,43056,37233,39086,44316,47189,48199,51081,51649,50699,52575
 "56009","Converse, WY",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",22400,23412,29910,35176,36020,42835,53442,66606,84493,101737,126642,164845,174817,165440,162848,170981,181078,180834,168940,165130,173539,177554,185511,196875,210733,212732,224435,235842,259962,277036,298246,313559,332647,331312,352473,380228,415947,463029,485622,571805,554353,562136,619442,652431,676911,731573,746910,682218,680648
 "56009","Converse, WY",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",5858,6072,6533,6551,6673,6881,7662,8836,9906,11390,12478,14223,14815,15036,15022,14417,13955,13318,12248,11710,11443,11069,11081,11277,11436,11492,11713,11856,12011,11911,11993,12083,11996,12196,12232,12350,12595,12801,13071,13486,13839,13821,13736,14025,14365,14219,14312,14127,13809
